tickers,urls
ADANIENT,AE13
ADANIPORTS,MPS
APOLLOHOSP,AHE
ASIANPAINT,AP31
AXISBANK,AB16
BAJAJ-AUTO,BA10
BAJFINANCE,BAF
BAJAJFINSV,BF04
BPCL,BPC
BHARTIARTL,BA08
BRITANNIA,BI
CIPLA,C
COALINDIA,CI11
DIVISLAB,DL03
DRREDDY,DRL
EICHERMOT,EM
GRASIM,GI01
HCLTECH,HCL02
HDFCBANK,HDF01
HDFCLIFE,HSL01
HEROMOTOCO,HHm
HINDALCO,HI
HINDUNILVR,HU
ICICIBANK,ICI02
INDUSINDBK,IIB
INFY,IT
ITC,ITC
JSWSTEEL,JSW01
KOTAKBANK,KMB
LT,LT
LTIM,LI12
M&M,MM
MARUTI,MS24
NESTLEIND,NI
NTPC,NTP
ONGC,ONG
POWERGRID,PGC
RELIANCE,RI
SBILIFE,SLI03
SHRIRAMFIN,STF
SBIN,SBI
SUNPHARMA,SPI
TATAMOTORS,TM03
TATASTEEL,TIS
TCS,TCS
TATACONSUM,TT
TECHM,TM4
TITAN,TI01
ULTRACEMCO,UTC01
WIPRO,W
