,Jun '03,Sep '03,Dec '03,Mar '04,Jun '04,Sep '04,Dec '04,Mar '05,Jun '05,Sep '05,Dec '05,Mar '06,Jun '06,Sep '06,Dec '06,Mar '07,Jun '07,Sep '07,Dec '07,Mar '08,Jun '08,Sep '08,Dec '08,Mar '09,Jun '09,Sep '09,Dec '09,Mar '10,Jun '10,Sep '10,Dec '10,Mar '11,Jun '11,Sep '11,Dec '11,Mar '12,Jun '12,Sep '12,Dec '12,Mar '13,Jun '13,Sep '13,Dec '13,Mar '14,Jun '14,Sep '14,Dec '14,Mar '15,Jun '15,Sep '15,Dec '15,Mar '16,Jun '16,Sep '16,Dec '16,Mar '17,Jun '17,Sep '17,Dec '17,Mar '18,Jun '18,Sep '18,Dec '18,Mar '19,Jun '19,Sep '19,Dec '19,Mar '20,Jun '20,Sep '20,Dec '20,Mar '21,Jun '21,Sep '21,Dec '21,Mar '22,Jun '22,Sep '22,Dec '22,Mar '23,Jun '23,Sep '23,Dec '23,Mar '24,Jun '24
Quarterly Results of HCL Technologies (in Rs. Cr.),Jun '03,Sep '03,Dec '03,Mar '04,Jun '04,Sep '04,Dec '04,Mar '05,Jun '05,Sep '05,Dec '05,Mar '06,Jun '06,Sep '06,Dec '06,Mar '07,Jun '07,Sep '07,Dec '07,Mar '08,Jun '08,Sep '08,Dec '08,Mar '09,Jun '09,Sep '09,Dec '09,Mar '10,Jun '10,Sep '10,Dec '10,Mar '11,Jun '11,Sep '11,Dec '11,Mar '12,Jun '12,Sep '12,Dec '12,Mar '13,Jun '13,Sep '13,Dec '13,Mar '14,Jun '14,Sep '14,Dec '14,Mar '15,Jun '15,Sep '15,Dec '15,Mar '16,Jun '16,Sep '16,Dec '16,Mar '17,Jun '17,Sep '17,Dec '17,Mar '18,Jun '18,Sep '18,Dec '18,Mar '19,Jun '19,Sep '19,Dec '19,Mar '20,Jun '20,Sep '20,Dec '20,Mar '21,Jun '21,Sep '21,Dec '21,Mar '22,Jun '22,Sep '22,Dec '22,Mar '23,Jun '23,Sep '23,Dec '23,Mar '24,Jun '24
Net Sales/Income from operations,228.83,253.82,280.25,287.40,306.51,336.54,352.00,355.87,402.60,443.89,1085.79,708.50,794.73,891.64,976.88,958.97,941.13,1102.86,1129.20,1275.58,1107.75,1175.80,1304.85,1048.90,1145.54,1247.32,1213.71,1287.11,1330.61,1498.32,1649.06,1697.73,1949.36,1979.22,2191.18,2164.72,2572.10,2696.72,2766.22,2943.69,4111.19,3843.81,3836.21,4045.91,4771.44,4054.40,4247.59,4385.95,4465.50,4350.15,4471.85,4612.64,4608.80,4705.77,4889.26,5114.48,5179.00,5460.00,5723.00,5711.00,6013.00,6485.00,6556.00,6958.00,6765.00,8130.00,8654.00,9057.00,8362.00,8658.00,9404.00,9249.00,9556.00,9786.00,10662.00,10634.00,10817.00,11424.00,12398.00,11637.00,11451.00,12059.00,12531.00,12077.00,11784.00
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1275.58,1107.75,1175.80,1304.85,1048.90,1145.54,1247.32,1213.71,1287.11,1330.61,1498.32,1649.06,1697.73,1949.36,1979.22,2191.18,2164.72,2572.10,2696.72,2766.22,2943.69,4111.19,3843.81,3836.21,4045.91,4771.44,4054.40,4247.59,4385.95,4465.50,4350.15,4471.85,4612.64,4608.80,4705.77,4889.26,5114.48,5179.00,5460.00,5723.00,5711.00,6013.00,6485.00,6556.00,6958.00,6765.00,8130.00,8654.00,9057.00,8362.00,8658.00,9404.00,9249.00,9556.00,9786.00,10662.00,10634.00,10817.00,11424.00,12398.00,11637.00,11451.00,12059.00,12531.00,12077.00,11784.00
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,111.33,47.60,37.18,77.88,64.52,14.51,23.81,20.47,37.00,32.00,34.00,35.00,10.00,21.00,77.00,34.00,45.00,2.00,46.00,51.00,31.00,34.00,60.00,17.00,29.00,34.00,59.00,33.00,31.00,29.00,83.00,25.00,30.00,30.00,26.00,49.00,31.00
Increase/Decrease in Stocks,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-25.39,-28.09,-16.08,-2.62,-38.35,9.00,-8.78,76.76,35.00,-4.00,-1.00,20.00,31.00,-6.00,-8.00,5.00,-28.00,27.00,5.00,--,-7.00,-4.00,1.00,7.00,-13.00,6.00,-7.00,9.00,-5.00,-3.00,-7.00,3.00,7.00,8.00,-11.00,6.00,14.00
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,71.61,88.20,87.86,91.07,95.26,114.43,118.09,126.24,132.27,157.84,429.42,288.35,296.29,334.13,363.70,380.68,370.08,416.85,437.90,430.50,441.13,488.71,509.12,459.66,472.73,496.72,478.92,592.13,619.88,766.82,830.23,830.92,831.12,931.22,991.59,989.06,1011.19,1113.40,1096.06,1143.56,1275.59,1286.78,1261.07,1269.09,1307.01,1368.13,1457.59,1535.66,1563.24,1635.14,1651.37,1580.41,1569.51,1639.67,1694.91,1939.29,1761.00,1890.00,1878.00,1836.00,1861.00,2008.00,2064.00,2146.00,2329.00,2444.00,2521.00,2622.00,2650.00,2835.00,2886.00,3378.00,3440.00,3751.00,4200.00,4481.00,4661.00,4899.00,5100.00,5139.00,5185.00,5305.00,5173.00,5302.00,5405.00
depreciat,13.15,14.20,14.08,13.89,14.73,15.35,16.44,17.47,18.30,18.96,50.84,34.29,34.70,38.04,44.04,46.37,49.76,50.04,52.73,55.73,59.37,62.42,60.65,62.40,66.42,68.45,67.40,64.73,73.43,73.43,72.15,69.54,76.25,82.08,86.26,89.84,94.89,100.56,103.84,102.84,134.66,124.31,120.11,119.04,127.24,69.35,72.28,74.52,83.77,88.38,95.71,92.80,93.36,102.27,123.42,159.84,131.00,184.00,294.00,284.00,318.00,312.00,328.00,318.00,393.00,393.00,566.00,600.00,651.00,659.00,719.00,784.00,660.00,644.00,728.00,583.00,586.00,560.00,686.00,599.00,506.00,583.00,678.00,604.00,571.00
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,33.29,34.65,35.19,41.37,63.69,59.26,48.75,46.60,--,57.96,164.56,95.59,--,--,122.10,119.64,152.84,156.27,151.78,224.09,127.20,152.96,142.34,159.95,--,--,--,132.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,65.04,66.62,80.91,84.62,103.41,94.20,98.70,99.45,186.79,127.15,183.96,176.14,333.63,336.17,218.39,226.64,214.83,243.20,257.43,309.72,477.52,244.70,236.35,225.02,375.46,369.69,407.54,218.21,397.76,453.18,451.11,498.58,615.41,516.95,516.00,595.87,688.92,637.96,644.13,760.24,1195.82,934.01,1012.66,1065.65,1050.21,888.87,924.99,1101.37,1243.30,1115.68,1010.95,1131.49,904.06,1080.12,1153.58,1240.29,1234.00,1243.00,1271.00,1433.00,1626.00,1773.00,1825.00,2127.00,1891.00,2486.00,2580.00,2805.00,2212.00,2054.00,2250.00,2834.00,2358.00,2351.00,2510.00,2285.00,2363.00,2546.00,2666.00,2503.00,2547.00,2402.00,2506.00,2677.00,2636.00
"P/L Before Other Inc. , Int., Excpt. Items & Tax",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,255.54,2.53,227.01,356.39,141.87,230.93,312.46,259.85,279.28,239.54,204.89,295.57,298.69,426.58,448.97,597.33,489.95,777.10,844.80,922.19,937.05,1505.12,1498.71,1442.37,1592.13,2286.98,1728.05,1792.73,1674.40,1489.25,1491.44,1692.72,1732.68,2015.70,1860.20,1902.32,1677.83,1981.00,2115.00,2247.00,2103.00,2167.00,2377.00,2270.00,2328.00,2135.00,2778.00,2936.00,2979.00,2825.00,3080.00,3488.00,2229.00,3082.00,3000.00,3172.00,3243.00,3181.00,3393.00,3870.00,3368.00,3176.00,3731.00,4159.00,3439.00,3127.00
Other Income,54.86,42.66,25.16,42.06,36.88,42.73,10.40,15.26,21.49,11.97,31.71,21.22,18.45,30.88,46.55,64.40,297.59,43.25,56.10,36.25,34.81,49.86,125.61,44.17,46.17,47.87,45.51,34.06,35.61,42.02,38.53,37.86,47.12,49.55,25.35,31.55,38.21,43.70,39.92,60.37,174.51,114.27,139.65,169.93,235.27,365.08,253.08,251.97,204.61,268.11,361.13,283.40,220.01,237.87,187.53,230.64,199.00,162.00,143.00,198.00,211.00,264.00,116.00,214.00,209.00,93.00,127.00,158.00,316.00,181.00,218.00,250.00,261.00,177.00,187.00,255.00,334.00,184.00,288.00,225.00,262.00,252.00,261.00,301.00,321.00
"P/L Before Int., Excpt. Items & Tax",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,291.79,37.34,276.87,482.00,186.04,277.10,360.33,305.36,313.34,275.15,246.91,334.10,336.55,473.70,498.52,622.68,521.50,815.31,888.50,962.11,997.42,1679.63,1612.98,1582.02,1762.06,2522.25,2093.13,2045.81,1926.37,1693.86,1759.55,2053.85,2016.08,2235.71,2098.07,2089.85,1908.47,2180.00,2277.00,2390.00,2301.00,2378.00,2641.00,2386.00,2542.00,2344.00,2871.00,3063.00,3137.00,3141.00,3261.00,3706.00,2479.00,3343.00,3177.00,3359.00,3498.00,3515.00,3577.00,4158.00,3593.00,3438.00,3983.00,4420.00,3740.00,3448.00
Interest,0.50,1.56,0.66,1.01,2.25,0.82,1.36,1.68,1.76,1.42,4.00,1.59,5.73,2.91,4.15,2.55,3.36,3.80,5.76,6.15,3.36,2.56,3.30,1.90,20.33,15.23,36.07,24.61,25.45,26.29,25.41,24.51,25.19,22.29,22.14,28.92,23.92,22.84,19.66,19.96,14.00,18.47,21.54,19.18,22.46,21.49,12.47,12.21,14.47,16.65,14.74,14.43,10.27,2.49,9.43,33.84,6.00,5.00,6.00,6.00,5.00,4.00,5.00,2.00,27.00,72.00,72.00,67.00,66.00,27.00,64.00,20.00,30.00,25.00,28.00,26.00,27.00,33.00,33.00,34.00,29.00,33.00,29.00,34.00,47.00
P/L Before Exceptional Items & Tax,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,285.64,33.98,274.31,478.70,184.14,256.77,345.10,269.29,288.73,249.70,220.62,308.69,312.04,448.51,476.23,600.54,492.58,791.39,865.66,942.45,977.46,1665.63,1594.51,1560.48,1742.88,2499.79,2071.64,2033.34,1914.16,1679.39,1742.90,2039.11,2001.65,2225.44,2095.58,2080.42,1874.63,2174.00,2272.00,2384.00,2295.00,2373.00,2637.00,2381.00,2540.00,2317.00,2799.00,2991.00,3070.00,3075.00,3234.00,3642.00,2459.00,3313.00,3152.00,3331.00,3472.00,3488.00,3544.00,4125.00,3559.00,3409.00,3950.00,4391.00,3706.00,3401.00
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,93.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,285.64,33.98,274.31,478.70,184.14,256.77,345.10,269.29,288.73,249.70,220.62,308.69,312.04,448.51,476.23,600.54,492.58,791.39,865.66,942.45,977.46,1759.17,1594.51,1560.48,1742.88,2499.79,2071.64,2033.34,1914.16,1679.39,1742.90,2039.11,2001.65,2225.44,2095.58,2080.42,1874.63,2174.00,2272.00,2384.00,2295.00,2373.00,2637.00,2381.00,2540.00,2317.00,2799.00,2991.00,3070.00,3075.00,3234.00,3642.00,2459.00,3313.00,3152.00,3331.00,3472.00,3488.00,3544.00,4125.00,3559.00,3409.00,3950.00,4391.00,3706.00,3401.00
Tax,-0.90,1.65,5.80,0.02,6.34,4.46,2.52,2.93,-0.25,3.14,6.93,-1.00,6.38,5.44,4.91,8.90,56.62,11.78,12.75,22.56,47.52,20.52,80.69,31.57,63.83,44.35,13.85,26.16,11.88,25.74,22.72,52.02,62.92,78.68,106.57,92.43,132.64,165.82,217.73,144.50,311.96,303.54,262.61,330.34,516.55,389.08,369.87,349.42,244.22,343.61,389.45,330.14,426.15,404.86,418.88,153.49,412.00,482.00,415.00,454.00,387.00,483.00,367.00,509.00,524.00,567.00,547.00,570.00,715.00,704.00,245.00,2003.00,641.00,590.00,694.00,469.00,810.00,803.00,929.00,715.00,813.00,984.00,1042.00,943.00,922.00
