0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,22.55,22.55,654.72,654.72,677.27,,625.64,7.83,0.00,0.00,633.47,,213.69,1692.37,126.56,37.00,2069.62,3380.36,,,49.71,0.00,53.48,0.00,103.19,46.67,1.47,0.00,2.85,154.18,,0.00,323.10,2140.37,479.38,283.33,0.00,3226.18,3380.36,,,1256.65,,9029.94,0.00,0.00,0.00,,198.14,,--,,10807.97,1.22,,17.04,,0.04,46.63,,--,--
Mar 06,,,22.62,22.62,747.81,747.81,770.43,,1126.30,8.65,0.00,0.00,1134.95,,193.42,1782.00,83.13,75.29,2133.84,4039.22,,,67.23,0.00,83.14,0.00,150.37,192.93,1.93,0.00,0.00,345.23,,0.00,388.35,2243.94,588.86,472.84,0.00,3693.99,4039.22,,,1248.07,,3761.50,0.00,0.00,0.00,,183.12,,--,,2604.57,25.03,,17.04,,0.06,192.92,,--,--
Mar 07,,,24.65,24.65,1019.53,1019.53,1044.18,,2781.33,18.89,0.00,0.00,2800.22,,243.22,1369.57,281.65,100.87,1995.31,5839.71,,,201.81,2.91,112.21,0.00,316.93,600.82,1.99,0.00,0.00,919.74,,0.00,398.78,1653.58,1357.88,1509.73,0.00,4919.97,5839.71,,,991.20,,3713.13,0.00,0.00,0.00,,114.23,,--,,3545.82,75.97,,17.04,,0.04,600.80,,--,--
Mar 08,,,24.65,24.65,1313.01,1313.01,1337.66,,2965.12,19.18,0.00,0.00,2984.30,,97.40,1842.67,272.66,163.71,2376.44,6698.40,,,198.89,3.06,17.15,0.00,219.10,1494.77,3.03,0.00,0.00,1716.90,,0.00,914.89,1230.62,1089.58,1746.41,0.00,4981.50,6698.40,,,1362.79,,4503.73,0.00,0.00,0.00,,205.76,,--,,5857.98,92.78,,17.04,,22.62,1472.26,,--,--
Mar 09,,,24.66,24.66,1618.44,1618.44,1643.10,,1522.28,22.65,0.00,0.00,1544.93,,1684.44,1228.38,381.44,218.18,3512.44,6700.47,,,207.02,3.06,11.92,0.00,222.00,2156.75,2.81,0.00,0.00,2381.56,,0.00,331.80,1742.42,1380.21,864.48,0.00,4318.91,6700.47,,,1419.98,,5666.59,0.00,0.00,0.00,,228.72,,--,,5987.94,149.14,,17.04,,10.18,2146.57,,--,--
Mar 10,,,49.80,49.80,1920.30,1920.30,1970.10,,987.17,22.56,0.00,0.00,1009.73,,2484.14,1329.92,363.43,281.82,4459.31,7439.14,,,157.50,3.14,50.96,0.00,211.60,2381.01,4.91,0.00,2.26,2599.78,,0.00,266.15,1383.40,1182.41,2007.40,0.00,4839.36,7439.14,,,1000.76,,7878.10,0.00,0.00,0.00,,111.95,,--,,3688.77,19.13,,41.84,,15186.46,1510.32,,--,--
Mar 11,,,109.98,109.98,9658.18,9658.18,9768.16,,150.00,0.95,0.00,3.15,154.10,,646.81,732.39,155.08,157.28,1691.56,11613.82,,,208.86,29.28,122.82,0.00,360.96,3440.83,0.00,3608.01,4.33,7414.13,,31.94,470.91,925.15,291.08,2477.11,3.50,4199.69,11613.82,,,1346.42,,0.00,2022.44,2022.44,0.00,,15.92,,--,,48.76,1.58,,41.84,,38480.01,1241.10,,9.77,22.17
Mar 12,,,109.98,109.98,9892.08,9892.08,10002.06,,857.70,22.68,287.32,4.34,1172.04,,705.07,1768.28,381.87,142.90,2998.12,14172.22,,,889.38,26.32,145.24,0.00,1060.94,3545.69,0.00,3778.42,0.55,8385.60,,82.44,643.31,1833.03,374.46,2714.80,138.58,5786.62,14172.22,,,946.69,,0.00,3237.39,3237.39,405.52,,29.96,,--,,--,--,,41.84,,30593.45,1345.96,,9.54,72.90
Mar 13,,,109.98,109.98,10256.96,10256.96,10366.94,,1490.00,72.61,341.25,5.19,1909.05,,3438.27,3770.36,635.29,182.76,8026.68,20302.67,,,895.46,21.53,163.49,0.00,1080.48,4046.10,0.00,5753.21,0.00,10879.79,,20.59,736.71,3698.32,1898.88,3001.10,67.28,9422.88,20302.67,,,3396.99,,0.00,7576.82,7576.82,0.96,,40.09,,1.77,,17.29,--,,41.84,,27756.56,1846.37,,--,20.59
Mar 14,,,109.98,109.98,9924.29,9924.29,10034.27,,2040.58,0.00,250.09,6.11,2296.78,,3973.50,4984.40,1082.25,185.88,10226.03,22557.08,,,906.64,17.33,254.86,0.00,1178.83,6550.59,111.15,4221.07,0.00,12061.64,,1.00,1068.51,3113.02,260.88,5938.43,113.60,10495.44,22557.08,,,4156.04,,0.00,7861.77,7861.77,0.45,,38.66,,2.47,,--,0.42,,41.84,,38728.09,1961.71,,--,1.00
