0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,140.00,142.81,389.40,389.40,532.21,,462.28,60.46,0.00,0.00,522.75,,138.85,26.55,499.93,7.49,672.83,1791.24,,,999.54,126.76,437.15,0.00,1563.44,32.03,38.95,0.00,11.37,1645.79,,0.00,3.05,42.68,30.58,69.13,0.00,145.45,1791.24,,,124.33,,0.00,0.00,0.00,0.00,,6.59,,--,,--,--,,--,,--,32.03,,--,--
Mar 06,,,180.21,183.03,415.54,415.54,598.56,,845.13,92.42,0.00,0.00,937.55,,111.47,55.52,554.37,58.92,780.28,2321.61,,,1403.83,81.12,412.17,0.00,1897.13,122.82,31.99,0.00,0.00,2051.94,,0.00,4.61,78.38,95.65,54.98,36.06,269.68,2321.61,,,209.24,,0.09,0.00,0.00,40.37,,9.13,,--,,--,0.40,,--,,--,122.82,,--,--
Mar 07,,,360.43,363.24,383.11,383.11,746.35,,1195.44,52.58,0.00,0.00,1248.01,,86.81,94.28,849.31,22.77,1053.17,3047.53,,,1902.15,81.33,417.94,0.00,2401.42,78.99,5.47,0.00,5.85,2491.72,,0.00,10.44,345.64,56.90,61.51,81.32,555.81,3047.53,,,423.25,,4.27,0.00,0.00,78.79,,14.49,,--,,--,0.11,,180.21,,--,78.99,,--,--
Mar 08,,,400.68,403.49,2209.02,2209.02,2612.51,,1780.53,177.42,0.00,0.00,1957.95,,126.22,114.29,822.23,95.09,1157.82,5728.28,,,2748.73,93.10,405.83,0.00,3247.66,1082.66,0.00,0.00,0.00,4330.33,,0.00,18.47,296.34,889.56,113.33,80.26,1397.95,5728.28,,,545.10,,1.24,0.00,0.00,254.73,,21.12,,--,,--,16.00,,180.21,,836.81,257.11,,--,--
Mar 09,,,400.68,403.49,2541.78,2541.78,2945.27,,1872.28,229.70,0.00,0.00,2101.98,,440.72,173.84,785.93,46.88,1447.37,6494.63,,,3155.11,96.31,1232.55,0.00,4483.97,431.75,0.00,0.00,0.00,4915.72,,0.00,26.49,211.64,1130.71,123.06,87.00,1578.91,6494.63,,,877.39,,40.20,0.00,0.00,395.27,,33.96,,23.83,,--,0.64,,180.21,,142.99,301.75,,--,--
Mar 10,,,400.68,403.49,3084.76,3084.76,3488.24,,1497.15,281.21,0.00,0.00,1778.36,,1660.03,225.12,813.76,73.68,2772.58,8039.18,,,4113.43,96.51,1394.61,0.00,5604.54,721.03,0.00,0.00,0.00,6325.58,,0.00,31.39,157.99,858.68,648.39,17.15,1713.60,8039.18,,,1069.41,,180.12,0.00,0.00,941.08,,61.70,,21.33,,--,8.46,,180.21,,--,721.03,,--,--
Mar 11,,,400.68,403.49,3890.58,3890.58,4294.07,,947.67,349.58,632.58,0.18,1930.01,,650.41,127.75,1393.00,113.93,2285.10,8509.18,,,5240.24,65.41,1076.78,0.00,6382.42,715.04,0.00,698.36,113.09,7908.90,,0.00,41.16,265.13,115.03,149.80,29.15,600.28,8509.18,,,1509.34,,0.00,228.02,228.02,108.77,,42.27,,9.24,,--,3.75,,180.21,,--,715.04,,--,--
Mar 12,,,400.68,403.49,4817.95,4817.95,5221.44,,4132.81,429.75,603.51,0.00,5166.07,,1004.89,182.33,1343.84,257.99,2789.05,13176.56,,,5742.89,62.18,2189.84,0.00,8252.04,1837.55,0.00,1862.56,188.52,12140.67,,0.00,62.52,242.73,535.99,156.89,37.76,1035.89,13176.56,,,5480.75,,0.00,219.81,219.81,529.02,,47.71,,0.14,,--,--,,180.21,,--,1837.55,,--,--
Mar 13,,,400.68,403.49,6300.48,6300.48,6703.97,,7404.61,552.97,569.95,46.58,8574.11,,394.70,134.62,2149.05,298.84,2977.21,18255.29,,,7709.37,59.05,1131.69,0.00,9913.49,1207.29,0.00,2141.37,286.23,13548.38,,120.01,87.29,729.43,593.59,1645.35,1531.24,4706.91,18255.29,,,5985.49,,0.00,89.38,89.38,739.50,,176.55,,0.14,,--,4.93,,180.21,,--,1207.29,,--,120.01
Mar 14,,,414.01,416.82,8919.07,8919.07,9335.89,,7861.22,670.79,886.34,281.03,9699.38,,405.55,216.67,942.74,304.15,1869.11,20904.38,,,8481.42,55.82,661.49,0.00,9198.73,1786.26,0.00,4326.14,810.76,16121.89,,0.00,143.03,829.42,399.83,2840.60,569.61,4782.49,20904.38,,,1793.49,,0.00,128.88,128.88,22.17,,222.66,,0.20,,--,1.05,,180.21,,--,1786.26,,--,--
