0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,41.60,41.60,286.22,286.22,327.82,,124.68,53.56,0.00,0.00,178.25,,12.94,37.57,31.40,55.34,137.26,643.32,,,287.63,0.03,4.83,0.00,292.48,99.25,0.00,0.00,3.33,395.07,,0.00,37.12,80.82,21.91,101.38,7.02,248.25,643.32,,,118.45,,2.65,0.00,0.00,12.55,,1.67,,2.45,,--,16.46,,--,,57.22,41.56,,--,--
Mar 06,,,50.60,50.60,603.88,603.88,654.48,,80.83,55.02,0.00,0.00,135.85,,1.94,45.03,55.96,89.31,192.24,982.57,,,340.18,0.01,13.32,0.00,353.51,255.53,0.00,0.00,1.77,610.82,,0.00,45.72,89.04,36.44,183.09,17.47,371.75,982.57,,,119.52,,3.00,0.00,0.00,13.53,,2.13,,1.77,,--,9.03,,--,,47.08,212.01,,--,--
Mar 07,,,51.64,51.64,694.83,694.83,746.47,,142.11,57.06,0.00,0.00,199.17,,2.07,68.89,56.57,91.21,218.73,1171.24,,,402.81,0.03,42.46,0.00,445.30,263.98,0.00,0.00,0.78,710.06,,0.00,55.19,97.89,64.40,184.71,58.98,461.17,1171.24,,,423.69,,2.97,0.00,0.00,20.00,,8.81,,1.42,,--,13.21,,--,,40.78,304.52,,--,--
Mar 08,,,58.69,58.69,1164.78,1164.78,1223.47,,289.58,58.97,0.00,0.00,348.55,,16.05,73.08,67.21,140.48,296.82,1883.41,,,524.31,0.03,74.75,0.00,599.10,646.45,0.00,0.00,0.31,1245.86,,0.00,79.09,126.16,104.56,268.19,59.56,637.55,1883.41,,,354.19,,3.32,0.00,0.00,27.12,,5.28,,0.19,,--,13.00,,--,,69.65,602.02,,--,--
Mar 09,,,60.24,60.24,1302.91,1302.91,1363.15,,432.59,62.66,0.00,0.00,495.25,,16.89,77.29,75.41,197.09,366.67,2232.78,,,662.64,0.04,245.15,0.00,907.83,538.05,0.00,0.00,0.05,1445.92,,0.00,108.84,160.74,74.62,361.43,81.23,786.86,2232.78,,,569.85,,2.75,0.00,0.00,86.45,,7.71,,0.39,,--,19.59,,--,,74.10,498.45,,--,--
Mar 10,,,61.78,61.78,1479.99,1479.99,1541.78,,589.99,75.15,0.00,0.00,665.13,,100.00,146.28,115.82,260.74,622.85,2829.76,,,923.97,0.06,293.65,0.00,1217.69,489.79,0.00,0.00,0.01,1707.49,,0.00,134.34,205.53,285.56,496.83,0.00,1122.27,2829.76,,,494.38,,2.82,0.00,0.00,80.90,,2.26,,0.38,,--,18.04,,--,,532.84,412.96,,--,--
Mar 11,,,62.36,62.36,1641.30,1641.30,1772.16,,558.63,107.11,5.03,205.29,876.05,,117.32,179.40,142.03,68.41,507.15,3155.36,,,1036.36,9.39,341.16,0.00,1398.15,515.54,0.00,452.15,0.00,2365.84,,108.57,150.52,269.64,141.44,100.92,18.44,789.53,3155.36,,,995.33,,58.96,0.00,0.00,0.00,,2.86,,0.37,,--,21.51,,--,,65.93,479.58,,--,20.38
Mar 12,,,67.23,67.23,2246.33,2246.33,2352.27,,421.67,170.09,4.78,265.70,862.23,,138.30,170.94,157.27,77.32,543.82,3758.32,,,1423.88,12.12,189.32,0.00,1636.94,647.01,0.00,510.33,0.00,2794.29,,117.11,182.71,353.77,186.96,97.67,25.83,964.04,3758.32,,,1468.14,,40.78,0.00,0.00,0.00,,3.45,,0.36,,--,21.85,,--,,71.37,607.64,,100.18,20.38
Mar 13,,,69.56,69.56,2658.03,2658.03,2727.60,,878.78,239.41,3.77,0.00,1121.95,,18.93,176.34,203.76,106.00,505.03,4354.58,,,1677.47,14.04,357.92,0.00,2064.24,525.45,0.00,301.60,0.00,2891.29,,370.59,205.39,426.61,255.47,189.93,15.31,1463.29,4354.58,,,1216.72,,89.03,0.00,0.00,0.00,,3.93,,0.37,,--,31.21,,--,,66.02,486.08,,365.75,13.59
Mar 14,,,69.56,69.56,2895.16,2895.16,2964.73,,1005.24,328.86,2.76,0.00,1336.86,,15.93,248.72,158.72,131.64,555.01,4856.59,,,1975.91,12.79,463.57,0.00,2469.66,541.76,0.00,487.61,0.00,3499.03,,148.27,264.97,468.45,208.90,248.93,18.04,1357.56,4856.59,,,1266.72,,104.18,0.00,0.00,0.00,,3.74,,0.48,,--,53.43,,--,,79.44,501.39,,144.36,13.59
Mar 15,,,69.56,69.56,3091.51,3091.51,3161.07,,1460.80,401.95,0.15,0.00,1862.90,,55.78,320.10,289.68,130.44,795.99,5819.96,,,2413.86,13.69,512.16,0.00,2939.70,598.86,0.00,585.06,0.00,4123.63,,114.16,332.50,549.55,249.23,419.92,30.98,1696.33,5819.96,,,1424.79,,109.97,0.00,0.00,0.00,,8.24,,0.49,,--,92.76,,--,,113.41,557.88,,115.84,6.79
Mar 16,,,69.56,69.56,3360.57,3360.57,3430.13,,1948.95,476.91,0.26,0.00,2426.12,,153.01,401.28,374.71,53.17,982.18,6838.43,,,2824.11,107.52,579.10,0.00,3510.72,842.45,0.00,702.41,0.00,5055.58,,67.32,422.15,615.11,255.76,372.45,50.05,1782.84,6838.43,,,2188.89,,98.49,0.00,0.00,0.00,,9.23,,0.44,,--,97.39,,--,,105.69,798.65,,63.58,16.79
Mar 17,,,69.56,69.56,3509.45,3509.45,3579.01,,2619.81,233.67,10.28,0.00,2863.77,,48.91,392.02,247.61,61.84,750.37,7193.15,,,3484.34,115.68,327.55,0.00,3927.56,977.71,0.00,0.00,543.45,5448.72,,86.05,442.50,663.59,272.75,0.00,279.53,1744.43,7193.15,,,632.84,,0.00,0.00,0.00,80.91,,8.80,,--,,--,92.24,,--,,110.44,938.34,,--,86.05
Mar 18,,,69.56,69.56,3623.94,3623.94,3693.50,,2547.10,246.61,9.79,0.00,2803.50,,349.53,473.39,424.64,67.52,1315.07,7812.07,,,3630.13,131.39,698.30,0.00,4459.82,898.27,0.00,0.00,474.16,5832.24,,2.01,538.68,749.94,294.56,0.00,394.65,1979.83,7812.07,,,1735.81,,0.00,0.00,0.00,45.57,,13.40,,0.45,,--,94.10,,--,,97.52,858.90,,--,2.01
Mar 19,,,69.56,69.56,3813.85,3813.85,3883.42,,2597.33,310.37,4.15,0.00,2911.85,,455.69,536.43,544.93,96.04,1633.08,8428.35,,,3844.77,125.04,818.81,0.00,4788.62,1072.71,0.00,19.59,544.41,6425.33,,12.57,561.15,909.32,277.66,8.00,234.34,2003.02,8428.35,,,1065.38,,0.00,0.00,0.00,10.52,,21.81,,0.31,,--,99.02,,--,,77.43,1033.34,,--,12.57
Mar 20,,,69.60,69.60,3918.80,3918.80,3988.40,,2499.70,291.30,1421.80,0.00,4212.80,,456.90,727.20,650.50,108.40,1943.00,10144.20,,,5937.80,117.90,200.10,0.00,6282.30,1048.80,0.00,38.20,459.90,7829.20,,27.50,707.40,966.10,346.50,7.00,260.50,2315.00,10144.20,,,868.80,,0.00,0.00,0.00,114.10,,17.70,,0.20,,--,90.80,,--,,68.50,1009.40,,--,27.50
Mar 21,,,71.90,71.90,5129.60,5129.60,5201.50,,1965.40,297.80,743.20,0.00,3006.40,,0.00,849.60,574.20,97.50,1521.30,9729.20,,,4895.60,142.40,196.90,0.00,5257.20,1134.50,0.00,31.20,268.60,6691.50,,956.20,210.30,1204.00,408.20,5.30,253.70,3037.70,9729.20,,,1452.40,,0.00,0.00,0.00,32.80,,12.10,,0.10,,--,62.80,,--,,108.40,1095.20,,--,956.20
Mar 22,,,71.90,71.90,6038.80,6038.80,6110.70,,1908.10,524.10,676.10,0.00,3108.30,,116.10,653.20,349.10,70.80,1189.20,10408.20,,,5100.60,20.10,22.40,0.00,5144.60,1558.30,0.00,32.00,218.10,6953.00,,500.80,146.80,824.20,556.90,4.10,1422.40,3455.20,10408.20,,,863.40,,0.00,0.00,0.00,31.10,,15.60,,0.10,,--,82.00,,--,,118.70,1518.20,,--,500.80
Mar 23,,,71.90,71.90,6852.90,6852.90,6924.80,,1520.10,382.80,709.40,0.00,2612.30,,240.50,632.90,292.80,77.10,1243.30,10780.40,,,5049.40,28.60,89.00,0.00,5174.40,1925.60,0.00,235.60,294.10,7629.70,,291.60,98.30,820.00,318.00,80.30,1542.50,3150.70,10780.40,,,928.80,,0.00,0.00,0.00,44.80,,16.80,,0.60,,--,58.70,,--,,156.80,1885.00,,--,291.60
Mar 24,,,71.90,71.90,7639.00,7639.00,7710.90,,1785.50,376.40,1162.20,0.00,3324.10,,170.20,757.50,341.20,101.30,1370.20,12405.20,,,5970.80,60.80,172.50,0.00,6231.30,1937.70,0.00,244.60,316.50,8730.10,,683.50,118.70,808.30,342.20,79.10,1643.30,3675.10,12405.20,,,649.80,,0.00,0.00,0.00,7.90,,46.60,,0.30,,--,120.60,,--,,347.80,1896.50,,--,683.50
