0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,95.92,95.92,476.30,476.30,572.22,,47.35,39.72,0.00,0.00,87.07,,17.69,278.71,112.25,111.70,520.36,1179.65,,,284.97,26.26,12.53,0.00,323.76,258.43,9.18,0.00,0.00,591.36,,0.00,330.79,148.96,21.04,84.65,2.84,588.29,1179.65,,,148.83,,149.06,0.00,0.00,5.42,,3.90,,0.06,,10.42,3.30,,93.99,,92.50,163.91,,--,--
Mar 06,,,95.92,95.92,526.36,526.36,622.28,,54.30,37.06,0.00,0.00,91.35,,18.28,301.70,150.35,107.29,577.62,1291.26,,,272.05,28.38,5.87,0.00,306.30,274.55,8.59,0.00,24.26,613.70,,0.00,348.79,185.11,28.39,115.28,0.00,677.56,1291.26,,,187.26,,201.08,0.00,0.00,3.14,,6.95,,0.04,,12.74,7.65,,93.99,,158.25,197.17,,--,--
Mar 07,,,95.92,95.92,648.16,648.16,744.08,,58.93,36.85,0.00,0.00,95.78,,48.67,432.44,179.71,54.15,714.97,1554.82,,,304.24,30.68,16.31,0.00,351.23,334.39,14.70,0.00,0.00,700.32,,0.00,434.07,235.96,42.49,136.50,5.49,854.51,1554.82,,,180.22,,225.42,0.00,0.00,1.47,,5.61,,0.07,,16.60,7.47,,93.99,,183.02,257.01,,--,--
Mar 08,,,95.92,95.92,832.58,832.58,928.50,,63.83,48.38,0.00,0.00,112.21,,13.57,590.20,212.21,166.49,982.47,2023.18,,,395.70,33.13,136.25,0.00,565.08,422.88,16.86,0.00,0.00,1004.82,,0.00,538.97,251.90,41.35,186.14,0.00,1018.36,2023.18,,,222.05,,337.84,0.00,0.00,4.69,,14.65,,0.02,,14.50,9.79,,93.99,,254.26,345.50,,--,--
Mar 09,,,95.92,95.92,998.55,998.55,1094.47,,65.29,67.94,0.00,0.00,133.23,,0.00,534.86,246.28,185.84,966.98,2194.68,,,586.23,36.68,164.64,0.00,787.55,234.77,20.03,0.00,0.00,1042.35,,0.00,546.71,311.02,128.26,166.34,0.00,1152.33,2194.68,,,356.87,,384.42,0.00,0.00,33.00,,17.27,,0.05,,14.47,14.53,,93.99,,178.76,157.39,,--,--
Mar 10,,,95.92,95.92,1461.30,1461.30,1557.22,,65.96,70.47,0.00,0.00,136.43,,0.33,864.43,294.14,304.17,1463.07,3156.72,,,660.76,46.70,380.72,0.00,1088.18,703.69,22.57,0.00,0.00,1814.44,,0.00,763.14,331.43,28.60,219.11,0.00,1342.28,3156.72,,,223.80,,476.53,0.00,0.00,107.61,,27.11,,0.05,,15.37,19.09,,93.99,,186.79,155.31,,--,--
Mar 11,,,95.92,95.92,1879.40,1879.40,1975.32,,57.71,75.50,4.96,66.43,204.60,,3.98,931.89,464.50,274.75,1675.12,3855.04,,,1038.65,18.54,39.67,0.00,1096.86,206.83,0.00,97.78,0.00,1401.47,,341.00,1071.76,355.56,509.01,84.79,91.45,2453.57,3855.04,,,618.45,,742.23,0.00,0.00,6.83,,16.25,,--,,24.56,19.39,,93.99,,218.75,145.40,,--,--
Mar 12,,,95.92,95.92,2391.86,2391.86,2487.78,,52.64,80.75,3.62,65.16,202.17,,110.51,1069.06,755.44,355.07,2290.08,4980.03,,,987.79,21.25,602.84,0.00,1611.88,279.22,0.00,311.34,0.00,2202.44,,263.00,1264.42,500.24,500.97,153.69,95.27,2777.59,4980.03,,,785.37,,957.94,0.00,0.00,143.45,,30.13,,0.10,,21.53,20.72,,93.99,,210.08,222.79,,--,--
Mar 13,,,95.92,95.92,2926.34,2926.34,3022.26,,46.76,143.33,0.50,76.77,267.36,,0.00,1214.12,720.99,423.55,2358.66,5648.28,,,2074.91,26.98,52.55,0.00,2154.44,359.70,0.00,92.88,0.00,2607.02,,90.00,1480.79,633.88,566.86,164.08,105.65,3041.26,5648.28,,,464.28,,1247.89,0.00,0.00,217.50,,37.49,,0.11,,26.98,27.97,,93.99,,315.18,220.63,,75.85,15.00
Mar 14,,,95.92,95.92,3505.01,3505.01,3600.93,,39.51,177.07,0.12,80.24,296.94,,0.00,1498.84,747.52,537.48,2783.84,6681.71,,,1973.21,38.99,37.95,0.00,2050.15,548.19,0.00,94.64,6.32,2699.30,,482.00,1665.05,712.36,745.36,201.54,176.10,3982.41,6681.71,,,447.75,,1683.92,0.00,0.00,17.00,,61.52,,0.12,,32.70,31.77,,93.99,,367.74,362.12,,503.17,--
