0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,ASSETS,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,OTHER ADDITIONAL INFORMATION,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),KEY PERFORMANCE INDICATORS,Tier 1 (%),Tier 2 (%),ASSETS QUALITY,Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),"CONTINGENT LIABILITIES, COMMITMENTS",Bills for Collection,Contingent Liabilities
Mar 11,,,410.55,410.55,0.00,18588.28,18588.28,18998.83,189237.80,26267.88,8208.86,242713.37,,13886.16,7522.49,71991.62,142407.83,2273.15,4632.12,242713.37,,1390.00,26435.00,12.65,,9.41,3.24,,1599.42,1.00,1186.74,0.26,0.00,,32473.11,477864.55
Mar 12,,,413.20,413.20,0.00,22395.34,22395.34,22808.54,220104.30,34071.67,8643.28,285627.79,,10702.92,3230.99,93192.09,169759.54,2259.33,6482.93,285627.79,,1622.00,31738.00,13.66,,9.45,4.21,,1806.30,1.00,1186.74,0.25,0.00,,34634.60,514871.98
Mar 13,,,467.95,467.95,0.00,32639.91,32639.91,33107.86,252613.59,43951.10,10888.11,340560.66,,14792.09,5642.87,113737.54,196965.96,2355.64,7066.56,340560.66,,1947.00,37901.00,17.00,,12.23,4.77,,2393.42,1.00,704.13,0.36,0.00,,27894.88,576010.77
Mar 14,,,469.84,469.84,0.00,37750.64,37750.64,38220.49,280944.56,50290.94,13788.89,383244.89,,17041.32,11197.38,113548.43,230066.76,2410.21,8980.79,383244.89,,2402.00,42420.00,16.07,,12.62,3.45,,3146.41,1.00,1024.62,0.44,0.00,,36601.58,611446.37
Mar 15,,,474.10,474.10,0.00,44202.41,44202.41,44676.52,322441.94,79758.27,15055.67,461932.39,,19818.84,16280.19,132342.83,281083.03,2514.31,9893.19,461932.39,,2589.00,42230.00,15.09,,12.07,3.02,,4110.19,1.00,1316.71,0.46,0.00,,49008.69,640183.59
Mar 16,,,476.57,476.57,0.00,52688.34,52688.34,53164.91,357967.56,99226.38,15108.77,525467.62,,22361.15,10964.29,122006.20,338773.72,3523.17,27839.08,525467.62,,2904.00,50135.00,15.29,,12.51,2.78,,6087.51,2.00,2522.14,0.74,1.00,,80764.78,668725.82
Mar 17,,,479.01,479.01,0.00,55283.53,55283.53,55762.54,414378.79,105030.87,26295.47,601467.67,,30857.94,19398.24,128793.37,373069.35,3746.89,45601.87,601467.67,,3304.00,56617.00,14.95,,11.87,3.08,,21280.48,5.00,8626.60,2.27,2.00,,81055.36,0.00
Mar 18,,,513.31,513.31,0.00,62931.95,62931.95,63445.26,453622.72,148016.14,26245.45,691329.58,,35481.06,7973.83,153876.08,439650.30,3971.68,50376.62,691329.58,,3703.00,59614.00,16.57,,13.04,3.53,,34248.64,7.00,16592.00,3.69,4.00,,49565.60,0.00
Mar 19,,,514.33,514.33,0.00,66161.97,66161.97,66676.30,548471.34,152775.78,33073.12,800996.53,,35099.03,32105.60,174969.28,494797.97,4036.64,59988.01,800996.53,,4050.00,61940.00,15.84,,12.54,3.30,,29789.00,5.00,18351.00,2.06,2.00,,51972.86,755765.27
Mar 20,,,564.34,564.34,0.00,84383.51,84383.51,84947.84,640104.94,147954.13,42157.90,915164.82,,84959.24,12309.04,156734.32,571424.16,4312.90,85425.16,915164.82,,4528.00,74140.00,17.53,,14.49,3.04,,30233.82,5.00,9360.41,1.56,2.00,,47842.76,922968.76
Mar 21,,,612.75,612.75,0.00,100990.26,100990.26,101603.01,707306.08,142873.16,44336.17,996118.42,,51808.56,9921.26,226119.62,623720.19,4245.03,80303.76,996118.42,,4594.00,78307.00,19.12,,16.47,2.65,,25314.84,4.00,6993.52,1.05,1.00,,50375.27,80303.76
Mar 22,,,613.95,613.95,0.00,114411.51,114411.51,115174.06,821720.91,185133.86,53149.28,1175178.11,,94034.51,16952.62,275597.20,707695.95,4572.35,76325.48,1175178.11,,4758.00,85815.00,18.54,,16.34,2.20,,21822.32,2.82,5512.16,0.73,0.73,,66947.44,1292104.57
Mar 23,,,615.37,615.37,0.00,124377.87,124377.87,125416.66,946945.21,186300.04,58663.63,1317325.53,,66117.76,40293.05,288814.83,845302.84,4733.85,72063.20,1317325.53,,4910.00,91898.00,17.64,,14.57,3.07,,36467.35,2.02,3558.92,0.39,0.39,,68176.55,1441248.94
Mar 24,,,617.31,617.31,0.00,149617.68,149617.68,151061.58,1068641.39,196811.75,60693.88,1477208.60,,86077.48,28376.90,331527.25,965068.38,5684.58,60474.00,1477208.60,,5705.00,104332.00,16.63,,14.20,2.43,,33034.79,1.43,14345.04,0.31,0.31,,73625.10,1908892.46
