0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 06,,,101.18,101.18,4669.55,4669.55,4770.73,,1467.13,190.21,0.00,0.00,1657.34,,0.02,1155.82,73.05,2315.89,3544.78,9972.85,,,1133.00,0.00,43.33,0.00,1176.33,5856.97,102.63,0.00,0.00,7135.93,,0.00,272.93,301.55,82.09,2180.35,0.00,2836.92,9972.85,,,719.06,,235.05,0.00,0.00,92.30,,38.36,,--,,933.38,10.53,,114.17,,7303.41,247.22,,--,--
Mar 07,,,101.18,101.18,5433.14,5433.14,5534.32,,1602.97,184.49,0.00,0.00,1787.46,,22.46,1374.51,124.46,2833.79,4355.22,11677.00,,,1273.60,0.00,107.62,0.00,1381.22,6447.53,110.32,0.00,0.00,7939.07,,0.00,309.70,529.83,83.48,2814.92,0.00,3737.93,11677.00,,,811.66,,457.68,0.00,0.00,56.65,,33.42,,--,,1692.40,37.36,,114.17,,8330.50,294.07,,--,--
Mar 08,,,144.68,144.68,1442.91,1442.91,1587.59,,1334.34,141.94,0.00,0.00,1476.28,,0.00,878.75,164.50,834.04,1877.29,4941.16,,,1268.61,0.00,34.74,0.00,1303.35,1857.14,130.96,0.00,0.00,3291.45,,0.00,349.61,275.31,56.07,968.72,0.00,1649.71,4941.16,,,1129.29,,281.70,0.00,0.00,41.68,,33.36,,--,,2047.81,29.96,,114.17,,1256.57,627.60,,--,--
Mar 09,,,144.68,144.68,1725.01,1725.01,1869.69,,1321.50,164.79,0.00,0.00,1486.29,,248.50,799.98,413.43,1224.15,2686.06,6042.04,,,1542.29,0.00,106.48,0.00,1648.77,1808.52,160.60,0.00,183.30,3801.19,,0.00,338.84,358.65,136.87,1406.49,0.00,2240.85,6042.04,,,924.96,,245.93,0.00,0.00,300.22,,179.59,,--,,2640.40,41.51,,114.17,,1083.15,765.42,,--,--
Mar 10,,,144.68,144.68,2783.66,2783.66,2928.34,,1325.60,191.81,0.00,0.00,1517.41,,12.98,1571.20,455.05,2248.72,4287.95,8733.70,,,1479.59,0.00,120.84,0.00,1600.43,4021.52,190.12,0.00,0.00,5812.07,,0.00,446.21,272.84,101.41,2101.17,0.00,2921.63,8733.70,,,818.25,,284.92,0.00,0.00,32.11,,142.11,,--,,3245.82,23.13,,114.17,,1484.81,2573.36,,--,--
Mar 11,,,289.37,289.37,4620.85,4620.85,4910.22,,133.88,29.71,193.71,124.54,481.84,,157.84,1789.26,477.11,1431.26,3855.47,9247.53,,,1478.43,4.28,69.86,0.00,1552.57,4035.08,0.00,226.96,401.77,6216.38,,686.83,547.28,359.89,228.78,992.09,216.28,3031.15,9247.53,,,959.66,,109.27,405.40,405.40,37.78,,279.97,,--,,4450.45,114.33,,258.85,,--,1057.12,,--,516.59
Mar 12,,,289.37,289.37,5751.70,5751.70,6041.07,,97.48,48.44,157.07,111.85,414.84,,0.00,2003.08,559.04,2063.04,4625.16,11081.07,,,1479.59,2.14,11.77,0.00,1523.38,3786.21,0.00,579.90,1.43,5890.92,,1096.60,678.53,422.79,1653.83,1042.81,295.59,5190.15,11081.07,,,1445.67,,115.70,531.28,531.28,21.70,,338.67,,--,,6449.18,177.12,,258.85,,--,1293.88,,--,562.50
Mar 13,,,289.37,289.37,7612.58,7612.58,7901.95,,71.27,115.10,122.06,134.61,443.04,,0.00,1979.61,546.16,1607.86,4133.63,12478.62,,,1804.43,0.00,223.29,0.00,2097.98,3719.15,0.00,462.39,1.02,6280.54,,2711.33,636.28,767.58,558.86,1311.72,212.31,6198.08,12478.62,,,1252.99,,38.17,547.85,547.85,378.37,,93.64,,--,,6508.27,57.07,,258.85,,--,2407.13,,--,1545.75
Mar 14,,,289.37,289.37,9318.65,9318.65,9608.02,,57.74,143.18,87.43,120.99,409.34,,0.00,2111.40,766.14,1852.70,4730.24,14747.60,,,2006.04,0.00,32.55,0.00,2150.10,6259.93,0.00,719.92,1.02,9130.97,,2289.70,639.72,796.21,495.48,978.45,417.07,5616.63,14747.60,,,1170.58,,37.24,502.16,502.16,51.93,,100.09,,--,,7931.46,32.40,,258.85,,1277.50,4966.56,,--,2289.70
Mar 15,,,289.37,289.37,10402.78,10402.78,10692.15,,111.77,141.58,57.59,82.44,393.38,,0.00,1799.75,767.47,1909.57,4476.79,15562.32,,,1917.24,0.00,101.72,0.00,2172.18,3352.76,0.00,511.07,0.04,6036.05,,5800.56,814.15,716.96,586.15,1261.61,346.84,9526.27,15562.32,,,1594.74,,14.27,616.81,616.81,25.47,,155.12,,--,,9410.42,33.09,,258.85,,--,2855.97,,--,738.88
Mar 16,,,289.37,289.37,12977.18,12977.18,13266.55,,0.00,202.80,188.59,47.57,438.96,,0.00,2027.04,641.00,112.95,2780.99,16486.50,,,1936.38,89.29,26.89,60.43,2138.34,8940.65,0.00,29.47,652.79,11761.25,,1319.94,719.07,717.93,859.52,7.05,1101.74,4725.25,16486.50,,,1980.12,,0.00,0.00,0.00,0.00,,774.90,,--,,9404.68,--,,258.85,,788.47,9472.12,,--,--
Mar 17,,,289.37,289.37,16744.76,16744.76,17034.13,,119.90,313.62,56.53,78.13,568.18,,0.00,2235.73,855.92,120.93,3212.58,20814.89,,,1898.61,44.65,10.64,58.53,2043.96,8681.39,0.00,29.74,668.43,11423.52,,6050.08,728.38,953.29,293.68,6.47,1359.47,9391.37,20814.89,,,2019.79,,0.00,0.00,0.00,0.00,,697.92,,--,,--,7336.49,,258.85,,3594.99,11149.49,,--,--
Mar 18,,,289.37,289.37,18814.49,18814.49,19103.86,,120.77,323.42,47.96,112.19,604.34,,0.00,3244.32,741.37,125.60,4111.29,23819.49,,,1821.22,0.00,11.15,57.11,1934.80,11822.89,0.00,30.64,795.53,14583.86,,5765.41,742.58,1491.87,778.00,6.26,451.51,9235.63,23819.49,,,2248.64,,0.00,0.00,0.00,0.00,,673.41,,--,,--,9281.46,,258.85,,5393.32,12198.87,,--,--
Mar 19,,,289.37,289.37,21490.53,21490.53,21779.90,,0.00,542.66,169.59,14.56,726.81,,0.00,3786.73,946.33,140.62,4873.68,27380.39,,,1688.69,19.75,11.54,55.50,1811.96,17582.88,0.00,31.63,891.26,20317.73,,1576.48,961.51,2559.69,922.81,6.34,1035.83,7062.66,27380.39,,,1853.88,,0.00,0.00,0.00,0.00,,973.07,,--,,--,11434.23,,258.85,,5600.71,13560.83,,--,--
