0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 08,,,72.34,72.34,1108.78,1108.78,1181.12,,310.76,26.67,0.00,0.00,337.43,,0.00,0.78,1.18,47.19,49.15,1567.70,,,99.85,0.00,0.00,0.00,99.85,1346.96,29.29,0.00,0.00,1476.10,,0.00,0.00,0.00,0.03,91.57,0.00,91.60,1567.70,,,5.04,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,1259.52,204.75,,--,--
Mar 09,,,72.34,72.34,1133.21,1133.21,1205.55,,310.76,16.94,0.00,0.00,327.70,,0.00,2.36,1.23,75.49,79.08,1612.33,,,71.14,0.00,19.03,0.00,90.17,1409.88,25.25,0.00,0.00,1525.30,,0.00,0.00,2.89,1.24,82.90,0.00,87.03,1612.33,,,23.56,,0.00,0.00,0.00,0.00,,0.41,,--,,5.27,--,,--,,980.97,206.75,,--,--
Mar 10,,,72.34,72.34,1145.73,1145.73,1218.07,,310.76,10.55,0.00,0.00,321.31,,0.00,3.79,7.79,95.81,107.39,1646.77,,,86.34,0.00,0.16,0.00,86.50,1466.59,9.21,0.00,0.00,1562.30,,0.00,0.00,0.83,2.05,81.59,0.00,84.47,1646.77,,,11.08,,0.00,0.00,0.00,0.00,,0.04,,--,,--,--,,--,,1171.71,432.17,,--,--
Mar 11,,,72.34,72.34,1317.82,1317.82,1390.16,,0.00,8.67,1.98,1.07,11.72,,0.00,4.10,0.79,46.09,50.98,1452.86,,,71.73,0.00,0.00,0.00,71.73,1147.29,0.00,1.85,0.00,1220.87,,185.56,0.00,1.30,25.25,16.67,3.21,231.99,1452.86,,,7.80,,0.00,0.00,0.00,0.00,,0.02,,--,,--,--,,--,,1925.09,363.00,,--,147.71
Mar 12,,,72.34,72.34,1372.69,1372.69,1445.03,,0.00,7.95,0.43,1.34,9.72,,0.00,4.76,2.47,29.72,36.95,1491.70,,,71.35,0.00,0.00,0.00,71.35,1348.88,0.00,3.12,0.00,1423.35,,52.14,0.00,1.94,2.54,3.49,8.24,68.35,1491.70,,,7.85,,0.00,0.00,0.00,0.00,,0.88,,--,,--,0.19,,--,,2237.13,270.11,,--,15.50
Mar 13,,,79.56,79.56,2327.95,2327.95,2407.51,,0.00,8.82,2.65,1.44,12.91,,0.00,2.37,4.68,53.98,61.03,2481.45,,,69.63,0.00,0.27,0.00,69.90,2201.56,0.00,24.21,0.00,2295.67,,165.16,0.00,1.63,2.11,3.47,13.41,185.78,2481.45,,,8.83,,0.00,0.00,0.00,0.00,,1.92,,--,,--,0.25,,--,,3831.45,288.20,,--,165.16
Mar 14,,,79.56,79.56,2383.49,2383.49,2463.05,,0.00,10.46,3.20,2.12,15.78,,0.00,1.52,5.20,51.54,58.26,2537.09,,,70.32,0.00,0.59,0.00,70.91,2200.36,0.00,26.93,0.00,2298.20,,226.29,0.00,0.70,7.59,0.50,3.81,238.89,2537.09,,,41.38,,0.00,0.00,0.00,0.00,,1.96,,--,,--,--,,--,,5740.77,565.46,,--,226.29
Mar 15,,,79.56,79.56,2480.73,2480.73,2560.29,,0.00,11.36,0.00,5.98,17.34,,0.00,2.10,8.52,51.76,62.38,2640.01,,,75.11,0.00,0.76,0.00,75.87,1800.77,0.00,30.98,0.00,1907.62,,712.82,0.00,3.74,3.37,1.00,11.46,732.39,2640.01,,,38.30,,0.00,0.00,0.00,0.00,,1.53,,--,,--,--,,--,,12779.28,251.24,,--,646.05
Mar 16,,,79.57,79.57,2616.41,2616.41,2695.98,,0.00,10.74,1.87,6.74,19.35,,0.00,2.63,7.69,21.62,31.94,2747.27,,,75.15,0.00,0.97,0.00,76.12,2102.88,0.00,32.20,1.87,2213.07,,276.00,0.00,8.19,225.25,0.84,23.92,534.20,2747.27,,,350.96,,0.00,0.00,0.00,0.00,,0.62,,--,,--,--,,--,,21617.76,798.83,,--,276.00
Mar 17,,,79.57,79.57,2686.45,2686.45,2766.02,,0.00,9.49,1.87,7.64,19.00,,0.00,1.54,8.32,19.25,29.11,2814.13,,,68.06,0.00,1.19,0.00,69.25,2489.71,0.00,34.86,0.00,2593.82,,182.25,0.00,0.63,1.55,1.17,34.71,220.31,2814.13,,,46.15,,0.00,0.00,0.00,0.00,,0.62,,--,,--,--,,--,,37712.63,277.15,,--,24.47
Mar 18,,,79.57,79.57,2800.18,2800.18,2879.75,,0.00,0.00,20.35,11.24,31.59,,0.00,2.85,12.54,0.00,15.39,2926.73,,,67.40,0.00,8.19,5.76,81.35,2107.53,8.36,0.00,18.41,2215.65,,650.59,0.00,3.96,12.40,0.00,44.13,711.08,2926.73,,,54.38,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,650.59
Mar 19,,,79.57,79.57,3081.34,3081.34,3160.91,,0.00,0.00,19.02,9.86,28.88,,0.00,4.69,24.42,0.00,29.11,3218.90,,,67.79,0.00,33.34,5.63,106.76,2177.53,8.08,0.00,29.35,2321.72,,759.87,0.00,0.29,60.27,25.85,50.90,897.18,3218.90,,,23.66,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 20,,,79.57,79.57,3455.86,3455.86,3535.43,,0.00,0.00,21.31,8.80,30.11,,0.00,2.10,32.52,0.00,34.62,3600.16,,,152.88,0.00,0.00,5.50,158.38,0.00,7.94,0.00,26.92,193.24,,3340.00,0.00,0.43,4.96,0.00,61.53,3406.92,3600.16,,,14.86,,0.00,0.00,0.00,0.00,,0.64,,--,,--,--,,--,,--,--,,--,3340.00
Mar 21,,,79.57,79.57,3721.35,3721.35,3800.92,,0.00,6.63,20.51,6.36,33.50,,0.00,2.31,31.80,0.00,34.11,3868.53,,,153.19,0.00,2.29,5.37,160.85,0.00,0.00,0.00,49.67,210.52,,3494.97,0.00,0.52,124.67,0.00,37.85,3658.01,3868.53,,,14.86,,0.00,0.00,0.00,0.00,,0.88,,--,,--,--,,--,,--,--,,--,3494.97
