0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,16.49,16.49,259.28,259.28,275.77,,135.70,0.00,0.00,0.00,135.70,,544.62,31.30,329.96,104.60,1010.49,1421.96,,,2.25,0.00,0.00,0.00,2.25,23.13,3.04,0.00,0.00,28.42,,0.00,1122.35,0.00,40.76,230.43,0.00,1393.54,1421.96,,,0.23,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,24.77,--,,--,--
Mar 06,,,20.99,20.99,461.73,461.73,482.72,,372.65,0.00,0.00,0.00,372.65,,646.12,38.64,534.28,132.46,1351.50,2219.19,,,3.22,0.00,0.00,0.00,3.22,26.90,1.15,0.00,0.00,31.27,,0.00,1855.43,0.00,65.63,266.85,0.00,2187.92,2219.19,,,0.35,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,27.00,--,,--,--
Mar 07,,,35.35,35.35,960.57,960.57,995.92,,624.35,0.00,0.00,0.00,624.35,,993.94,51.59,730.76,140.40,1916.68,3542.07,,,5.03,0.00,0.00,0.00,5.03,32.67,16.31,0.00,0.00,54.01,,0.00,2701.40,0.00,537.75,248.91,0.00,3488.06,3542.07,,,54.12,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,32.71,--,,--,--
Mar 08,,,36.60,36.60,1026.79,1026.79,1063.39,,639.44,0.00,0.00,0.00,639.44,,1024.06,77.21,904.55,137.11,2142.94,3845.76,,,12.16,1.60,0.00,0.00,13.76,326.88,27.40,0.00,0.00,368.04,,0.00,2834.63,0.00,210.11,432.99,0.00,3477.72,3845.76,,,1.04,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,38.87,288.02,,--,--
Mar 09,,,36.60,36.60,1052.14,1052.14,1088.74,,416.43,0.00,0.00,0.00,416.43,,1194.98,86.13,1070.24,185.80,2537.15,4042.31,,,13.32,6.88,0.00,0.00,20.20,273.91,50.58,0.00,0.00,344.69,,0.00,2083.07,392.21,62.91,1159.43,0.00,3697.62,4042.31,,,6.20,,0.00,0.00,0.00,0.00,,0.06,,--,,--,--,,--,,105.49,168.44,,--,--
Mar 10,,,36.60,36.60,1115.94,1115.94,1152.54,,1756.77,0.29,0.00,0.00,1757.07,,1469.99,70.80,104.08,269.97,1914.84,4824.45,,,42.22,8.23,0.00,0.00,50.45,303.41,69.52,0.00,0.00,423.38,,0.00,0.00,0.00,22.51,4378.56,0.00,4401.07,4824.45,,,8.86,,0.00,0.00,0.00,0.00,,0.45,,--,,--,--,,--,,301.85,--,,--,--
Mar 11,,,36.63,36.63,1321.48,1321.48,1358.11,,2854.06,0.00,15.93,18.90,2888.89,,2468.91,151.73,1605.86,48.41,4274.91,8521.91,,,96.19,6.41,0.00,0.00,102.60,5.61,64.94,3986.53,0.00,4159.68,,0.00,0.00,3339.78,871.67,120.06,30.72,4362.23,8521.91,,,34.17,,0.00,0.00,0.00,0.00,,1.27,,--,,--,--,,--,,5.74,--,,--,--
Mar 12,,,41.32,41.32,1970.93,1970.93,2033.57,,6407.86,0.00,28.54,32.25,6468.65,,2794.56,182.61,1384.09,63.20,4424.46,12926.68,,,128.13,10.66,0.00,0.00,138.79,5.48,69.16,6641.65,0.00,6855.08,,0.00,0.00,5713.88,59.83,221.87,76.02,6071.60,12926.68,,,56.83,,0.00,0.00,0.00,0.00,,2.51,,--,,--,--,,--,,5.53,--,,--,--
Mar 13,,,49.78,49.78,3317.26,3317.26,3367.04,,7503.08,0.00,41.96,64.61,7609.65,,2080.14,168.95,4502.51,92.88,6844.48,17821.17,,,164.43,11.78,0.00,0.00,176.21,5.26,90.37,9634.44,0.00,9906.28,,0.00,0.00,0.00,416.40,7430.29,68.20,7914.89,17821.17,,,263.03,,0.00,0.00,0.00,0.00,,2.77,,--,,--,--,,--,,0.03,5.26,,--,--
Mar 14,,,49.75,49.75,3941.11,3941.11,3990.86,,10477.76,0.00,57.35,110.47,10645.58,,5472.78,195.92,4186.85,126.01,9981.56,24618.00,,,196.84,23.03,0.00,0.00,219.87,0.00,139.16,13852.42,112.44,14323.89,,28.21,0.00,0.00,776.81,9410.37,78.72,10294.11,24618.00,,,254.61,,0.00,0.00,0.00,0.00,,4.41,,--,,--,--,,--,,--,--,,0.04,28.21
