0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,1853.37,1853.37,2675.38,2677.51,4530.87,,4463.25,250.81,0.00,0.00,4714.07,,531.04,2902.37,1305.61,249.32,4988.34,14236.00,,,7438.13,2326.85,994.46,0.00,10759.45,931.90,149.91,0.00,58.35,11899.60,,0.00,31.58,715.74,384.14,1204.94,0.00,2336.40,14236.00,,,3017.26,,2.43,0.00,0.00,1730.73,,521.87,,--,,--,986.35,,1566.39,,472.71,460.83,,--,--
Mar 06,,,1893.88,1893.88,5437.42,5439.55,7333.43,,4501.73,269.78,0.00,0.00,4771.51,,294.56,4444.75,2020.83,537.44,7297.58,19414.64,,,10650.95,2355.92,2341.25,0.00,15348.13,719.70,80.73,0.00,7.94,16156.50,,0.00,17.74,1076.17,307.43,1856.80,0.00,3258.15,19414.64,,,4740.34,,1.31,0.00,0.00,1626.24,,816.44,,--,,--,1276.04,,1566.39,,243.99,476.52,,--,--
Mar 07,,,1895.93,1895.93,9515.21,9517.33,11413.27,,4906.81,380.41,0.00,0.00,5287.22,,403.99,6947.25,2482.18,1232.84,11066.25,27796.74,,,16603.64,2701.99,2375.82,0.00,21681.45,705.82,143.74,0.00,2.66,22533.67,,0.00,47.81,1418.52,780.46,3016.27,0.00,5263.07,27796.74,,,7615.04,,0.00,0.00,0.00,2997.70,,1122.55,,--,,--,1575.55,,1566.39,,125.85,580.43,,--,--
Mar 08,,,1897.91,1897.91,18283.82,18285.95,20183.86,,6090.04,500.16,0.00,0.00,6590.20,,480.31,8379.95,3520.26,1961.95,14342.47,41174.17,,,15829.91,3200.74,2751.08,0.00,21781.73,10952.85,436.30,0.00,0.20,33171.08,,0.00,56.86,2776.46,502.94,4666.83,0.00,8003.09,41174.17,,,7140.59,,0.00,0.00,0.00,4867.81,,1568.07,,--,,--,1546.20,,1566.39,,1574.29,9379.62,,--,--
Mar 09,,,1898.24,1898.24,25627.38,25629.51,27527.75,,7089.27,714.51,0.00,0.00,7803.78,,624.38,9155.29,3962.69,634.40,14376.76,49824.50,,,21815.95,3197.41,2566.67,0.00,27580.03,11777.76,1041.62,0.00,0.09,40399.49,,0.00,62.15,2550.05,2251.60,4462.26,98.95,9425.01,49824.50,,,4104.25,,0.00,0.00,0.00,3383.39,,1983.03,,--,,--,1809.36,,1566.39,,1887.76,9898.56,,--,--
Mar 10,,,1898.77,1898.77,34650.19,34652.32,36551.09,,4366.69,799.55,0.00,0.00,5166.24,,672.23,8647.11,3532.89,658.75,13510.98,55414.40,,,24399.03,3625.93,1594.74,0.00,29619.70,15773.32,796.30,0.00,0.00,46189.32,,0.00,27.24,2104.98,816.74,6214.87,61.25,9225.08,55414.40,,,3921.50,,0.00,0.00,0.00,1547.21,,1911.09,,84.85,,--,1794.35,,1566.39,,4216.67,11619.95,,--,--
Mar 11,,,1898.80,1898.80,42210.70,42212.80,44111.60,,7468.70,527.60,2513.20,100.20,10609.70,,2764.40,4959.80,8609.70,527.40,16861.30,71582.60,,,27477.60,13223.10,1432.00,0.00,47179.90,11705.10,0.00,7081.20,305.90,66272.10,,107.90,34.40,1461.90,133.20,2546.40,1026.70,5310.50,71582.60,,,54357.10,,0.00,0.00,0.00,1910.50,,1876.50,,86.00,,240.40,1815.60,,1566.39,,--,11705.10,,105.10,2.90
Mar 12,,,1898.80,1898.80,47528.70,47530.80,49429.60,,8233.80,836.70,2518.40,140.50,11729.40,,5895.60,4512.10,8200.00,557.00,19164.70,80323.70,,,26378.20,14062.60,923.00,0.00,44907.30,11804.10,0.00,8481.70,1087.00,66280.10,,533.70,32.10,2134.50,481.20,9810.10,1052.00,14043.60,80323.70,,,59114.50,,0.00,0.00,0.00,1762.80,,1760.40,,86.20,,--,2012.20,,1566.39,,--,11804.10,,533.40,3.00
Mar 13,,,1898.80,1898.80,52245.30,52247.40,54146.20,,9840.80,1150.30,3170.80,149.40,14311.30,,3139.00,5137.20,10603.40,546.10,19425.70,87883.20,,,26436.20,16746.40,1030.80,0.00,44213.40,27119.10,0.00,8935.80,1411.10,81679.40,,1080.00,2.10,2246.80,362.70,1413.30,1098.90,6203.80,87883.20,,,63028.60,,0.00,0.00,0.00,2551.60,,2205.20,,86.20,,--,2782.40,,1566.39,,26842.50,18901.20,,1084.10,3.50
Mar 14,,,1998.70,1998.70,64727.20,64729.30,66728.00,,7271.70,947.50,3939.40,209.50,12368.10,,1251.00,6266.30,10645.40,945.30,19108.00,98204.10,,,24068.20,15810.00,1244.20,0.00,41122.40,34034.80,0.00,14518.00,1790.10,91465.30,,489.10,1.10,2165.50,446.00,2421.80,1215.30,6738.80,98204.10,,,103187.10,,0.00,0.00,0.00,1614.50,,2926.50,,86.20,,--,3503.50,,1566.39,,30510.00,25816.90,,488.10,2.60
Mar 15,,,1998.70,1998.70,76272.10,76274.20,78272.90,,19626.70,1072.10,4203.60,196.90,25099.30,,625.90,7123.20,14067.50,1234.90,23051.50,126423.70,,,25655.20,27789.20,2656.10,0.00,62511.30,38395.80,0.00,8838.10,1922.10,111667.30,,4721.10,9.40,3311.00,388.70,5394.20,932.00,14756.40,126423.70,,,118113.10,,0.00,0.00,0.00,3722.10,,3017.20,,295.80,,--,3727.40,,1566.39,,52360.00,30945.00,,4755.00,1.70
Mar 16,,,1998.70,1998.70,109730.40,109730.40,111729.10,,41457.00,1698.40,2074.40,222.30,45452.10,,699.90,11970.60,15057.40,118.90,27846.80,185028.00,,,31267.30,60658.20,2858.80,0.00,95755.80,69896.50,2307.00,2886.10,2761.60,173607.00,,0.80,5.30,3172.40,46.60,4337.60,3858.30,11421.00,185028.00,,,10790.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,1566.39,,51945.20,20091.10,,--,--
