0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,300.00,300.00,6088.43,6088.43,6388.43,,1271.51,1098.74,0.00,0.00,2370.25,,2610.10,4752.22,3782.89,603.56,11748.77,20507.44,,,6985.06,15.06,1348.55,0.00,8348.67,1677.14,129.71,0.00,0.00,10155.52,,0.00,6258.56,854.58,352.39,2876.99,9.41,10351.93,20507.44,,,2350.15,,6836.12,0.00,0.00,85.85,,503.45,,--,,1943.41,1.15,,277.00,,2154.25,620.87,,--,--
Mar 06,,,300.00,300.00,8777.88,8777.88,9077.88,,1652.98,1571.88,0.00,0.00,3224.86,,6720.61,4274.94,4619.55,512.49,16127.58,28491.87,,,9876.22,41.15,1168.11,0.00,11085.47,3877.42,216.04,0.00,0.00,15178.93,,0.00,9044.77,1315.89,492.10,1685.74,774.44,13312.94,28491.87,,,2751.56,,22263.50,0.00,0.00,115.18,,1359.27,,--,,4285.64,1.03,,277.00,,4073.50,655.76,,--,--
Mar 07,,,361.54,361.54,9912.00,9912.00,10273.54,,2160.16,1680.76,0.00,0.00,3840.91,,8669.08,6122.04,4078.58,1076.07,19945.76,34060.21,,,10914.02,67.03,852.34,0.00,11833.39,7385.42,298.16,0.00,0.00,19516.97,,0.00,8661.26,1518.73,863.97,1688.77,1810.51,14543.24,34060.21,,,3590.62,,28091.81,0.00,0.00,157.70,,1072.39,,--,,5584.30,0.84,,277.00,,7369.30,636.48,,--,--
Mar 08,,,361.54,361.54,11315.30,11315.30,11676.84,,3921.12,1785.24,0.00,0.00,5706.36,,11101.26,9113.10,4481.02,986.15,25681.52,43064.72,,,11888.05,80.62,766.71,0.00,12735.38,9358.01,303.88,0.00,0.00,22397.27,,0.00,10603.84,1608.61,961.59,1701.55,5791.87,20667.45,43064.72,,,5083.23,,32749.78,0.00,0.00,105.61,,1705.36,,--,,7440.16,--,,277.00,,9628.55,707.04,,--,--
Mar 09,,,361.54,361.54,11766.57,11766.57,12128.11,,3758.46,1862.81,0.00,0.00,5621.27,,17412.95,6512.94,4605.93,1712.44,30244.26,47993.64,,,11882.28,83.51,2037.48,0.00,14003.27,16715.19,623.57,0.00,0.00,31342.03,,0.00,6823.92,1425.67,441.55,3749.68,4210.79,16651.61,47993.64,,,5862.61,,37882.48,0.00,0.00,142.57,,7236.02,,--,,6567.42,--,,277.00,,15338.25,1118.63,,--,--
Mar 10,,,361.54,361.54,12725.17,12725.17,13086.71,,12181.05,1903.48,0.00,0.00,14084.53,,10014.15,8359.97,6190.59,2580.59,27145.30,54316.54,,,13558.61,110.74,2517.75,0.00,16187.10,12201.32,1044.18,0.00,0.00,29432.60,,0.00,12028.86,2662.68,342.36,7800.64,2049.40,24883.94,54316.54,,,9382.97,,36551.48,0.00,0.00,322.15,,6631.72,,--,,10301.35,--,,277.00,,12137.83,1385.62,,--,--
Mar 11,,,361.54,361.54,13696.08,13696.08,14057.62,,2648.38,1007.54,41.25,733.20,4430.37,,13809.69,8414.48,13563.96,1599.83,37387.96,55875.95,,,15936.32,63.01,969.86,0.00,16971.72,4945.68,0.00,3166.62,0.94,25084.96,,7091.38,15375.08,2532.65,379.03,520.88,4891.97,30790.99,55875.95,,,9943.94,,44321.61,0.00,0.00,123.98,,7070.06,,--,,12380.37,--,,277.00,,2780.32,4253.65,,7091.38,--
Mar 12,,,361.54,361.54,14552.32,14552.32,14913.86,,2159.09,1400.56,55.96,409.96,4025.57,,19087.35,12789.91,13442.59,1347.70,46667.55,65606.98,,,16536.24,76.14,1116.53,0.00,17731.44,4970.29,0.00,3458.97,0.95,26161.65,,5947.13,15948.06,6378.34,978.85,787.34,9405.61,39445.33,65606.98,,,9589.30,,68784.29,0.00,0.00,148.29,,6073.72,,--,,19315.61,--,,277.00,,3452.32,4278.28,,5947.13,--
Mar 13,,,723.08,723.08,15910.94,15910.94,16634.02,,5508.37,1655.72,60.82,435.06,7659.97,,18058.42,8783.11,13533.62,2318.25,42693.40,66987.39,,,16624.03,66.38,2417.21,0.00,19110.15,6942.10,0.00,2528.40,16.93,28597.58,,5160.90,16690.37,4025.13,2328.86,1244.98,8939.57,38389.81,66987.39,,,11467.93,,76391.33,0.00,0.00,266.72,,5082.97,,--,,18455.61,--,,638.54,,2820.86,6250.09,,5160.90,--
Mar 14,,,723.08,723.08,18735.68,18735.68,19458.76,,11808.36,1360.90,60.74,1157.31,14387.31,,8183.70,12034.96,15694.09,2668.59,38581.34,72427.41,,,18968.83,70.68,3040.03,0.00,22104.61,7238.10,0.00,3266.66,166.14,32775.51,,4608.79,19071.13,4080.16,203.76,941.35,10746.71,39651.90,72427.41,,,17397.99,,85221.96,0.00,0.00,268.84,,5856.01,,--,,19122.06,--,,638.54,,2866.35,6546.09,,4608.79,--
Mar 15,,,723.08,723.08,21744.40,21744.40,22467.48,,11737.01,1708.26,70.03,1108.60,14623.90,,40.27,12216.41,16805.21,3575.61,32637.50,69728.88,,,20226.06,89.00,7640.61,0.00,27980.74,7302.05,0.00,4077.17,83.46,39443.42,,5089.09,14457.85,2607.67,1360.20,748.39,6022.26,30285.46,69728.88,,,18904.19,,72139.49,0.00,0.00,432.75,,8087.05,,--,,12364.27,--,,638.54,,3535.38,6610.04,,5104.33,--
Mar 16,,,723.08,723.08,26435.61,26435.61,27158.69,,13685.69,2228.90,60.73,1156.84,17132.16,,23.96,8430.79,20217.97,3025.84,31698.56,75989.41,,,23377.80,89.99,12402.75,0.00,36085.72,7875.58,0.00,3864.84,87.70,47913.84,,5098.11,13696.28,2165.02,2067.35,1030.81,4018.00,28075.57,75989.41,,,15456.70,,43690.17,0.00,0.00,1238.41,,5672.40,,--,,7089.97,47.98,,638.54,,4563.80,7183.57,,5091.67,20.00
Mar 17,,,1311.25,1311.25,28357.13,28357.13,29668.38,,13776.44,3501.71,200.69,1353.15,18831.99,,7227.36,11359.78,23086.55,1815.57,43489.26,91989.63,,,31278.66,158.25,11216.73,0.40,43059.83,9241.11,0.00,3783.65,1646.92,57731.51,,5360.34,19798.01,4758.18,64.69,70.65,4206.25,34258.12,91989.63,,,13775.02,,0.00,0.00,0.00,0.00,,62084.76,,--,,1695.30,8456.82,,1294.16,,594.85,97.81,,5360.34,--
Mar 18,,,1966.88,1966.88,32164.61,32164.61,34131.49,,14758.22,4955.52,201.54,1367.04,21282.32,,8093.01,14989.52,20182.07,1452.76,44717.36,100131.17,,,42810.60,217.51,4043.75,0.26,47435.95,10631.17,0.00,3089.91,1971.64,63128.67,,4995.18,20874.57,5151.73,182.53,71.02,5727.47,37002.50,100131.17,,,17372.07,,0.00,0.00,0.00,0.00,,77477.92,,--,,--,10370.81,,1882.32,,575.94,105.27,,4992.88,2.30
Mar 19,,,1966.88,1966.88,34770.80,34770.80,36737.68,,23628.57,6168.99,340.49,1509.86,31647.91,,3580.75,17235.18,24678.77,1746.96,47241.66,115627.25,,,46259.18,228.70,6702.63,0.24,53553.85,10915.73,0.00,2515.66,2004.76,68990.00,,5075.89,21544.65,6670.72,95.41,1628.88,11621.70,46637.25,115627.25,,,19102.49,,0.00,0.00,0.00,0.00,,111486.10,,--,,--,13220.49,,1882.32,,495.82,114.31,,5075.89,--
Mar 20,,,1966.88,1966.88,31247.50,31247.50,33214.38,,20481.83,5967.29,6226.58,1574.12,34249.82,,17721.37,12509.54,26942.87,1831.00,59004.78,126468.98,,,56687.98,262.93,9108.09,0.21,66455.83,10849.48,0.00,5442.94,2657.50,85405.75,,5208.54,20421.06,5164.34,115.78,590.58,9562.93,41063.23,126468.98,,,10828.22,,0.00,0.00,0.00,0.00,,110194.67,,--,,--,15167.55,,1882.32,,221.23,66.63,,5208.54,--
Mar 21,,,2092.91,2092.91,51595.15,51595.15,54544.55,,17032.84,4471.55,8209.92,1600.51,31314.82,,4232.81,16245.30,32408.09,1858.92,54745.12,140604.49,,,63526.50,409.70,7094.78,0.05,71388.63,10889.82,0.00,4927.57,2436.17,89642.19,,6794.27,26756.75,7827.47,7053.49,137.90,2392.42,50962.30,140604.49,,,9852.33,,0.00,0.00,0.00,0.00,,75768.42,,--,,--,6615.55,,1882.32,,328.10,95.72,,6794.24,--
Mar 22,,,2129.45,2129.45,47540.33,47540.33,49669.78,,15481.97,4882.70,8749.45,186.59,29300.71,,8641.12,30834.68,29184.74,2881.53,71542.07,150512.56,,,68751.37,743.25,3312.69,0.03,72824.61,15794.55,0.00,4555.86,2641.40,95816.42,,4442.27,36307.06,9738.32,834.49,135.99,3238.01,54696.14,150512.56,,,8516.70,,0.00,0.00,0.00,0.00,,144104.55,,--,,--,14830.89,,1882.32,,637.33,120.81,,4442.20,--
Mar 23,,,2129.45,2129.45,49866.89,49866.89,51996.34,,19441.60,7068.31,10246.15,178.53,36934.59,,16413.20,24010.84,28766.31,2682.70,71873.05,160803.98,,,84460.25,2135.97,5645.05,0.01,92269.61,9595.21,0.00,1520.57,2020.58,105405.97,,4277.14,38064.70,6721.86,2120.44,142.62,4071.25,55398.01,160803.98,,,12223.06,,0.00,0.00,0.00,0.00,,231848.17,,--,,--,15708.29,,1882.32,,673.18,127.31,,4277.14,--
Mar 24,,,2136.29,2136.29,72538.51,72538.51,74674.80,,8489.83,6670.63,10741.07,183.34,26084.87,,10277.06,28293.42,30687.44,2975.38,72233.30,172992.97,,,84714.91,2022.54,8679.72,0.09,95519.03,10167.35,0.00,903.78,2558.96,109149.12,,4290.67,42835.05,8328.17,4490.64,136.91,3762.41,63843.85,172992.97,,,12332.11,,0.00,0.00,0.00,0.00,,206913.77,,--,,--,13011.82,,1882.32,,1605.30,173.21,,4290.67,--
