0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,23.89,23.89,419.63,419.63,443.52,,0.00,17.06,0.00,0.00,17.06,,6.14,73.64,132.34,97.34,309.45,770.04,,,95.91,0.05,31.70,0.00,127.65,330.08,13.71,0.00,34.24,505.67,,0.00,134.22,44.31,16.31,69.33,0.18,264.36,770.04,,,61.24,,26.11,0.00,0.00,6.21,,0.54,,13.39,,7.16,32.81,,21.94,,2.02,228.56,,--,--
Mar 06,,,23.89,23.89,525.20,525.20,549.09,,1.62,15.19,0.00,0.00,16.81,,7.74,86.36,138.34,78.33,310.77,876.67,,,140.51,0.05,11.08,0.00,151.64,359.86,13.50,0.00,16.06,541.06,,0.00,184.80,20.85,35.34,94.07,0.56,335.61,876.67,,,67.24,,2.90,0.00,0.00,2.40,,1.54,,17.04,,11.17,0.10,,21.94,,2.88,392.33,,--,--
Mar 07,,,23.89,23.89,590.93,590.93,614.82,,1.53,0.00,0.00,0.00,1.53,,3.25,85.82,152.29,84.91,326.27,942.63,,,197.02,1.35,16.03,0.00,214.40,320.05,1.24,0.00,25.58,561.26,,0.00,214.94,28.61,48.65,89.00,0.17,381.37,942.63,,,102.63,,4.26,0.00,0.00,2.93,,1.77,,18.26,,14.53,0.09,,21.94,,2.12,352.55,,--,--
Mar 08,,,23.89,23.89,731.92,731.92,755.81,,1.94,22.64,0.00,0.00,24.58,,104.16,93.27,153.75,100.65,451.83,1232.22,,,239.33,1.66,9.69,0.00,250.68,380.83,25.02,0.00,23.23,679.76,,0.00,301.53,46.33,43.77,160.83,0.01,552.46,1232.22,,,169.55,,3.28,0.00,0.00,1.00,,1.47,,18.26,,11.20,0.36,,21.94,,2.93,380.81,,--,--
Mar 09,,,23.89,23.89,800.65,800.65,824.54,,25.16,24.26,0.00,0.00,49.42,,0.00,2.55,263.25,147.48,413.29,1287.25,,,273.24,4.60,6.02,0.00,283.86,423.10,14.31,0.00,26.64,747.91,,0.00,253.63,49.61,40.80,195.30,0.00,539.34,1287.25,,,329.05,,4.48,0.00,0.00,7.04,,2.78,,21.91,,38.62,30.55,,21.94,,2.15,423.07,,--,--
Mar 10,,,23.89,23.89,372.36,372.36,396.25,,429.62,24.59,0.00,0.00,454.21,,0.00,133.12,187.37,165.02,485.51,1335.97,,,276.00,5.50,11.64,0.00,293.14,490.64,31.18,0.00,0.00,814.95,,0.00,268.34,39.49,23.36,189.83,0.00,521.02,1335.97,,,318.67,,63.25,0.00,0.00,0.21,,3.53,,48.69,,36.51,4.34,,21.94,,4.29,566.76,,--,--
Mar 11,,,23.89,23.89,427.41,427.41,451.30,,430.57,6.24,15.99,122.68,575.48,,0.00,239.68,119.38,96.65,455.71,1482.49,,,298.68,5.02,11.70,0.00,315.40,308.94,0.00,142.13,12.12,778.59,,236.06,311.20,57.26,28.75,70.63,0.00,703.90,1482.49,,,425.14,,100.93,0.00,0.00,4.74,,1.57,,30.43,,47.42,4.12,,21.94,,143.42,171.18,,--,236.06
Mar 12,,,23.89,23.89,496.15,496.15,520.04,,28.15,8.16,19.91,116.82,173.04,,0.00,336.20,518.26,124.80,979.26,1672.34,,,370.63,8.46,79.73,0.00,458.82,218.40,0.00,125.02,12.12,814.36,,210.54,382.28,52.14,30.94,182.08,0.00,857.98,1672.34,,,327.87,,14.48,0.00,0.00,2.21,,1.97,,39.57,,64.69,6.20,,21.94,,37.27,186.94,,106.12,104.42
Mar 13,,,23.91,23.91,612.50,612.50,636.41,,0.41,13.62,19.18,138.56,171.77,,189.24,333.61,210.49,134.40,867.74,1683.03,,,437.76,13.92,128.44,0.00,580.12,234.10,0.00,141.31,12.12,967.65,,45.50,331.49,77.12,64.48,196.79,0.00,715.38,1683.03,,,351.20,,7.35,0.00,0.00,12.30,,1.98,,51.74,,87.23,9.21,,21.94,,39.49,202.64,,--,45.50
Mar 14,,,23.99,23.99,829.47,829.47,853.46,,0.34,9.16,18.77,0.00,28.27,,0.00,484.68,148.37,325.38,958.43,1844.44,,,529.81,15.85,97.22,0.00,642.88,228.95,0.00,100.43,12.12,984.38,,144.04,366.86,53.69,65.78,229.69,0.00,860.06,1844.44,,,250.36,,8.16,0.00,0.00,1.62,,6.35,,51.74,,111.92,13.17,,21.94,,41.51,197.49,,--,144.04
Mar 15,,,23.99,23.99,1211.63,1211.63,1235.62,,0.73,0.00,19.62,0.00,20.35,,0.00,615.21,176.33,410.91,1202.45,2461.99,,,513.25,12.70,48.22,0.00,574.17,273.14,21.11,127.15,37.12,1032.69,,387.90,345.74,70.98,186.67,438.01,0.00,1429.30,2461.99,,,324.22,,6.31,0.00,0.00,6.19,,3.26,,73.04,,111.49,15.81,,21.94,,25.00,248.14,,--,387.90
Mar 16,,,24.00,24.00,1676.16,1676.16,1700.16,,0.49,0.00,21.05,0.00,21.54,,0.00,659.44,191.18,492.08,1342.70,3067.26,,,626.13,13.26,74.50,0.00,713.89,551.25,22.71,324.45,37.57,1649.87,,343.63,384.01,106.70,24.80,558.25,0.00,1417.39,3067.26,,,389.87,,9.41,0.00,0.00,15.86,,5.79,,97.39,,154.93,18.78,,21.94,,114.11,437.14,,--,343.63
