0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,6316.36,6316.36,4561.72,4561.72,10878.08,,2372.40,0.00,0.00,0.00,2372.40,,0.00,0.00,4173.22,255.45,4428.67,17679.15,,,114.70,0.00,0.58,0.00,115.28,12763.41,0.00,0.00,0.00,12878.69,,0.00,47.34,0.16,2532.64,2220.32,0.00,4800.46,17679.15,,,0.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 06,,,6316.36,6316.36,5025.23,5025.23,11341.59,,1899.01,0.00,0.00,0.00,1899.01,,0.00,0.00,4541.45,312.04,4853.49,18094.09,,,103.71,0.00,0.12,0.00,103.83,10591.15,0.00,0.00,0.00,10694.98,,0.00,31.30,0.81,2863.15,4503.85,0.00,7399.11,18094.09,,,0.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 07,,,6316.36,6316.36,6338.28,6338.28,12654.64,,1646.10,0.00,0.00,0.00,1646.10,,0.00,0.64,4516.79,222.64,4740.06,19040.80,,,93.15,0.00,0.08,0.00,93.24,6316.36,0.00,0.00,0.00,6409.60,,0.00,23.67,0.01,3728.98,8878.49,0.04,12631.20,19040.80,,,0.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 08,,,6316.36,6316.36,7052.93,7052.93,13369.30,,1510.83,0.00,0.00,0.00,1510.83,,0.00,0.64,4362.66,472.65,4835.95,19716.08,,,88.70,0.00,1.07,0.00,89.77,6316.36,0.00,0.00,0.00,6406.14,,0.00,10.44,0.00,4663.96,8635.55,0.00,13309.95,19716.08,,,0.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 09,,,6316.36,6316.36,8920.86,8920.86,15237.22,,1786.62,0.00,0.00,0.00,1786.62,,0.00,8.49,4512.77,708.85,5230.11,22253.96,,,94.97,0.00,5.99,0.00,100.96,6316.36,0.00,0.00,0.00,6417.32,,0.00,19.52,0.02,6462.76,9354.32,0.01,15836.64,22253.96,,,190.86,,0.00,0.00,0.00,16.03,,46.32,,--,,--,6.99,,--,,--,6316.36,,--,--
Mar 10,,,6316.36,6316.36,10744.36,10744.36,17060.72,,1464.30,0.00,0.00,0.00,1464.30,,0.00,8.45,4755.33,679.14,5442.93,23967.95,,,93.40,0.00,17.84,0.00,111.24,6316.57,0.00,0.00,0.00,6427.81,,0.00,26.59,0.00,9133.36,8380.18,0.01,17540.14,23967.95,,,164.74,,0.00,0.00,0.00,31.74,,29.11,,--,,--,7.26,,--,,--,6316.57,,--,--
Mar 11,,,6316.36,6316.36,11499.65,11499.65,17816.01,,1187.98,0.00,1621.99,140.78,2950.75,,0.00,2.30,5969.01,937.91,6909.22,27675.98,,,98.44,0.27,46.58,0.00,154.43,6319.17,0.00,3171.51,0.00,9645.11,,0.00,35.69,0.00,11659.52,6160.20,175.46,18030.87,27675.98,,,1790.28,,0.00,0.00,0.00,59.98,,24.64,,--,,--,7.74,,--,,--,6319.17,,--,--
Mar 12,,,6316.36,6316.36,13248.39,13248.39,19564.75,,1173.54,0.00,1977.15,141.64,3292.33,,0.00,2.55,6549.57,1303.00,7855.12,30712.20,,,100.65,0.25,60.75,0.00,174.31,6319.19,0.00,3138.12,0.00,9631.62,,222.00,18.51,0.01,15302.72,4974.35,562.99,21080.58,30712.20,,,2306.44,,0.00,0.00,0.00,101.11,,56.84,,--,,--,0.09,,--,,--,6319.19,,--,222.00
Mar 13,,,6316.36,6316.36,14199.80,14199.80,20516.16,,914.39,0.00,2306.23,161.53,3382.15,,0.00,2.41,5964.79,4171.61,10138.81,34037.12,,,96.41,0.22,107.46,0.00,218.52,8858.19,0.00,1815.75,0.00,10892.46,,167.88,15.66,1.48,18104.28,4067.31,788.05,23144.66,34037.12,,,2749.56,,0.00,0.00,0.00,18.35,,118.03,,--,,--,0.03,,--,,--,8858.19,,--,167.88
Mar 14,,,6316.36,6316.36,10128.88,10128.88,16445.24,,0.00,0.00,2521.45,185.93,2707.38,,0.00,2.22,4188.74,1698.01,5888.97,25041.59,,,96.05,0.20,186.27,0.00,299.98,8858.19,0.00,667.70,0.00,9825.87,,790.75,39.87,15.11,9817.84,4014.70,537.45,15215.72,25041.59,,,4369.05,,0.00,0.00,0.00,5.70,,12.49,,--,,--,--,,--,,--,8858.19,,--,790.75
