0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,12.82,12.82,270.84,270.84,283.66,,3.31,25.03,0.00,0.00,28.34,,62.78,55.45,12.37,11.71,142.31,454.31,,,181.54,0.00,1.09,0.00,182.63,0.01,0.00,0.00,0.00,182.64,,0.00,139.05,102.17,4.49,25.96,0.00,271.67,454.31,,,5.20,,64.38,0.00,0.00,3.56,,3.79,,0.11,,301.59,6.60,,0.15,,--,0.01,,--,--
Mar 06,,,12.82,12.82,328.00,328.00,340.82,,60.70,28.16,0.00,0.00,88.87,,89.48,83.93,31.23,15.76,220.40,650.08,,,214.77,0.00,80.27,0.00,295.05,0.40,0.00,0.00,0.00,295.44,,0.00,183.86,107.44,10.15,53.19,0.00,354.64,650.08,,,38.32,,108.23,0.00,0.00,1.44,,8.94,,0.11,,334.80,3.59,,0.15,,--,0.40,,--,--
Mar 07,,,12.91,12.91,529.13,529.13,542.05,,91.76,30.27,0.00,0.00,122.03,,62.19,87.83,36.11,1.94,188.06,852.14,,,381.19,0.00,38.25,0.00,419.44,0.58,0.74,0.00,0.00,420.76,,0.00,210.05,164.46,17.22,39.65,0.00,431.38,852.14,,,117.62,,158.03,0.00,0.00,12.85,,4.90,,0.01,,671.21,3.04,,0.15,,--,0.58,,--,--
Mar 08,,,12.91,12.91,861.07,861.07,873.99,,67.31,42.47,0.00,0.00,109.78,,18.77,130.82,27.01,36.47,213.06,1196.83,,,496.87,0.00,63.08,0.00,559.95,56.15,1.17,0.00,0.00,617.27,,0.00,275.66,214.25,12.61,77.05,0.00,579.55,1196.83,,,114.67,,211.01,0.00,0.00,8.61,,7.38,,--,,962.82,4.18,,0.15,,--,56.15,,--,--
Mar 09,,,12.95,12.95,1248.84,1248.84,1261.79,,50.41,49.72,0.00,0.00,100.14,,2.22,146.05,15.55,48.91,212.74,1574.66,,,589.67,0.00,19.50,0.00,609.17,172.39,1.16,0.00,0.00,782.72,,0.00,395.91,283.50,12.87,99.67,0.00,791.95,1574.66,,,86.94,,247.79,0.00,0.00,7.35,,6.89,,0.01,,1103.35,3.48,,0.15,,--,172.40,,--,--
Mar 10,,,26.43,26.43,1515.65,1515.65,1542.08,,27.26,53.71,0.00,0.00,80.97,,5.59,149.63,13.61,96.42,265.26,1888.30,,,589.67,0.00,23.75,0.00,613.42,441.86,1.81,0.00,0.00,1057.09,,0.00,479.57,234.44,12.87,104.33,0.00,831.21,1888.30,,,97.21,,130.13,0.00,0.00,0.92,,4.88,,0.02,,835.40,7.57,,13.12,,--,441.86,,--,--
Mar 11,,,26.52,26.52,1801.53,1801.53,1828.05,,4.92,54.91,9.62,2.82,72.27,,13.62,121.24,105.04,167.92,407.82,2308.13,,,589.73,0.00,104.34,0.00,694.06,2.82,0.00,73.72,3.69,774.29,,525.64,543.07,392.78,12.80,58.12,1.44,1533.84,2308.13,,,295.68,,236.99,1.31,1.31,12.24,,5.24,,0.03,,1181.19,2.38,,13.12,,--,2.83,,--,525.73
Mar 12,,,26.55,26.55,2148.25,2148.25,2174.80,,2.56,67.29,6.25,1.65,77.75,,50.20,157.31,134.70,208.21,550.42,2802.97,,,738.19,0.00,181.99,0.00,920.18,2.82,0.00,124.69,3.93,1051.62,,477.04,650.97,533.97,21.82,64.03,3.52,1751.35,2802.97,,,299.15,,348.64,2.90,2.90,11.55,,7.96,,0.05,,1606.88,8.21,,13.12,,--,2.83,,--,477.04
Mar 13,,,26.55,26.55,2526.73,2526.73,2553.28,,2.10,86.55,0.00,2.39,91.04,,30.51,158.31,129.35,233.42,551.59,3195.91,,,908.50,0.00,303.41,0.00,1211.91,2.82,0.00,107.27,0.00,1322.00,,407.81,805.95,558.90,34.68,59.89,6.68,1873.91,3195.91,,,221.73,,447.99,3.15,3.15,16.24,,11.41,,0.07,,1860.16,18.77,,13.12,,--,2.83,,--,407.81
Mar 14,,,26.55,26.55,3007.87,3007.87,3034.42,,1.55,121.67,0.00,3.18,126.40,,16.32,148.69,146.55,311.58,623.14,3783.96,,,1221.60,0.00,144.48,0.00,1366.09,2.82,0.00,119.02,0.00,1487.93,,501.88,893.27,791.64,35.77,67.38,6.11,2296.04,3783.96,,,220.87,,484.26,2.27,2.27,19.44,,11.35,,0.00,,2257.64,4.21,,13.12,,--,2.83,,--,501.88
