0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,38.26,38.26,2035.82,2035.82,2074.08,,10.60,73.85,0.00,0.00,84.46,,262.64,351.37,26.28,183.18,823.46,2982.00,,,532.19,30.35,60.13,0.00,622.67,358.46,52.70,0.00,0.00,1033.82,,0.00,303.81,417.64,891.72,326.96,8.05,1948.18,2982.00,,,189.19,,189.94,0.00,0.00,38.34,,195.81,,--,,913.90,5.83,,17.49,,31.88,413.63,,--,--
Mar 06,,,38.35,38.35,2223.79,2223.79,2262.14,,9.61,70.98,0.00,0.00,80.60,,914.26,523.79,29.47,174.70,1642.23,3984.96,,,506.06,55.75,112.92,0.00,674.73,911.36,17.90,0.00,0.00,1603.99,,0.00,443.10,581.22,650.94,705.71,0.00,2380.97,3984.96,,,2409.27,,233.11,0.00,0.00,41.34,,190.52,,--,,1196.66,13.35,,17.49,,1.16,911.05,,--,--
Mar 07,,,83.96,83.96,4289.40,4289.40,4373.36,,8.79,74.91,0.00,0.00,83.71,,321.11,598.49,58.55,522.97,1501.13,5958.19,,,627.54,54.50,280.61,0.00,962.65,966.99,17.17,0.00,0.00,1946.81,,0.00,487.58,1055.70,1456.71,1011.38,0.00,4011.38,5958.19,,,1896.92,,380.33,0.00,0.00,68.63,,301.24,,--,,2848.33,244.19,,55.87,,1.20,966.68,,--,--
Mar 08,,,84.09,84.09,4727.72,4727.72,4811.80,,9.73,105.50,0.00,0.00,115.23,,452.58,613.28,67.58,601.38,1734.81,6661.85,,,932.91,54.50,245.71,0.00,1233.13,2080.71,18.64,0.00,0.00,3332.48,,0.00,640.93,897.71,537.34,1253.38,0.00,3329.36,6661.85,,,1892.55,,658.48,0.00,0.00,77.18,,335.36,,--,,2259.91,106.83,,55.87,,1.92,2080.41,,--,--
Mar 09,,,84.20,84.20,5174.90,5174.90,5259.10,,8.60,113.10,0.00,0.00,121.70,,631.70,780.00,270.20,294.80,1976.70,7357.50,,,1145.60,65.20,411.20,0.00,1622.00,1865.10,22.70,0.00,0.00,3509.80,,0.00,735.10,1419.70,384.40,1308.50,0.00,3847.70,7357.50,,,1934.80,,553.80,0.00,0.00,135.50,,491.60,,--,,2892.50,230.80,,55.87,,53.00,1864.80,,--,--
Mar 10,,,84.40,84.40,5830.20,5830.20,5914.60,,6.30,96.30,0.00,0.00,102.60,,556.90,1194.30,253.20,339.40,2343.80,8361.00,,,1250.40,65.20,745.40,0.00,2061.00,2652.70,21.30,0.00,0.00,4735.00,,0.00,897.40,1060.50,368.00,1300.10,0.00,3626.00,8361.00,,,2016.10,,486.40,0.00,0.00,110.70,,424.30,,--,,3013.80,147.60,,55.87,,360.10,2652.40,,--,--
Mar 11,,,84.60,84.60,5935.60,5935.60,6020.20,,513.00,100.80,6.00,19.70,639.50,,931.10,806.90,588.90,276.80,2603.70,9263.40,,,1689.30,1.70,546.00,0.00,2237.00,2462.00,0.00,911.70,0.00,5610.70,,0.00,1063.20,1770.50,66.20,577.80,175.00,3652.70,9263.40,,,2488.20,,533.70,0.00,0.00,277.30,,510.30,,--,,3671.80,75.90,,55.87,,3.30,2614.80,,--,--
Mar 12,,,84.80,84.80,6633.00,6633.00,6717.80,,513.00,20.00,6.30,21.20,560.50,,1020.40,733.40,984.40,324.10,3062.30,10340.60,,,1896.70,0.10,617.60,0.00,2514.40,2270.70,0.00,631.80,0.00,5416.90,,207.00,1326.70,1943.50,849.00,529.80,67.70,4923.70,10340.60,,,2503.90,,691.40,0.00,0.00,228.50,,609.30,,--,,4840.50,96.20,,55.87,,2.50,2616.00,,208.00,--
Mar 13,,,84.90,84.90,7698.50,7698.50,7783.40,,6.30,93.70,2.80,29.80,132.60,,1582.80,767.80,1301.10,421.40,4073.10,11989.10,,,2335.50,51.50,423.20,0.00,2810.20,2182.60,0.00,350.10,20.90,5363.80,,196.60,1526.50,2963.90,919.10,888.50,130.70,6625.30,11989.10,,,2097.30,,883.70,0.00,0.00,265.00,,863.80,,--,,6100.40,328.60,,55.87,,2.50,2494.70,,201.00,--
Mar 14,,,85.10,85.10,9243.90,9243.90,9329.00,,901.50,125.20,4.70,33.50,1064.90,,1763.00,842.30,1029.40,479.50,4114.20,14508.10,,,2693.70,54.60,576.10,0.00,3324.40,1740.10,0.00,535.80,0.00,5600.30,,1066.40,1592.10,4561.50,665.10,828.70,194.00,8907.80,14508.10,,,2051.80,,1103.10,0.00,0.00,193.10,,1264.80,,--,,7405.90,194.80,,55.87,,2.30,1866.70,,1076.20,--
