0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,28.09,28.09,212.86,212.86,240.95,,128.20,79.70,0.00,0.00,207.90,,0.48,342.82,33.42,89.31,466.03,914.88,,,275.25,104.70,8.67,0.00,388.62,2.67,12.64,0.00,5.87,409.80,,0.00,161.25,158.08,31.04,154.71,0.00,505.08,914.88,,,130.54,,30.67,0.00,0.00,15.92,,4.56,,0.35,,54.41,--,,--,,--,2.67,,--,--
Mar 06,,,28.09,28.09,416.92,416.92,445.01,,72.67,54.23,0.00,0.00,126.90,,100.58,276.81,17.73,101.41,496.53,1068.44,,,233.44,61.78,7.25,0.00,302.47,268.90,10.54,0.00,2.09,584.00,,0.00,161.23,117.60,26.10,179.51,0.00,484.44,1068.44,,,131.11,,21.33,0.00,0.00,9.39,,7.43,,0.40,,121.43,1.35,,--,,--,268.90,,--,--
Mar 07,,,28.09,28.09,385.28,385.28,413.37,,96.02,52.77,0.00,0.00,148.79,,99.37,381.39,32.50,125.35,638.61,1200.77,,,230.40,63.35,8.50,0.00,302.25,272.13,12.65,0.00,0.63,587.66,,0.00,168.91,189.38,47.73,207.09,0.00,613.11,1200.77,,,132.95,,21.23,0.00,0.00,5.44,,7.51,,3.33,,152.73,2.93,,--,,--,272.13,,--,--
Mar 08,,,28.09,28.09,430.24,430.24,458.33,,104.20,54.61,0.00,0.00,158.81,,93.62,351.50,23.58,169.63,638.33,1255.47,,,235.01,69.94,19.33,0.00,324.28,286.77,14.93,0.00,0.00,625.98,,0.00,210.38,141.32,48.98,228.81,0.00,629.49,1255.47,,,126.94,,19.50,0.00,0.00,15.86,,10.97,,--,,164.34,5.88,,--,,--,286.77,,--,--
Dec 09,,,12.66,12.66,375.81,375.81,388.47,,2.05,7.50,0.00,0.00,9.55,,8.75,83.43,21.84,30.84,144.86,556.91,,,46.57,17.20,1.70,0.00,65.47,299.55,5.94,0.00,0.00,370.96,,0.00,22.03,5.19,114.00,44.73,0.00,185.95,556.91,,,120.04,,1.50,0.00,0.00,2.41,,6.08,,0.42,,30.26,--,,--,,--,299.55,,--,--
Dec 10,,,26.94,26.94,429.73,429.73,456.67,,3.11,6.74,0.00,0.00,9.85,,14.36,104.80,12.65,41.08,172.89,639.41,,,54.08,17.67,3.06,0.00,74.81,463.98,4.51,0.00,0.00,543.30,,0.00,28.23,3.64,11.10,52.81,0.33,96.11,639.41,,,86.22,,3.40,0.00,0.00,4.38,,3.11,,--,,34.75,--,,--,,--,463.98,,--,--
Dec 11,,,26.99,26.99,513.05,513.05,540.04,,0.58,3.92,2.73,8.09,15.32,,13.67,105.87,59.51,47.97,227.02,782.38,,,109.75,2.55,4.21,0.00,116.51,5.44,0.00,34.81,5.76,162.52,,512.57,45.27,4.10,2.98,13.87,41.07,619.86,782.38,,,111.43,,0.00,0.00,0.00,2.01,,4.39,,2.50,,45.30,--,,--,,--,5.44,,--,512.57
Dec 12,,,27.00,27.00,602.05,602.05,629.05,,0.00,6.26,3.23,9.26,18.75,,20.01,177.50,116.81,62.12,376.44,1024.24,,,133.83,3.87,60.33,0.00,198.03,10.94,0.00,61.30,6.18,276.45,,638.45,75.41,6.20,3.50,23.94,0.29,747.79,1024.24,,,111.94,,0.00,0.00,0.00,5.19,,8.83,,3.60,,54.89,--,,--,,--,10.94,,--,638.45
Dec 13,,,27.04,27.04,794.30,794.30,821.34,,0.00,12.63,3.78,10.48,26.89,,4.00,321.42,211.49,98.04,634.95,1483.18,,,287.97,11.28,8.47,0.00,313.17,30.94,0.00,82.72,7.09,433.92,,825.41,143.84,12.13,18.71,48.74,0.43,1049.26,1483.18,,,137.04,,0.00,1.13,1.13,3.06,,10.57,,4.55,,69.01,--,,--,,--,30.94,,--,825.41
Dec 14,,,27.10,27.10,1206.56,1206.56,1233.66,,0.00,20.07,4.52,13.82,38.41,,0.00,490.24,296.56,170.02,956.82,2228.89,,,488.65,11.93,42.67,0.00,559.92,271.49,0.00,139.00,7.67,978.08,,917.09,205.13,10.70,43.05,73.91,0.93,1250.81,2228.89,,,210.61,,0.00,2.94,2.94,23.35,,17.72,,6.83,,91.73,--,,--,,--,271.49,,--,917.09
Dec 15,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 16,,,27.16,27.16,2309.25,2309.25,2336.41,,0.00,40.82,15.42,29.67,85.91,,22.57,721.30,431.25,26.47,1201.59,3623.91,,,759.46,29.04,33.31,4.56,887.54,1486.15,0.00,0.00,200.78,2574.47,,582.90,300.36,46.13,44.52,6.80,68.73,1049.44,3623.91,,,39.88,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,16.80,1469.39,,--,582.90
Mar 17,,,27.21,27.21,3895.38,3895.38,3922.59,,0.00,79.22,30.36,26.13,135.71,,67.44,764.49,607.52,42.51,1481.96,5540.26,,,832.43,33.41,265.01,4.21,1243.82,2658.12,0.00,0.00,277.96,4179.90,,883.61,322.45,48.94,20.61,0.34,84.41,1360.36,5540.26,,,533.61,,0.00,0.00,0.00,0.00,,233.79,,--,,177.01,--,,--,,2360.46,--,,883.61,--
Mar 18,,,27.26,27.26,5344.97,5344.97,5372.23,,0.00,142.97,55.72,29.12,227.81,,85.98,1170.47,890.97,47.21,2194.63,7794.67,,,1454.76,38.66,141.89,3.86,1830.49,3232.59,0.00,0.00,207.17,5270.25,,633.40,379.23,78.02,1208.82,0.28,224.67,2524.42,7794.67,,,456.72,,0.00,0.00,0.00,0.00,,369.13,,--,,213.54,--,,--,,3185.80,0.09,,633.40,--
Mar 19,,,27.28,27.28,7099.17,7099.17,7126.45,,0.00,276.49,73.23,23.00,372.72,,76.38,1231.10,613.11,57.65,1978.24,9477.41,,,1688.32,178.98,272.14,3.51,2320.55,2577.72,0.00,0.00,194.71,5092.98,,468.81,605.34,106.61,2940.07,1.29,262.31,4384.43,9477.41,,,422.79,,0.00,0.00,0.00,0.00,,430.69,,--,,343.95,--,,--,,2511.63,0.09,,468.81,--
Mar 20,,,27.30,27.30,8248.04,8248.04,8275.34,,0.00,252.04,169.31,21.20,442.55,,0.00,1020.77,764.14,76.21,1861.12,10579.01,,,2180.76,184.83,26.75,3.16,2680.92,1413.08,0.00,0.00,148.41,4242.41,,2512.50,518.05,133.97,2926.38,0.12,245.58,6336.60,10579.01,,,167.35,,0.00,0.00,0.00,0.00,,392.75,,--,,709.47,--,,--,,1345.11,5.13,,2512.50,--
Mar 21,,,27.33,27.33,9677.67,9677.67,9705.00,,0.00,221.13,247.51,22.56,491.20,,0.00,1692.13,646.85,89.73,2428.71,12624.91,,,1888.30,535.06,59.78,0.00,2733.52,968.71,0.00,0.00,174.99,3877.22,,1076.08,769.13,256.18,5798.91,459.16,388.23,8747.69,12624.91,,,197.98,,0.00,0.00,0.00,0.00,,337.27,,--,,682.82,--,,--,,--,--,,1076.08,--
Mar 22,,,27.34,27.34,10767.23,10767.23,10794.57,,0.00,222.86,349.75,38.50,611.11,,5.98,1764.46,958.56,149.87,2878.87,14284.55,,,1891.49,509.14,133.38,0.00,2904.81,5525.26,0.00,0.00,356.68,8786.75,,424.70,898.37,1169.66,26.62,2671.94,306.51,5497.80,14284.55,,,346.65,,0.00,0.00,0.00,0.00,,458.92,,--,,1475.92,--,,--,,--,--,,424.70,--
Mar 23,,,27.35,27.35,12859.55,12859.55,12886.90,,62.96,303.40,475.83,101.34,943.53,,35.84,1752.70,1102.16,154.37,3045.07,16875.50,,,2138.40,461.88,74.16,0.00,3068.76,10059.71,0.00,0.00,247.12,13375.59,,219.89,910.94,702.02,795.89,588.94,282.23,3499.91,16875.50,,,855.77,,0.00,0.00,0.00,0.00,,642.32,,--,,1694.28,--,,--,,--,--,,219.89,--
Mar 24,,,27.38,27.38,15666.20,15666.20,15693.58,,163.46,480.48,601.67,173.72,1419.33,,8.82,2027.75,1224.88,98.45,3359.90,20472.81,,,2083.31,690.66,210.04,0.00,3327.46,11125.96,0.00,0.00,2144.78,16598.20,,180.92,1068.63,1049.56,93.12,0.00,1482.38,3874.61,20472.81,,,903.18,,0.00,0.00,0.00,0.00,,648.31,,--,,1602.25,--,,--,,--,--,,180.92,--
