0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,91.67,91.67,4231.96,4236.66,4328.33,,1716.09,649.35,0.00,0.00,2365.44,,292.25,597.81,230.08,280.41,1400.55,8094.34,,,3048.36,0.51,145.94,0.00,3194.81,2982.02,49.85,0.00,0.00,6226.68,,0.00,678.59,522.01,86.70,566.63,13.73,1867.66,8094.34,,,325.98,,678.28,0.00,0.00,25.86,,9.14,,43.89,,155.09,5.86,,29.53,,2704.57,793.78,,--,--
Mar 06,,,91.67,91.67,4886.11,4890.39,4982.06,,1636.75,620.47,0.00,0.00,2257.22,,342.92,740.96,228.19,304.22,1616.29,8855.59,,,3002.27,2.36,293.64,0.00,3298.27,3481.71,36.09,0.00,0.00,6816.07,,0.00,750.73,413.45,155.58,707.00,12.76,2039.52,8855.59,,,645.36,,652.97,0.00,0.00,15.22,,14.09,,56.29,,194.15,6.15,,29.53,,5121.01,1274.82,,--,--
Mar 07,,,91.67,91.67,6134.46,6138.35,6230.02,,2544.85,629.21,0.00,0.00,3174.06,,406.71,903.11,363.75,183.20,1856.77,11260.87,,,3379.83,10.61,1192.35,0.00,4582.79,4274.70,46.66,0.00,0.00,8904.15,,0.00,824.14,576.48,116.38,825.39,14.33,2356.72,11260.87,,,3540.02,,728.37,0.00,0.00,154.97,,26.56,,161.53,,272.90,7.78,,29.53,,7329.31,1791.67,,--,--
Mar 08,,,91.67,91.67,8045.42,8049.02,8140.69,,2457.87,654.63,0.00,0.00,3112.50,,744.00,1186.76,417.41,540.21,2888.38,14141.59,,,4000.78,22.73,3026.31,0.00,7049.82,4080.79,47.76,0.00,0.00,11178.37,,0.00,978.44,711.98,127.47,1141.19,4.14,2963.22,14141.59,,,1188.35,,836.20,0.00,0.00,558.82,,39.66,,217.81,,377.81,9.05,,29.53,,8025.73,1480.97,,--,--
Mar 09,,,91.67,91.67,9382.53,9385.89,9477.56,,2921.22,916.62,0.00,0.00,3837.84,,473.73,1249.17,437.76,590.88,2751.54,16066.96,,,7058.10,0.55,1248.27,0.00,8306.92,4609.10,52.25,0.00,0.00,12968.27,,0.00,1378.24,559.93,113.38,1046.29,0.85,3098.69,16066.96,,,761.68,,1297.71,0.00,0.00,232.63,,18.30,,263.34,,500.30,15.72,,29.53,,5035.70,1606.88,,--,--
Mar 10,,,91.68,91.68,7044.16,7044.16,7135.84,,500.52,264.33,0.00,0.00,764.85,,537.10,201.44,100.93,580.55,1420.02,9330.24,,,1778.64,7.42,42.98,0.00,1829.04,6324.79,12.17,0.00,0.00,8166.00,,0.00,417.24,345.01,15.92,386.07,0.00,1164.24,9330.24,,,119.68,,908.58,0.00,0.00,277.45,,11.57,,795.21,,728.26,11.92,,29.53,,11129.18,3124.34,,--,--
Mar 11,,,91.70,91.70,8042.02,8042.02,8133.72,,487.82,229.82,9.83,37.19,764.66,,61.92,223.53,401.53,421.23,1108.21,10006.60,,,1541.15,0.66,56.53,0.00,1598.34,3668.78,0.00,142.92,0.00,5410.04,,3241.47,421.65,455.63,14.65,425.79,37.37,4596.56,10006.60,,,889.05,,739.84,0.00,0.00,24.65,,39.72,,529.12,,825.07,20.44,,29.53,,22128.31,415.06,,3382.51,258.83
Mar 12,,,91.71,91.71,9007.67,9007.67,9099.38,,567.34,239.24,12.12,39.04,857.74,,63.00,295.05,290.06,430.83,1078.94,11036.07,,,1547.11,1.42,476.94,0.00,2025.47,4474.45,0.00,604.87,0.00,7104.79,,2355.29,630.91,509.23,11.02,401.27,23.56,3931.28,11036.07,,,1912.68,,836.42,0.00,0.00,166.84,,27.99,,795.51,,1118.78,21.65,,29.53,,28770.78,768.13,,2199.79,210.47
Mar 13,,,91.78,91.78,10030.07,10030.07,10121.85,,980.92,343.91,12.91,43.44,1381.18,,190.82,345.69,539.65,472.57,1548.73,13051.77,,,2070.25,1.71,2425.09,0.00,4497.05,4518.81,0.00,439.45,0.00,9455.31,,1705.62,789.34,516.63,16.27,542.01,26.59,3596.46,13051.77,,,688.79,,1150.83,0.00,0.00,637.49,,22.28,,5.95,,1263.14,21.34,,29.53,,34624.96,939.97,,837.45,909.55
Mar 14,,,91.83,91.83,10735.74,10735.74,10827.57,,1004.38,462.00,14.66,42.31,1523.35,,127.16,451.39,481.98,466.19,1526.72,13877.65,,,3545.66,2.08,1807.45,0.00,5355.19,4420.10,0.00,478.60,0.00,10253.89,,1183.54,1212.27,613.79,26.30,551.49,36.37,3623.76,13877.65,,,806.82,,1802.63,0.00,0.00,175.94,,14.38,,5.94,,1500.63,6.76,,29.53,,40668.36,994.20,,1182.81,96.00
