0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Jun 04,,,59.22,59.22,2231.96,2231.96,2291.18,,98.23,0.00,0.00,0.00,98.23,,0.00,220.47,205.82,154.27,580.56,2970.00,,,153.65,51.63,118.63,0.00,323.91,2250.36,7.28,0.00,0.00,2581.55,,0.00,0.00,168.59,72.78,127.08,20.00,388.45,2970.00,,,205.15,,0.00,0.00,0.00,15.44,,371.14,,50.74,,1123.73,23.81,,16.60,,173.04,2154.54,,--,--
Jun 05,,,63.84,63.84,2796.14,2796.14,2859.98,,96.69,0.00,0.00,0.00,96.69,,0.00,339.92,171.19,173.93,685.04,3643.35,,,300.15,59.80,71.78,0.00,431.73,2654.66,7.50,0.00,0.00,3093.89,,0.00,0.00,306.41,84.53,158.52,0.00,549.46,3643.35,,,511.56,,0.00,0.00,0.00,29.08,,427.22,,98.65,,1428.12,--,,16.60,,33.26,2622.08,,--,--
Jun 06,,,64.69,64.69,2511.18,2511.18,2575.87,,13.38,0.00,0.00,0.00,13.38,,0.00,699.89,235.13,200.08,1135.10,3725.68,,,427.84,97.84,163.63,0.00,689.31,1907.76,17.83,0.00,0.00,2614.90,,0.00,0.00,645.98,106.22,358.58,0.00,1110.78,3725.68,,,331.01,,0.00,0.00,0.00,64.88,,758.00,,98.39,,2994.20,0.07,,16.60,,10.11,1323.33,,--,--
Jun 07,,,132.74,132.74,3292.28,3292.28,3425.02,,40.89,0.00,0.00,0.00,40.89,,0.00,858.50,144.52,430.74,1433.76,4899.67,,,541.81,128.28,212.86,0.00,882.95,1988.86,29.84,0.00,0.00,2901.65,,0.00,0.00,712.48,380.94,629.10,275.50,1998.02,4899.67,,,418.65,,0.00,0.00,0.00,50.84,,913.58,,98.40,,3726.05,0.04,,81.69,,--,1988.86,,--,--
Jun 08,,,133.27,133.27,3079.85,3079.85,3213.12,,25.33,0.00,0.00,0.00,25.33,,0.00,1050.06,778.79,723.54,2552.39,5792.55,,,535.92,189.37,419.03,0.00,1144.32,1797.34,140.60,0.00,0.00,3082.26,,0.00,0.00,980.02,686.88,980.34,63.05,2710.29,5792.55,,,469.36,,0.00,0.00,0.00,67.78,,1043.99,,98.36,,4545.86,0.03,,81.69,,--,1797.34,,--,--
Jun 09,,,134.05,134.05,3353.72,3353.72,3487.77,,26.89,1.45,0.00,0.00,28.34,,486.84,1361.16,854.83,377.95,3080.78,6597.36,,,608.86,248.12,417.56,0.00,1274.54,562.75,227.45,0.00,0.00,2064.74,,0.00,87.01,1489.26,1365.83,1447.42,143.10,4532.62,6597.36,,,3317.46,,0.00,0.00,0.00,108.03,,702.29,,110.65,,4572.53,--,,81.69,,--,562.75,,--,--
Jun 10,,,135.76,135.76,4798.09,4798.09,4933.85,,1030.51,1.53,0.00,0.00,1032.04,,366.88,1190.55,531.93,433.60,2522.96,8490.86,,,632.28,311.55,477.20,0.00,1421.03,2233.20,107.69,0.00,0.00,3761.92,,0.00,12.04,2084.70,989.43,1451.87,190.90,4728.94,8490.86,,,2505.21,,0.00,0.00,0.00,114.91,,688.50,,48.58,,4968.24,--,,81.69,,--,2233.20,,--,--
Jun 11,,,137.74,137.74,5720.41,5720.41,5858.15,,847.11,0.00,92.05,100.72,1039.88,,0.29,340.16,1323.20,502.12,2165.77,9064.80,,,1188.53,107.40,518.69,0.00,1814.62,2240.65,133.06,538.89,205.01,4932.23,,412.63,124.97,1657.26,953.70,430.80,553.21,4132.57,9064.80,,,2701.38,,0.00,0.00,0.00,193.06,,579.73,,78.51,,5056.95,--,,81.69,,91.80,2145.72,,--,412.63
Jun 12,,,138.66,138.66,6465.15,6465.15,6603.81,,525.65,0.00,349.63,163.18,1038.46,,173.22,380.32,1883.84,794.61,3231.99,10877.03,,,1552.39,61.32,549.55,0.00,2163.26,2933.67,237.15,621.67,242.57,6198.32,,364.28,99.99,1992.42,1041.20,428.71,752.11,4678.71,10877.03,,,3644.36,,0.00,0.00,0.00,200.28,,884.04,,120.66,,8384.17,--,,81.69,,91.54,2839.03,,--,364.28
Jun 13,,,139.37,139.37,10093.36,10093.36,10232.73,,532.66,0.00,436.92,165.98,1135.56,,82.48,333.29,2978.45,1191.81,4586.03,15959.33,,,1896.95,57.23,488.19,0.00,2442.37,3609.72,376.69,764.09,132.70,7325.57,,445.98,81.84,2709.21,2808.83,1511.51,1076.39,8633.76,15959.33,,,4186.27,,0.00,0.00,0.00,133.95,,1131.64,,120.06,,11381.19,--,,81.69,,48.42,3559.72,,43.94,401.64
