0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,ASSETS,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,OTHER ADDITIONAL INFORMATION,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),KEY PERFORMANCE INDICATORS,Tier 1 (%),Tier 2 (%),ASSETS QUALITY,Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),"CONTINGENT LIABILITIES, COMMITMENTS",Bills for Collection,Contingent Liabilities
Mar 11,,,465.23,465.23,0.00,24911.13,24911.13,25379.27,208586.41,14394.06,28992.86,277352.59,,25100.82,4568.02,70929.37,159982.67,2170.65,14601.08,277352.59,,1986.00,55752.00,16.22,,12.23,3.99,,1694.34,1.00,296.41,0.19,0.00,,13428.49,588550.98
Mar 12,,,469.34,469.34,0.00,29455.04,29455.04,29924.68,246706.45,23846.51,37431.87,337909.50,,14991.09,5946.63,97482.91,195420.03,2347.19,21721.64,337909.50,,2544.00,66076.00,16.52,,11.60,4.92,,1999.39,1.00,352.33,0.18,0.00,,18692.50,883985.32
Mar 13,,,475.88,475.88,0.00,35738.26,35738.26,36214.15,296246.98,33006.60,34864.17,400331.90,,14627.40,12652.77,111613.60,239720.64,2703.08,19014.41,400331.90,,3062.00,69065.00,16.80,,11.08,5.72,,2334.64,1.00,468.95,0.20,0.00,,26103.96,746226.39
Mar 14,,,479.81,479.81,0.00,42998.82,42998.82,43478.63,367337.48,39438.99,41344.40,491599.50,,25345.63,14238.01,120951.07,303000.27,2939.92,25124.60,491599.50,,3403.00,68165.00,16.07,,11.77,4.30,,2989.28,1.00,820.03,0.27,0.00,,20943.06,744097.98
Mar 15,,,501.30,501.30,0.00,61508.12,61508.12,62009.42,450795.64,45213.56,32484.46,590503.07,,27510.45,8821.00,166459.95,365495.03,3121.73,19094.91,590503.07,,4014.00,76286.00,16.79,,13.66,3.13,,3438.38,1.00,896.28,0.25,0.00,,22304.93,997538.88
Mar 16,,,505.64,505.64,0.00,72172.13,72172.13,72677.76,546424.19,53018.47,36725.13,708845.57,,30058.31,8860.53,163885.77,464593.96,3343.16,38103.84,708845.57,,4520.00,87555.00,15.53,,13.22,2.31,,4392.83,1.00,1320.37,0.28,0.00,,55242.58,876808.11
Mar 17,,,512.51,512.51,0.00,88949.84,88949.84,89462.35,643639.66,74028.87,56709.32,863840.19,,37896.88,11055.22,214463.34,554568.20,3626.74,42229.82,863840.19,,4715.00,84325.00,14.55,,12.79,1.76,,5885.66,1.00,1843.99,0.33,0.00,,30848.04,817869.59
Mar 18,,,519.02,519.02,0.00,105775.98,105775.98,106295.00,788770.64,123104.97,45763.72,1063934.32,,104670.47,18244.61,242200.24,658333.09,3607.20,36878.70,1063934.32,,4787.00,88253.00,14.82,,13.25,1.57,,8606.97,1.00,2601.02,0.40,0.00,,42753.83,875488.23
Mar 19,,,544.66,544.66,0.00,148661.69,148661.69,149206.35,923140.93,117085.12,55108.29,1244540.69,,46763.62,34584.02,290587.88,819401.22,4030.00,49173.95,1244540.69,,5103.00,98061.00,17.11,,15.78,1.33,,11224.16,1.00,3214.52,0.39,0.00,,49952.80,1024715.12
Mar 20,,,548.33,548.33,0.00,170437.70,170437.70,170986.03,1147502.29,144628.54,67394.40,1530511.26,,72205.12,14413.60,391826.66,993702.88,4431.92,53931.09,1530511.26,,5416.00,116971.00,18.52,,17.23,1.29,,12649.97,1.00,3542.36,0.36,0.00,,51584.90,1128953.40
Mar 21,,,551.28,551.28,0.00,203169.55,203169.55,203720.83,1335060.22,135487.32,72602.15,1746870.52,,97340.74,22129.66,443728.29,1132836.63,4909.32,45925.89,1746870.52,,5608.00,120093.00,18.79,,17.56,1.23,,15086.00,1.00,4554.82,0.40,0.00,,44748.14,971097.60
Mar 22,,,554.55,554.55,0.00,239538.38,239538.38,240092.94,1559217.44,184817.21,84407.46,2068535.05,,129995.64,22331.29,455535.69,1368820.93,6083.67,85767.83,2068535.05,,6342.00,141579.00,18.90,,17.87,1.03,,16140.96,1.00,4407.68,0.32,0.00,,56968.05,1395442.30
Mar 23,,,557.97,557.97,0.00,279641.03,279641.03,280199.01,1883394.65,206765.57,95722.25,2466081.47,,117160.77,76604.31,517001.43,1600585.90,8016.54,146712.52,2466081.47,,7821.00,173222.00,19.26,,17.13,2.13,,18019.03,1.12,4368.43,0.27,0.27,,71439.54,1748130.32
Mar 24,,,759.69,759.69,0.00,436833.40,436833.40,440245.81,2379786.28,662153.08,135437.93,3617623.09,,178683.22,40464.20,702414.96,2484861.52,11398.99,199800.20,3617623.09,,8738.00,213527.00,18.80,,16.79,2.01,,31173.32,1.24,8091.74,0.33,0.33,,65332.87,2296758.34
