0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 08,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 11,,,1994.88,1994.88,-1569.49,-1514.25,480.63,,0.00,0.00,5569.01,20523.13,26092.15,,0.00,0.00,1303.76,15.01,1318.77,27891.54,,,237.43,0.00,2.14,0.00,239.57,26558.09,0.00,33.12,0.00,26830.79,,0.00,0.00,0.00,383.73,677.03,0.00,1060.76,27891.54,,,700.58,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 12,,,1994.88,1994.88,-1194.39,-1139.69,855.19,,0.00,0.00,7812.78,23609.80,31422.58,,0.00,0.00,1500.27,13.68,1513.94,33791.71,,,274.92,0.00,4.63,0.00,279.55,32189.48,0.00,31.76,0.00,32500.79,,0.00,0.00,0.00,547.56,743.36,0.00,1290.92,33791.71,,,217.22,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 13,,,1994.88,1994.88,-687.90,-633.63,1361.25,,0.00,0.00,10725.19,28333.09,39058.28,,0.00,0.00,1544.25,28.95,1573.20,41992.72,,,275.85,0.00,31.87,0.00,307.72,40403.98,0.00,78.53,0.00,40790.22,,0.00,0.00,0.00,486.38,716.12,0.00,1202.50,41992.72,,,339.15,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 14,,,1994.88,1994.88,-66.25,-16.20,1978.68,,0.00,0.00,14683.67,34207.37,48891.04,,0.00,0.00,1476.39,27.55,1503.95,52373.66,,,328.61,0.00,15.83,0.00,344.44,50529.23,0.00,47.87,0.00,50921.54,,0.00,0.00,0.00,458.88,993.25,0.00,1452.13,52373.66,,,145.59,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 15,,,1994.88,1994.88,546.96,597.01,2591.89,,0.00,0.00,19804.60,44920.34,64724.94,,0.00,0.00,2034.99,33.10,2068.09,69384.92,,,395.52,0.00,6.44,0.00,401.96,67025.03,0.00,125.63,0.00,67552.62,,0.00,0.00,0.00,572.37,1259.93,0.00,1832.30,69384.92,,,176.05,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 16,,,1995.29,1995.29,1113.30,1163.35,3158.64,,0.00,0.00,25159.73,45727.02,70886.74,,0.00,0.00,2559.70,41.41,2601.11,76646.49,,,384.21,0.00,12.16,0.00,396.37,74230.04,0.00,93.07,0.00,74719.48,,0.00,0.00,0.00,646.60,1280.41,0.00,1927.01,76646.49,,,100.15,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 17,,,1998.48,1998.48,1840.20,1840.20,3838.68,,0.00,0.00,33646.86,53800.48,87447.34,,0.00,0.00,3773.54,46.55,3820.10,95106.12,,,336.83,0.00,16.09,0.00,352.92,91432.54,0.00,352.92,0.00,92138.37,,0.00,0.00,0.00,796.50,2171.25,0.00,2967.75,95106.12,,,665.60,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 18,,,2011.74,2011.74,2736.56,2736.56,4748.30,,0.00,0.00,46487.69,54598.19,101085.88,,0.00,0.00,4602.72,43.67,4646.39,110481.46,,,336.13,0.00,5.28,0.00,341.40,95395.62,0.00,18.74,795.24,96551.01,,10412.00,0.00,0.00,1108.47,2409.98,0.00,13930.45,110481.46,,,1031.51,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 19,,,2017.38,2017.38,3637.87,3637.87,5655.25,,0.00,0.00,55849.85,63377.41,119227.26,,0.00,0.00,5063.97,58.49,5122.46,130005.36,,,323.11,0.00,10.19,0.00,333.30,125551.66,0.00,79.59,0.00,125964.55,,0.00,0.00,0.00,1239.82,2800.99,0.00,4040.81,130005.36,,,1762.96,,0.00,0.00,0.00,0.00,,189.70,,--,,--,160.90,,--,,--,--,,--,--
