0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,39.94,39.94,1453.44,1453.44,1493.38,,201.76,101.53,0.00,0.00,303.29,,0.00,661.96,353.80,484.71,1500.47,3297.14,,,615.30,59.18,40.85,0.00,715.33,2026.65,0.63,0.00,0.00,2742.61,,0.00,204.26,89.55,17.60,243.12,0.00,554.53,3297.14,,,0.00,,280.49,0.00,0.00,60.79,,209.21,,51.92,,180.42,1.28,,23.96,,170.35,1858.99,,--,--
Mar 06,,,39.94,39.94,1969.39,1969.39,2009.33,,185.78,120.10,0.00,0.00,305.88,,0.00,646.27,426.61,489.92,1562.80,3878.01,,,828.30,121.07,44.19,0.00,993.56,2061.89,1.32,0.00,0.00,3056.77,,0.00,226.55,158.66,158.72,277.31,0.00,821.24,3878.01,,,73.48,,203.06,0.00,0.00,77.13,,299.33,,103.84,,252.00,1.61,,23.96,,186.54,1876.42,,--,--
Mar 07,,,39.94,39.94,2430.12,2430.12,2470.06,,165.17,129.58,0.00,0.00,294.75,,0.00,554.82,487.10,437.24,1479.16,4243.97,,,1014.36,151.17,189.92,0.00,1355.45,1973.87,1.38,0.00,0.00,3330.70,,0.00,275.58,335.25,35.78,266.66,0.00,913.27,4243.97,,,165.59,,173.94,0.00,0.00,109.13,,371.61,,103.84,,262.56,0.94,,23.96,,157.85,1809.12,,--,--
Mar 08,,,39.94,39.94,2946.30,2946.30,2986.24,,132.00,130.59,0.00,0.00,262.59,,0.00,756.07,568.91,499.76,1824.74,5073.57,,,973.77,182.49,408.49,0.00,1564.75,2566.82,5.22,0.00,0.00,4136.79,,0.00,317.10,297.44,131.09,191.15,0.00,936.78,5073.57,,,56.37,,507.92,0.00,0.00,66.14,,332.49,,88.26,,242.79,0.85,,23.96,,209.20,2357.62,,--,--
Mar 09,,,39.94,39.94,3760.81,3760.81,3800.75,,78.49,153.08,0.00,0.00,231.57,,0.00,703.03,822.82,526.97,2052.82,6085.14,,,1367.17,206.54,120.54,0.00,1694.25,3368.75,8.65,0.00,0.00,5071.65,,0.00,326.83,149.94,219.57,317.15,0.00,1013.49,6085.14,,,100.54,,427.54,0.00,0.00,48.51,,377.80,,98.65,,247.04,1.07,,23.96,,40.55,3305.14,,--,--
Mar 10,,,39.94,39.94,3425.08,3425.08,3465.02,,66.03,160.63,0.00,0.00,226.66,,0.00,1111.44,2693.62,1026.35,4831.41,8523.09,,,1427.04,231.74,48.14,0.00,1706.92,3925.71,7.88,0.00,0.00,5640.51,,0.00,436.40,108.39,1907.21,430.58,0.00,2882.58,8523.09,,,73.04,,579.90,0.00,0.00,44.83,,485.46,,103.84,,337.27,0.32,,23.96,,25.03,3900.68,,--,--
Mar 11,,,39.94,39.94,2916.12,2916.12,2956.06,,1471.04,246.77,0.00,35.68,1753.49,,0.00,2073.30,2898.02,1045.39,6016.71,10726.26,,,1612.53,2467.75,49.96,0.00,4130.24,465.46,0.00,342.29,16.43,4954.42,,4663.29,524.93,130.59,71.52,344.72,36.79,5771.84,10726.26,,,131.90,,21.42,0.00,0.00,63.32,,2694.26,,571.11,,444.23,0.39,,23.96,,54.64,410.00,,7.50,4655.91
Mar 12,,,39.94,39.94,4249.89,4249.89,4289.83,,1011.39,208.26,0.00,38.00,1257.65,,0.00,2293.17,996.20,1052.07,4341.44,9888.92,,,1743.14,2042.37,38.84,0.00,3824.35,673.96,0.00,533.64,26.01,5057.96,,3290.30,675.57,272.31,76.82,475.60,40.36,4830.96,9888.92,,,252.62,,14.56,0.00,0.00,84.03,,231.78,,--,,598.64,0.91,,23.96,,260.64,409.72,,41.56,3249.79
Mar 13,,,39.94,39.94,4966.30,4966.30,5006.24,,302.16,132.41,0.00,30.16,464.73,,0.00,1873.34,887.64,1409.70,4170.68,9641.65,,,1891.76,1179.22,62.09,0.00,3133.07,614.47,0.00,780.06,36.44,4564.04,,3009.36,636.76,665.00,181.04,553.55,31.90,5077.61,9641.65,,,502.00,,36.70,0.00,0.00,106.09,,203.09,,--,,620.24,4.22,,23.96,,254.48,62.25,,98.80,2057.55
Mar 14,,,39.94,39.94,5559.93,5559.93,5599.87,,0.00,0.00,24.45,49.98,74.43,,0.00,2290.59,588.08,1544.33,4423.00,10097.30,,,1897.27,345.98,854.11,0.00,3097.36,812.88,105.98,477.39,47.81,4541.42,,3275.89,669.55,920.58,117.50,550.31,22.05,5555.88,10097.30,,,487.63,,24.45,0.00,0.00,226.67,,350.77,,--,,465.54,4.55,,23.96,,653.22,229.59,,986.31,2351.11
