0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,92.78,92.78,7573.80,7573.80,7666.58,,3297.54,1129.70,0.00,0.00,4427.24,,502.46,1457.39,220.91,839.90,3020.65,15114.47,,,5569.58,33.95,1322.98,0.00,6926.51,3702.15,0.00,0.00,9.39,10638.04,,0.00,2374.52,787.37,400.97,913.57,0.00,4476.43,15114.47,,,2524.86,,3644.61,0.00,0.00,212.32,,52.37,,26.90,,2605.17,2.21,,49.18,,3474.98,811.86,,--,--
Mar 06,,,98.57,98.57,9507.69,9507.69,9606.25,,2949.11,1245.68,0.00,0.00,4194.78,,1954.33,1974.53,225.03,953.17,5107.06,18908.10,,,6696.87,85.93,832.92,0.00,7615.72,3971.31,12.32,0.00,6.00,11605.35,,0.00,4095.09,1248.40,917.29,1041.98,0.00,7302.75,18908.10,,,2479.24,,5192.84,0.00,0.00,177.06,,110.30,,38.26,,3643.27,6.89,,49.18,,1400.23,940.03,,--,--
Mar 07,,,104.33,104.33,12313.71,12313.71,12418.04,,6428.72,1193.63,0.00,0.00,7622.35,,939.88,2286.69,456.69,1284.14,4967.40,25007.79,,,6920.43,86.28,1476.43,0.00,8483.13,8675.32,67.83,0.00,3.17,17229.45,,0.00,4315.31,1504.50,665.50,1293.03,0.00,7778.34,25007.79,,,1362.42,,9681.33,0.00,0.00,203.67,,198.18,,67.36,,6973.21,4.33,,49.18,,5159.28,7537.62,,--,--
Mar 08,,,122.65,122.65,17173.67,17173.67,17296.31,,6331.89,1398.26,0.00,0.00,7730.15,,1996.70,2689.11,205.67,906.01,5797.48,30963.45,,,7720.97,88.37,1119.87,0.00,8929.21,14107.99,74.59,0.00,0.00,23111.78,,0.00,5097.91,1565.02,146.98,1041.76,0.00,7851.67,30963.45,,,17660.42,,10839.43,0.00,0.00,123.47,,77.55,,67.36,,6434.26,0.74,,49.18,,5795.68,12940.29,,--,--
Mar 09,,,170.05,170.46,23584.69,23584.69,23755.15,,5952.14,1495.00,0.00,0.00,7447.14,,2372.15,1623.55,245.36,803.16,5044.22,36249.68,,,7789.85,97.12,1389.63,0.00,9276.60,19148.84,84.33,0.00,0.00,28509.77,,0.00,4070.14,1201.22,843.72,1624.83,0.00,7739.91,36249.68,,,9775.80,,8371.78,0.00,0.00,78.83,,295.27,,30.66,,5148.18,6.22,,49.18,,2433.33,17853.29,,--,--
Mar 10,,,191.37,191.37,27715.61,27715.61,27906.98,,5163.93,1464.26,0.00,0.00,6628.19,,1192.97,4977.49,449.44,721.49,7341.39,41880.55,,,7635.22,99.60,3702.79,0.00,11437.61,21480.83,97.82,0.00,0.00,33016.26,,0.00,5921.41,1311.87,140.21,1490.80,0.00,8864.29,41880.55,,,18607.32,,11972.74,0.00,0.00,89.01,,151.92,,27.01,,5267.58,11.06,,49.18,,4304.76,20232.63,,--,--
Mar 11,,,191.46,191.46,29508.64,29508.64,29700.10,,5147.54,1287.49,290.50,268.07,6993.60,,3890.35,4082.95,1053.91,815.43,9842.64,46536.34,,,7560.69,23.69,6030.32,0.00,13614.79,13049.66,0.00,3942.59,0.10,30607.14,,5197.09,7651.40,1255.49,233.39,1344.75,247.08,15929.20,46536.34,,,11349.63,,14968.58,0.00,0.00,900.62,,607.26,,26.45,,7096.00,1.14,,49.18,,4546.98,11942.76,,2042.48,3162.15
Mar 12,,,191.48,191.48,31299.68,31299.68,31491.16,,11115.13,1224.56,953.10,287.32,13580.11,,3456.78,4659.77,998.61,919.88,10035.04,55647.62,,,7125.95,24.25,16256.70,0.00,23407.14,13503.70,0.00,2249.53,7.81,39168.18,,4583.40,7742.86,1427.45,722.30,1647.65,355.78,16479.44,55647.62,,,8284.33,,15545.02,0.00,0.00,1300.25,,-40.20,,30.76,,7856.60,0.04,,49.18,,4713.49,12394.33,,1049.21,3561.10
Mar 13,,,191.48,191.48,33239.60,33239.60,33431.08,,20443.05,1191.14,974.28,300.94,22909.41,,3701.72,3051.52,1924.09,1059.43,9736.76,66618.56,,,7071.00,26.65,23605.11,0.00,30702.77,14050.17,0.00,1681.08,34.51,46468.53,,6431.96,7702.61,1515.04,1497.82,2272.42,730.18,20150.03,66618.56,,,4299.64,,16476.44,0.00,0.00,1773.83,,232.85,,29.97,,7571.55,0.75,,49.18,,5025.76,12941.44,,1120.89,5312.79
Mar 14,,,206.48,206.48,36525.97,36525.97,36732.45,,22108.58,1174.31,830.87,341.96,24455.72,,4258.37,4383.75,2901.91,1037.75,12581.78,73769.95,,,18024.98,29.73,17277.13,0.00,35331.94,15312.45,0.00,1161.15,12.52,51818.06,,6595.01,8914.58,1283.65,1163.17,3226.40,769.08,21951.89,73769.95,,,7310.67,,15757.47,173.03,173.03,351.78,,-482.31,,26.70,,8291.95,204.38,,49.18,,5719.16,14195.81,,211.09,6384.16
