0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Dec 04,,,220.12,220.12,1871.92,1872.59,2092.71,,1320.75,139.85,0.00,0.00,1460.59,,150.37,2476.63,114.16,1123.46,3864.62,7417.93,,,1251.31,171.83,94.42,0.00,1517.56,2229.56,365.85,0.00,0.00,4112.97,,0.00,1470.44,489.27,698.05,638.06,9.14,3304.96,7417.93,,,476.41,,649.26,0.00,0.00,27.93,,177.47,,624.17,,1201.45,121.45,,131.69,,342.23,2079.14,,--,--
Dec 05,,,220.12,220.12,2084.84,2085.50,2305.63,,0.00,118.54,0.00,0.00,118.54,,56.94,2905.62,53.81,1293.39,4309.76,6733.93,,,1200.42,185.08,98.03,0.00,1483.53,2148.72,338.68,0.00,0.00,3970.94,,0.00,1321.77,522.83,355.03,560.16,3.20,2762.99,6733.93,,,468.33,,650.20,0.00,0.00,2.58,,167.22,,567.42,,1294.68,152.96,,131.69,,364.81,1896.19,,--,--
Dec 06,,,220.68,220.68,2502.14,2502.81,2723.48,,0.00,160.88,0.00,0.00,160.88,,72.60,3146.59,55.05,1429.71,4703.95,7588.31,,,1225.75,174.99,110.26,0.00,1511.01,2522.22,385.43,0.00,0.00,4418.66,,0.00,1547.71,440.37,416.94,761.32,3.31,3169.66,7588.31,,,476.40,,739.03,0.00,0.00,2.72,,199.37,,624.17,,1247.49,188.60,,131.69,,170.29,2346.08,,--,--
Dec 07,,,217.75,217.75,1220.82,1221.49,1439.23,,0.00,191.32,0.00,0.00,191.32,,88.53,3758.71,78.37,1273.90,5199.51,6830.07,,,1313.24,209.26,185.64,0.00,1708.14,1440.81,403.71,0.00,0.00,3552.66,,0.00,1953.60,443.37,200.86,679.57,0.00,3277.41,6830.07,,,494.46,,747.79,0.00,0.00,11.45,,195.34,,1021.36,,1264.65,219.05,,131.69,,287.83,1364.36,,--,--
Mar 09,,,217.99,217.99,1842.85,1843.52,2061.51,,0.00,184.26,0.00,0.00,184.26,,421.95,4188.61,67.22,1527.98,6205.75,8451.51,,,1348.90,257.88,472.07,0.00,2078.85,332.62,439.09,0.00,0.00,2850.56,,0.00,2528.86,536.89,1777.35,757.86,0.00,5600.96,8451.51,,,417.26,,1488.16,0.00,0.00,30.62,,475.49,,737.65,,1554.49,387.40,,131.69,,71.09,317.30,,--,--
Mar 10,,,218.17,218.17,2364.68,2365.35,2583.52,,0.00,202.31,0.00,0.00,202.31,,0.00,5222.99,68.67,1441.55,6733.21,9519.04,,,1898.46,263.65,273.96,0.00,2436.07,1264.08,451.13,0.00,0.00,4151.28,,0.00,2179.93,678.44,1892.21,613.66,3.52,5367.76,9519.04,,,468.49,,836.48,0.00,0.00,114.99,,355.27,,794.39,,955.14,345.12,,131.69,,953.58,466.46,,--,--
Mar 11,,,215.95,215.95,2442.90,2443.57,2659.52,,0.00,0.00,219.20,663.87,883.07,,0.00,5009.05,554.59,1056.43,6620.07,10162.66,,,2133.58,35.52,216.59,0.00,2457.86,120.58,209.66,400.31,0.00,3188.41,,1140.09,2810.77,943.21,1628.47,416.35,35.36,6974.25,10162.66,,,922.92,,1246.19,0.00,0.00,39.08,,591.48,,737.65,,1058.92,369.32,,131.69,,131.15,108.91,,1148.34,--
Mar 12,,,216.15,216.15,3296.11,3296.78,3512.93,,0.00,0.00,329.69,666.95,996.64,,0.00,4622.96,546.77,1278.97,6448.70,10958.27,,,2117.53,29.94,205.13,0.00,2362.92,186.31,214.24,396.18,0.00,3159.65,,2251.90,2516.65,678.99,1830.04,485.79,35.25,7798.62,10958.27,,,1009.23,,740.66,0.00,0.00,38.16,,606.56,,794.40,,157.21,338.54,,131.69,,132.52,153.38,,2336.76,--
Mar 13,,,216.25,216.25,2457.10,2457.77,2674.02,,0.00,0.00,476.25,706.34,1182.59,,0.00,5167.69,616.15,1872.02,7655.86,11512.47,,,2256.79,36.11,205.32,0.00,2508.54,548.03,204.78,384.29,296.84,3942.48,,1782.63,2526.99,833.48,1707.89,648.26,70.74,7569.99,11512.47,,,894.21,,717.96,0.00,0.00,75.92,,656.46,,1872.50,,147.96,506.84,,131.69,,123.31,515.87,,1859.47,--
Mar 14,,,216.27,216.27,3060.11,3060.78,3277.05,,0.00,0.00,278.82,838.69,1117.51,,0.00,5793.89,852.94,1957.01,8603.84,12998.40,,,2397.94,24.12,312.08,0.00,2741.84,636.17,161.73,605.51,0.68,4145.93,,2457.95,2747.53,816.43,2220.97,537.68,71.91,8852.47,12998.40,,,991.20,,735.98,0.00,0.00,82.11,,788.93,,1480.84,,91.21,456.70,,131.69,,110.11,605.05,,2482.54,--
