0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,ASSETS,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,OTHER ADDITIONAL INFORMATION,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),KEY PERFORMANCE INDICATORS,Tier 1 (%),Tier 2 (%),ASSETS QUALITY,Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),"CONTINGENT LIABILITIES, COMMITMENTS",Bills for Collection,Contingent Liabilities
Mar 11,,,1151.82,1151.82,0.00,53938.82,53938.82,55090.94,225602.11,109554.28,15986.35,406233.67,,20906.97,13183.11,134685.96,216365.90,4744.26,16347.47,406233.67,,2529.00,56969.00,19.54,,13.17,6.37,,10034.26,0.00,2407.36,1.11,1.00,,8530.03,931651.64
Mar 12,,,1152.77,1152.77,0.00,59250.09,59250.09,60405.24,255499.96,140164.91,17576.98,473647.09,,20461.29,15768.02,159560.04,253727.66,4614.69,19515.39,473647.09,,2752.00,58276.00,18.52,,12.68,5.84,,9475.33,0.00,1860.84,0.73,1.00,,7572.06,923037.16
Mar 13,,,1153.64,1153.64,0.00,65547.84,65547.84,66705.96,292613.63,145341.49,32133.60,536794.68,,19052.73,22364.79,171393.60,290249.44,4647.06,29087.07,536794.68,,3100.00,62065.00,18.74,,12.80,5.94,,9607.75,0.00,2230.56,0.77,1.00,,12394.53,802383.84
Mar 14,,,1155.04,1155.04,0.00,72051.71,72051.71,73213.33,331913.66,154759.05,34755.55,594641.58,,21821.83,19707.77,177021.82,338702.65,4678.14,32709.39,594641.58,,3753.00,72226.00,17.70,,12.78,4.92,,10505.84,0.00,3297.96,0.97,1.00,,13534.91,794965.35
Mar 15,,,1159.66,1159.66,0.00,79262.26,79262.26,80429.36,361562.73,172417.35,31719.86,646129.29,,25652.91,16651.71,186580.03,387522.07,4725.52,24997.05,646129.29,,4050.00,66327.00,17.02,,12.78,4.24,,15094.69,4.00,6255.53,1.61,2.00,,16212.97,868190.58
Mar 16,,,1163.17,1163.17,2817.47,85748.24,88565.72,89735.58,421425.71,174807.38,34726.44,720695.10,,27106.09,32762.65,160411.80,435263.94,7576.92,57573.70,720695.10,,4450.00,72175.00,16.64,,13.09,3.55,,26221.25,6.00,12963.08,2.98,3.00,,68932.74,922453.51
Mar 17,,,1165.11,1165.11,3042.14,95737.57,98779.71,99951.07,490039.06,147556.15,34245.16,771791.45,,31702.41,44010.66,161506.55,464232.08,7805.21,62534.55,771791.45,,4850.00,82841.00,17.39,,14.36,3.03,,42159.39,9.00,25216.81,5.43,5.00,,22623.19,1030993.71
Mar 18,,,1285.81,1285.81,3003.19,100864.37,103867.56,105158.94,560975.21,182858.62,30196.40,879189.16,,33102.38,51067.00,202994.18,512395.29,7903.51,71726.80,879189.16,,4867.00,82724.00,18.42,,15.92,2.50,,53240.18,0.00,27823.56,5.43,5.00,,28588.36,1289244.00
Mar 19,,,1289.46,1289.46,3044.51,104029.40,107073.91,108368.04,652919.67,165319.97,37851.46,964459.15,,37858.01,42438.27,207732.68,586646.58,7931.43,81852.17,964459.15,,4874.00,86763.00,16.89,,15.09,1.80,,45676.04,7.00,13449.72,2.29,2.00,,49391.99,1922038.29
Mar 20,,,1294.76,1294.76,3114.87,112091.29,115206.16,116504.41,770968.99,162896.76,47994.99,1098365.15,,35283.96,83871.78,249531.48,645289.97,8410.29,75977.67,1098365.15,,5324.00,99319.00,16.11,,14.72,1.39,,40829.09,6.00,9923.24,1.54,2.00,,48216.24,2523825.80
Mar 21,,,1383.41,1383.41,3093.59,143029.08,146122.67,147509.19,932522.16,91630.96,58770.37,1230432.68,,46031.19,87097.06,281286.54,733729.09,8877.58,73411.21,1230432.68,,5266.00,98750.00,19.12,,18.06,1.06,,40841.42,8.00,9117.66,2.10,2.00,,54643.42,2648640.67
Mar 22,,,1389.97,1389.97,3195.66,165659.93,168855.59,170511.97,1064571.61,107231.36,68982.79,1411297.74,,60120.82,107701.54,310241.00,859020.44,9373.82,64840.12,1411297.74,,5418.00,105844.00,19.16,,18.35,0.81,,33294.92,4.00,6931.04,0.81,1.00,,75150.83,3867675.87
Mar 23,,,1396.78,1396.78,3062.46,195495.25,198557.72,200715.38,1180840.70,119325.49,83325.08,1584206.65,,68526.17,50912.10,362329.74,1019638.31,9599.84,73200.50,1584206.65,,5900.00,126660.00,18.34,,17.60,0.74,,299860.70,2.87,51500.70,0.51,0.51,,86454.77,4283165.45
Mar 24,,,1404.68,1404.68,0.00,236994.64,236994.64,238399.32,1412824.95,124967.58,95322.73,1871514.58,,89711.70,50214.31,461942.27,1184406.39,10859.84,74380.07,1871514.58,,0.00,0.00,16.33,,0.00,0.00,,27961.68,2.16,5377.79,0.42,2.37,,0.00,0.00
