0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,ASSETS,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,OTHER ADDITIONAL INFORMATION,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),KEY PERFORMANCE INDICATORS,Tier 1 (%),Tier 2 (%),ASSETS QUALITY,Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),"CONTINGENT LIABILITIES, COMMITMENTS",Bills for Collection,Contingent Liabilities
Mar 11,,,465.97,465.97,225.35,3350.92,3576.27,4050.21,34365.37,5525.42,1694.83,45635.84,,2456.04,1568.56,13550.81,26165.65,596.46,1298.32,45635.84,,300.00,7008.00,15.89,,12.29,3.60,,265.86,1.00,72.82,0.28,0.00,,5052.48,87608.63
Mar 12,,,467.70,467.70,219.34,4043.72,4263.06,4741.71,42361.55,8682.01,1810.80,57596.07,,2903.58,2636.05,14571.95,35063.95,656.80,1763.75,57596.07,,400.00,9370.00,13.85,,11.37,2.48,,347.08,1.00,94.67,0.27,0.00,,6151.00,109341.28
Mar 13,,,522.87,522.87,212.69,6883.98,7096.67,7630.25,54116.72,9459.56,2099.99,73306.52,,3249.84,3598.89,19654.17,44320.61,756.14,1726.87,73306.52,,500.00,11502.00,15.36,,13.78,1.58,,457.78,1.00,136.76,0.31,0.00,,6337.51,141240.40
Mar 14,,,525.64,525.64,397.27,8109.03,8506.30,9042.96,60502.29,14761.96,2718.73,87025.93,,4413.92,2355.53,21562.95,55101.84,1016.45,2575.25,87025.93,,602.00,15590.00,13.83,,12.71,1.12,,620.79,1.00,184.05,0.33,0.00,,5774.57,153578.83
Mar 15,,,529.45,529.45,391.01,9710.02,10101.03,10644.53,74134.36,20618.06,3718.96,109115.92,,4035.14,6744.00,24859.37,68788.20,1157.58,3531.63,109115.92,,801.00,19121.00,12.09,,11.22,0.87,,562.92,1.00,210.48,0.31,0.00,,6728.92,215702.02
Mar 16,,,594.99,594.99,380.77,16706.45,17087.22,17695.98,93000.35,22155.86,7204.81,140056.99,,4521.04,5590.83,31214.31,88419.34,1255.32,9056.14,140056.99,,1000.00,23060.00,15.50,,14.92,0.58,,776.82,1.00,321.75,0.36,0.00,,20272.94,0.00
Mar 17,,,598.15,598.15,374.59,19658.18,20032.77,20646.12,126572.22,22453.69,8976.38,178648.41,,7748.75,10879.51,36702.14,113080.51,1335.23,8902.28,178648.41,,1200.00,25314.00,15.31,,14.72,0.59,,1054.87,1.00,438.91,0.39,0.00,,19006.91,406387.19
Mar 18,,,600.22,600.22,362.20,22864.65,23226.85,23841.64,151639.17,38289.08,7856.27,221626.16,,10962.41,2253.47,50076.72,144953.66,1338.75,12041.16,221626.16,,1400.00,25284.00,15.03,,14.58,0.45,,1704.91,1.00,745.67,0.51,1.00,,37415.48,662099.16
Mar 19,,,602.69,602.69,325.55,25746.55,26072.10,26685.97,194867.91,47321.12,8944.42,277819.42,,9961.17,4822.23,59266.16,186393.50,1710.01,15666.35,277819.42,,1665.00,27739.00,14.16,,13.70,0.46,,3947.41,2.00,2248.28,1.21,1.00,,32971.51,952668.45
Mar 20,,,693.54,693.54,319.58,33010.08,33329.66,34706.49,202039.81,60753.55,9557.70,307057.55,,13675.25,2328.40,59979.94,206783.17,1820.11,22470.68,307057.55,,1911.00,30674.00,15.04,,14.57,0.47,,5146.74,2.00,1886.58,0.91,1.00,,22573.29,967595.58
Mar 21,,,773.37,773.37,313.61,42273.02,42586.63,43365.41,256204.96,51322.81,12079.57,362972.75,,17870.68,38456.51,69694.71,212595.41,1809.37,22546.07,362972.75,,2015.00,29661.00,17.38,,16.83,0.55,,5794.99,3.00,1476.57,0.69,1.00,,23601.73,850068.41
Mar 22,,,774.66,774.66,307.63,46598.86,46906.49,47697.23,293681.35,47323.22,13272.79,401974.58,,15641.16,52633.33,70970.78,239051.53,1848.69,21829.09,401974.58,,2265.00,33582.00,18.42,,15.96,1.62,,5517.15,2.27,1529.83,0.64,0.64,,29654.25,923779.75
Mar 23,,,775.90,775.90,301.66,53499.79,53801.45,54621.67,336438.14,49011.23,17733.01,457804.05,,42961.27,13549.88,83116.20,289923.68,1992.62,26260.41,457804.05,,2606.00,38179.00,17.86,,16.37,1.49,,5826.27,1.98,1714.96,0.59,0.59,,33751.83,1264256.33
Mar 24,,,778.32,778.32,295.69,61619.58,61915.27,62797.11,384792.92,47611.41,19733.71,514935.14,,18557.13,18244.48,106526.71,343298.27,2197.75,26110.81,514935.14,,2984.00,45637.00,17.23,,15.82,1.41,,6693.38,1.92,1968.90,0.57,0.57,,36152.27,1638924.60
