0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 04,,,33.32,33.32,3220.11,3220.11,3253.43,,0.00,0.00,0.00,0.00,0.00,,0.00,11.36,549.08,1323.08,1883.52,5136.95,,,724.68,42.14,203.48,0.00,970.30,1027.38,35.63,0.00,0.00,2033.31,,0.00,0.00,632.51,1638.01,832.68,0.44,3103.64,5136.95,,,197.02,,10.26,0.00,0.00,70.64,,1926.64,,10.64,,4531.54,1.02,,28.94,,--,1027.38,,--,--
Mar 05,,,135.29,135.29,5106.44,5106.44,5241.73,,0.00,0.00,0.00,0.00,0.00,,0.00,0.96,577.60,767.48,1346.04,6587.77,,,1134.76,42.14,317.52,0.00,1494.42,1328.70,34.03,0.00,0.00,2857.15,,0.00,0.00,1252.82,1481.54,984.96,11.30,3730.62,6587.77,,,289.87,,9.18,0.00,0.00,130.87,,2762.96,,71.49,,6103.02,2.00,,129.25,,--,1328.70,,--,--
Mar 06,,,138.00,138.00,6759.00,6759.00,6897.00,,0.00,0.00,0.00,0.00,0.00,,0.00,6.00,802.00,1409.00,2217.00,9114.00,,,1562.00,0.00,571.00,0.00,2133.00,876.00,56.00,0.00,0.00,3065.00,,0.00,0.00,1518.00,3279.00,1252.00,0.00,6049.00,9114.00,,,523.00,,8.00,0.00,0.00,211.00,,3327.00,,50.00,,8649.00,6.00,,129.25,,--,876.00,,--,--
Mar 07,,,286.00,286.00,10876.00,10876.00,11162.00,,0.00,0.00,0.00,0.00,0.00,,0.00,23.00,1139.00,662.00,1824.00,12986.00,,,2150.00,0.00,957.00,0.00,3107.00,839.00,79.00,0.00,0.00,4025.00,,0.00,0.00,2292.00,5507.00,1162.00,0.00,8961.00,12986.00,,,670.00,,8.00,0.00,0.00,258.00,,5387.00,,188.00,,12143.00,13.00,,267.66,,--,839.00,,--,--
Mar 08,,,286.00,286.00,13204.00,13204.00,13490.00,,0.00,0.00,0.00,0.00,0.00,,0.00,36.00,1447.00,2248.00,3731.00,17221.00,,,2671.00,0.00,1260.00,0.00,3931.00,964.00,99.00,0.00,0.00,4994.00,,0.00,0.00,3093.00,6429.00,2705.00,0.00,12227.00,17221.00,,,603.00,,8.00,0.00,0.00,296.00,,6484.00,,137.00,,14468.00,22.00,,267.66,,--,964.00,,--,--
Mar 09,,,286.00,286.00,17523.00,17523.00,17809.00,,0.00,37.00,0.00,0.00,37.00,,0.00,35.00,1472.00,1798.00,3305.00,21151.00,,,3787.00,12.00,615.00,0.00,4414.00,1005.00,139.00,0.00,0.00,5558.00,,0.00,0.00,3390.00,9039.00,3164.00,0.00,15593.00,21151.00,,,347.00,,8.00,0.00,0.00,207.00,,8043.00,,408.00,,19812.00,24.00,,267.66,,--,1005.00,,--,--
Mar 10,,,287.00,287.00,21749.00,21749.00,22036.00,,0.00,232.00,0.00,0.00,232.00,,0.00,96.00,1667.00,2035.00,3798.00,26066.00,,,3767.00,12.00,409.00,0.00,4188.00,4636.00,313.00,0.00,0.00,9137.00,,0.00,0.00,3244.00,9797.00,3888.00,0.00,16929.00,26066.00,,,295.00,,10.00,0.00,0.00,91.00,,8389.00,,252.00,,21072.00,3.00,,267.66,,--,4636.00,,--,--
Mar 11,,,287.00,287.00,24214.00,24214.00,24501.00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,1880.00,2473.00,4353.00,28854.00,,,4056.00,0.00,249.00,0.00,4305.00,1325.00,230.00,0.00,0.00,5860.00,,0.00,0.00,4212.00,13665.00,3617.00,1500.00,22994.00,28854.00,,,1016.00,,0.00,0.00,0.00,0.00,,10765.00,,--,,23960.00,--,,267.66,,--,1325.00,,--,--
Mar 12,,,287.00,287.00,29470.00,29470.00,29757.00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,2454.00,3604.00,6058.00,35815.00,,,4061.00,0.00,588.00,0.00,4649.00,1409.00,189.00,0.00,0.00,6247.00,,0.00,0.00,5404.00,18057.00,4594.00,1513.00,29568.00,35815.00,,,1024.00,,0.00,0.00,0.00,0.00,,13532.00,,--,,31187.00,--,,267.66,,--,1409.00,,--,--
Mar 13,,,287.00,287.00,35772.00,35772.00,36059.00,,0.00,56.00,120.00,0.00,176.00,,0.00,178.00,2827.00,3788.00,6793.00,43028.00,,,4425.00,28.00,1135.00,0.00,5588.00,2764.00,378.00,1529.00,31.00,10290.00,,1580.00,0.00,6365.00,20401.00,2175.00,2217.00,32738.00,43028.00,,,1693.00,,0.00,3.00,3.00,307.00,,16834.00,,344.00,,36020.00,87.00,,267.66,,317.00,2456.00,,--,1580.00
