0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,248.22,248.22,7586.28,7646.18,7894.40,,76.45,573.46,0.00,0.00,649.91,,168.91,1895.03,30.61,1108.18,3202.73,11748.25,,,3909.55,41.21,186.15,0.00,4136.91,3874.68,197.37,0.00,0.00,8208.96,,0.00,2002.99,527.76,55.66,952.88,0.00,3539.29,11748.25,,,92.97,,473.40,0.00,0.00,123.69,,57.43,,180.32,,917.40,351.25,,202.63,,8.66,3898.86,,--,--
Mar 06,,,375.52,375.52,8626.79,8685.96,9061.48,,93.69,547.92,0.00,0.00,641.61,,26.04,2152.76,36.27,1389.04,3604.11,13307.20,,,4110.18,51.55,399.97,0.00,4561.70,3517.01,223.16,0.00,0.00,8301.87,,0.00,2636.29,547.96,855.82,965.26,0.00,5005.33,13307.20,,,98.72,,469.56,0.00,0.00,139.84,,69.77,,268.34,,1315.78,477.73,,327.80,,13.46,3541.14,,--,--
Mar 07,,,376.22,376.22,10003.78,10060.86,10437.08,,124.26,728.26,0.00,0.00,852.52,,76.62,2346.13,38.62,1472.84,3934.21,15223.81,,,4665.24,79.53,1130.20,0.00,5874.97,3067.77,255.41,0.00,0.00,9198.15,,0.00,3354.03,636.69,900.16,1134.78,0.00,6025.66,15223.81,,,129.56,,636.76,0.00,0.00,482.48,,99.94,,337.02,,1719.51,563.70,,327.80,,13.30,3091.90,,--,--
Mar 08,,,376.86,376.86,11624.69,11680.81,12057.67,,122.52,832.79,0.00,0.00,955.31,,91.91,2741.35,45.62,1645.33,4524.21,17537.19,,,6051.36,117.47,1126.82,0.00,7295.65,2934.55,287.72,0.00,0.00,10517.92,,0.00,4050.52,736.93,570.25,1661.57,0.00,7019.27,17537.19,,,308.08,,598.09,0.00,0.00,453.01,,107.80,,388.74,,1574.56,593.85,,327.80,,13.42,2958.68,,--,--
Mar 09,,,377.44,377.44,13302.55,13357.64,13735.08,,115.92,1157.07,0.00,0.00,1272.99,,61.63,2916.92,47.60,1740.49,4766.64,19774.71,,,7129.56,142.35,1214.06,0.00,8485.97,2837.75,289.88,0.00,0.00,11613.60,,0.00,4599.72,668.67,1032.39,1860.33,0.00,8161.11,19774.71,,,261.36,,799.19,0.00,0.00,344.74,,116.80,,431.31,,1699.54,526.17,,327.80,,9.12,2861.88,,--,--
Mar 10,,,381.82,381.82,13628.17,13682.56,14064.38,,107.71,1121.24,0.00,0.00,1228.95,,0.00,3446.17,52.13,4549.94,8048.24,23341.57,,,7948.57,193.83,1008.99,0.00,9151.39,5726.87,336.23,0.00,0.00,15214.49,,0.00,4549.07,858.80,1126.28,1592.93,0.00,8127.08,23341.57,,,258.73,,683.31,0.00,0.00,267.50,,91.35,,453.37,,1930.18,424.93,,327.80,,1355.62,5108.69,,--,--
Mar 11,,,773.81,773.81,15126.12,15179.46,15953.27,,86.58,801.85,20.82,93.82,1003.07,,1.94,1395.31,3067.77,4012.46,8477.48,25433.82,,,8207.23,137.88,1322.60,0.00,9678.51,1563.30,0.00,1146.47,0.00,12388.28,,3991.32,5269.17,885.10,2243.24,563.45,93.26,13045.54,25433.82,,,2231.79,,844.90,16.96,16.96,225.94,,102.60,,1221.44,,2208.85,523.35,,710.47,,944.89,1037.33,,2151.25,1873.34
Mar 12,,,781.84,781.84,17957.00,18010.05,18791.89,,77.32,872.72,15.52,107.12,1072.68,,1.77,1424.84,3371.27,4303.95,9101.83,28966.40,,,8983.66,115.53,2269.26,0.00,11375.94,1953.28,0.00,1193.61,0.00,14522.83,,4363.31,5637.83,986.02,2818.93,500.59,136.89,14443.57,28966.40,,,2533.61,,925.16,27.03,27.03,705.88,,113.51,,1085.07,,2099.99,520.68,,710.47,,957.56,1371.26,,3027.82,1408.80
Mar 13,,,790.18,790.18,21444.92,21497.67,22287.85,,66.40,1203.72,3.11,125.62,1398.85,,0.00,1668.98,3528.62,5133.13,10330.73,34017.43,,,11118.55,90.79,1472.80,0.00,12697.13,2000.86,0.00,1727.97,0.00,16425.96,,5059.43,6600.20,1163.34,3615.00,512.14,641.36,17591.47,34017.43,,,2149.23,,1121.10,22.66,22.66,620.62,,119.91,,1097.05,,3205.32,602.08,,710.47,,620.47,1421.69,,2855.58,2328.77
Mar 14,,,795.32,795.32,25414.29,25466.70,26262.02,,51.00,1296.96,5.09,110.00,1463.05,,0.14,1987.59,3631.88,5884.71,11504.32,39229.39,,,11948.69,64.05,2272.94,0.00,14308.47,2512.17,0.00,1480.02,0.00,18300.66,,6311.26,7359.54,2165.36,3289.37,783.51,1019.69,20928.73,39229.39,,,1916.00,,1102.25,32.08,32.08,729.69,,126.98,,1279.64,,3743.69,546.69,,710.47,,732.55,1933.00,,4207.64,2257.10
