0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,190.10,469.13,2680.59,2680.59,3149.72,,3465.59,305.49,0.00,0.00,3771.08,,370.82,1157.97,217.98,232.31,1979.08,8899.88,,,6076.39,0.00,349.30,0.00,6425.69,229.57,0.00,0.00,350.62,7005.88,,0.00,743.41,266.60,122.49,761.50,0.00,1894.00,8899.88,,,1432.25,,1914.44,0.00,0.00,70.59,,183.93,,1.85,,2873.16,--,,--,,--,229.57,,--,--
Mar 06,,,218.03,497.06,3859.16,3859.16,4356.22,,3665.19,742.03,0.00,0.00,4407.22,,430.86,1640.11,286.75,393.26,2750.98,11514.42,,,6508.05,9.93,1861.90,0.00,8379.88,85.08,0.00,0.00,304.05,8769.01,,0.00,924.23,229.19,98.87,979.42,513.70,2745.41,11514.42,,,1835.96,,2085.38,0.00,0.00,254.02,,150.01,,12.90,,2049.48,--,,--,,--,85.08,,--,--
Mar 07,,,225.01,504.04,5068.25,5068.25,5572.29,,3899.23,1130.09,0.00,0.00,5029.32,,273.80,1987.41,223.10,75.22,2559.53,13182.90,,,8176.47,12.63,2002.93,0.00,10192.03,192.94,117.43,0.00,194.87,10697.27,,0.00,1011.35,245.16,337.80,549.28,342.04,2485.63,13182.90,,,5362.37,,2721.11,0.00,0.00,384.33,,286.54,,20.06,,3316.33,--,,--,,17.06,175.88,,--,--
Mar 08,,,248.08,537.01,7140.24,7140.24,7677.25,,7178.77,1388.33,0.00,0.00,8567.10,,367.76,3290.70,375.66,436.01,4470.13,20714.48,,,10941.98,13.51,5612.43,0.00,16567.92,923.53,136.49,0.00,0.00,17627.94,,0.00,1549.16,337.39,339.22,842.15,18.62,3086.54,20714.48,,,11145.95,,3273.23,0.00,0.00,1011.44,,422.50,,--,,3158.45,140.21,,--,,215.75,707.78,,--,--
Mar 09,,,248.08,537.01,7422.24,7422.24,7959.25,,10007.82,1639.06,0.00,0.00,11646.88,,1264.81,6937.52,538.76,80.93,8822.02,28428.15,,,13066.57,19.87,9242.06,0.00,22328.50,1250.11,217.90,0.00,0.00,23796.51,,0.00,2051.42,398.14,419.96,1744.88,17.24,4631.64,28428.15,,,8170.64,,6214.75,0.00,0.00,1604.00,,474.88,,20.71,,4113.15,81.55,,--,,2.75,1252.86,,--,--
Mar 10,,,248.08,527.11,9179.23,9179.23,9706.34,,11526.82,2057.61,0.00,0.00,13584.43,,58.28,6703.33,654.34,264.22,7680.17,30970.94,,,16834.89,31.25,6684.27,0.00,23550.41,1768.35,92.66,0.00,0.00,25411.42,,0.00,2585.77,563.25,287.11,2123.39,0.00,5559.52,30970.94,,,6990.48,,6577.28,0.00,0.00,1935.85,,384.61,,3.53,,2683.78,88.24,,--,,872.21,1647.45,,--,--
Mar 11,,,284.15,563.18,16132.71,16132.71,17225.27,,8867.90,2317.04,449.90,21.82,11656.66,,1879.43,6009.82,4428.42,358.78,12676.45,41558.38,,,21089.11,13.04,5689.94,0.00,26810.21,3831.81,0.00,1982.01,0.08,32624.11,,267.00,4138.41,838.65,1886.80,1803.41,0.00,8934.27,41558.38,,,26724.17,,8874.48,0.00,0.00,1482.99,,459.83,,13.52,,3328.25,84.43,,--,,2992.83,1553.91,,--,267.00
Mar 12,,,284.15,563.18,17934.31,17934.31,18497.49,,11528.09,3012.09,82.72,32.90,14655.80,,774.13,9184.45,7182.52,226.92,17368.02,50521.31,,,27071.69,18.89,2476.77,0.00,29594.39,4212.20,0.00,2651.44,1.58,36459.61,,201.22,5179.08,1284.62,2956.02,4440.76,0.00,14061.70,50521.31,,,28643.87,,12397.05,0.00,0.00,975.53,,631.61,,17.41,,5375.22,121.20,,--,,1960.52,1734.19,,--,201.22
Mar 13,,,284.15,563.18,19374.19,19374.19,19937.37,,15434.26,3450.23,194.06,39.51,19118.06,,1109.53,9274.36,4873.98,302.05,15559.92,54615.35,,,27604.47,34.32,5033.97,0.00,32713.33,4495.61,0.00,3083.99,0.08,40293.01,,140.45,4799.10,1862.20,1401.79,6118.80,0.00,14322.34,54615.35,,,22749.93,,10401.09,0.00,0.00,1721.39,,372.39,,10.59,,6969.35,197.95,,--,,1456.07,2017.60,,--,140.45
Mar 14,,,302.75,1067.19,23216.99,23216.99,24284.18,,21054.32,1908.51,466.40,40.67,23469.90,,3920.66,9991.25,6415.97,343.72,20671.60,68425.68,,,37225.12,69.96,6789.66,0.00,44152.55,4312.85,0.00,4961.47,0.00,53426.87,,67.70,6196.57,2218.74,465.72,6050.08,0.00,14998.81,68425.68,,,17505.51,,14258.38,0.00,0.00,1524.87,,1119.45,,14.19,,8056.45,226.50,,--,,585.86,4074.38,,--,67.70
