0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,ASSETS,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,OTHER ADDITIONAL INFORMATION,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),KEY PERFORMANCE INDICATORS,Tier 1 (%),Tier 2 (%),ASSETS QUALITY,Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),"CONTINGENT LIABILITIES, COMMITMENTS",Bills for Collection,Contingent Liabilities
Mar 11,,,368.44,368.44,0.00,6428.04,6428.04,6833.39,29260.97,11723.95,3032.36,50850.67,,2107.72,363.26,17121.44,29329.31,425.61,1503.33,50850.67,,321.00,11000.00,19.92,,17.99,1.93,,603.49,1.00,211.16,0.72,1.00,,1053.47,35422.71
Mar 12,,,370.34,370.34,0.00,7575.59,7575.59,7980.76,38536.52,16595.52,2553.99,65666.79,,2016.49,618.06,21566.81,39079.23,449.97,1936.23,65666.79,,355.00,12000.00,17.52,,15.74,1.78,,614.19,1.00,237.38,0.61,1.00,,1576.66,40052.52
Mar 13,,,373.30,373.30,0.00,9073.65,9073.65,9464.49,51028.77,20410.62,2789.81,83693.69,,2207.90,1481.26,28873.43,48468.98,464.42,2197.69,83693.69,,437.00,13500.00,16.05,,14.71,1.34,,758.11,1.00,311.41,0.64,1.00,,1913.48,42117.47
Mar 14,,,385.16,385.16,0.00,11889.93,11889.93,12283.61,59072.33,12895.58,3333.82,87585.34,,2948.23,3031.66,25484.55,53027.63,1106.94,1986.33,87585.34,,605.00,16000.00,18.83,,17.77,1.06,,1059.44,2.00,573.56,1.08,1.00,,3015.60,46903.54
Mar 15,,,386.18,386.18,0.00,13754.91,13754.91,14144.08,74860.31,12149.71,4857.97,106012.07,,3928.30,2334.06,30421.09,66160.71,1206.71,1961.21,106012.07,,684.00,18000.00,17.17,,16.18,0.99,,1237.23,2.00,609.08,0.92,1.00,,4419.99,68092.15
Mar 16,,,917.19,917.19,0.00,23041.87,23041.87,23962.47,138643.02,20975.34,8678.96,192259.79,,6903.43,3976.28,51260.22,118665.30,1551.59,9902.97,192259.79,,1333.00,31410.00,16.34,,15.28,1.06,,2838.11,2.00,1261.96,1.06,1.00,,25578.12,257574.33
Mar 17,,,920.45,920.45,0.00,26695.62,26695.62,27617.94,157425.86,21095.48,8450.68,214589.96,,7492.43,15079.58,45074.19,136082.13,1537.63,9324.00,214589.96,,1369.00,44000.00,16.77,,15.90,0.87,,3578.61,3.00,1718.07,1.26,1.00,,20318.26,193067.54
Mar 18,,,952.82,952.82,0.00,36528.83,36528.83,37483.82,192643.27,25154.15,9652.15,264933.40,,8908.51,10711.60,64562.35,169717.92,1527.16,9505.86,264933.40,,1388.00,50000.00,18.22,,17.56,0.66,,3825.38,2.00,1665.05,0.98,1.00,,24255.31,205104.84
Mar 19,,,954.38,1454.38,0.00,41444.00,41444.00,42900.45,225880.36,32248.29,11142.98,312172.09,,10877.52,13798.02,71189.09,205694.81,1651.55,8961.11,312172.09,,1500.00,41753.00,17.45,,16.93,0.52,,4467.94,2.00,1544.37,0.75,1.00,,31852.23,212082.27
Mar 20,,,956.52,1456.52,0.00,47558.78,47558.78,49018.17,262820.52,37993.31,10419.68,360251.68,,9505.05,43787.25,75051.55,219748.19,1623.13,10536.52,360251.68,,1600.00,50034.00,17.89,,17.27,0.62,,5026.89,2.00,1557.89,0.71,1.00,,39518.98,187277.36
Mar 21,,,990.92,1490.92,0.00,62236.05,62236.05,63729.13,280100.05,23650.65,16008.80,383488.62,,12493.61,27132.92,105099.19,223688.62,1535.27,13539.01,383488.62,,1604.00,51700.00,22.26,,21.38,0.88,,7425.51,3.25,2705.17,1.21,1.21,,41272.80,193106.99
Mar 22,,,992.33,1492.33,0.00,70964.14,70964.14,72487.78,311684.11,25967.12,19289.39,429428.40,,16026.22,26897.72,100580.22,271253.60,1643.72,13026.92,429428.40,,1700.00,66000.00,22.69,,21.67,1.02,,6469.74,2.34,1736.71,0.64,0.34,,38709.28,266610.63
Mar 23,,,993.28,1493.28,0.00,81966.67,81966.67,83520.25,363096.05,23416.27,19829.91,489862.48,,19965.56,12576.75,121403.73,319861.21,1920.32,14134.91,489862.48,,1780.00,73481.00,21.80,,20.80,1.00,,6419.00,1.80,1479.00,0.40,0.00,,44655.24,455693.74
Mar 24,,,993.96,993.96,0.00,95645.50,95645.50,96718.75,448953.75,28368.10,26316.45,600357.05,,36252.04,16536.36,155403.76,376075.27,2155.30,13934.32,600357.05,,0.00,0.00,20.55,,0.00,0.00,,5274.78,1.39,1270.57,0.34,2.61,,0.00,0.00
