0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,25.98,25.98,3312.25,3343.15,3369.13,,1291.90,218.48,0.00,0.00,1510.38,,567.16,3351.98,1452.77,794.64,6166.55,11046.06,,,998.06,18.95,65.82,0.00,1082.83,960.70,123.95,0.00,39.89,2207.37,,0.00,2310.84,3963.60,828.02,1735.77,0.46,8838.69,11046.06,,,625.10,,1446.68,0.00,0.00,34.69,,1625.20,,16.05,,814.18,1853.19,,3.41,,537.94,926.16,,--,--
Mar 06,,,27.48,27.48,4583.32,4612.69,4640.17,,1157.75,209.79,0.00,0.00,1367.54,,295.82,4062.61,1833.64,1015.37,7207.44,13215.15,,,1290.72,27.74,286.06,0.00,1604.52,1919.52,132.51,0.00,21.98,3678.53,,0.00,2210.27,4814.16,583.20,1928.89,0.10,9536.62,13215.15,,,305.59,,1429.01,0.00,0.00,30.75,,1466.89,,10.47,,790.40,2387.59,,3.41,,999.29,1893.92,,--,--
Mar 07,,,56.65,56.65,5683.85,5711.78,5768.43,,1412.50,204.88,0.00,0.00,1617.38,,665.25,5690.85,2466.28,1180.13,10002.51,17388.32,,,1717.88,35.59,471.22,0.00,2224.69,3104.44,164.69,0.00,9.84,5503.66,,0.00,3001.14,5504.64,1094.43,2284.45,0.00,11884.66,17388.32,,,270.22,,1853.99,0.00,0.00,161.48,,1469.05,,7.59,,1115.83,2654.76,,31.41,,1289.46,2917.11,,--,--
Mar 08,,,58.47,58.47,9470.71,9496.61,9555.08,,2667.05,244.33,0.00,0.00,2911.38,,916.94,8078.46,3569.96,2035.42,14600.78,27067.24,,,2854.43,92.01,699.00,0.00,3645.44,6922.26,182.96,0.00,3.06,10753.72,,0.00,4305.91,7365.01,964.46,3678.14,0.00,16313.52,27067.24,,,1013.51,,2308.66,0.00,0.00,198.47,,2023.80,,3.44,,1446.72,4209.87,,31.41,,1403.92,6642.82,,--,--
Mar 09,,,117.14,117.14,12317.96,12342.55,12459.69,,5459.39,435.16,0.00,0.00,5894.55,,1096.64,9800.04,4975.84,3066.53,18939.05,37293.29,,,4012.79,140.82,1040.99,0.00,5194.60,8263.72,386.69,0.00,0.26,13845.27,,0.00,5805.05,10055.52,775.29,6812.16,0.00,23448.02,37293.29,,,1371.86,,3752.58,0.00,0.00,617.23,,3513.12,,16.49,,1651.32,5696.91,,89.94,,1258.81,7793.04,,--,--
Mar 10,,,120.44,120.44,18142.82,18166.11,18286.55,,6062.52,389.27,0.00,0.00,6451.79,,738.31,9548.53,9505.97,2188.36,21981.17,46744.60,,,5365.42,142.68,857.66,0.00,6365.76,13705.35,311.88,0.00,0.00,20382.99,,0.00,1415.37,11163.70,1431.87,6042.60,6308.07,26361.61,46744.60,,,1719.39,,4418.24,0.00,0.00,479.13,,4242.62,,18.89,,510.14,6356.07,,89.94,,2033.61,11771.54,,--,--
Mar 11,,,121.77,121.77,21702.36,21724.49,21846.26,,5425.41,263.47,32.41,242.08,5963.37,,906.17,12853.42,13538.68,2002.10,29300.37,57110.00,,,6569.06,75.13,748.20,0.00,7415.53,7400.84,0.00,3317.06,0.80,18134.23,,7283.98,1577.15,12427.61,1729.55,4908.23,11049.25,38975.77,57110.00,,,7761.66,,1009.05,0.00,0.00,641.61,,4206.58,,25.76,,555.34,5323.47,,89.94,,151.17,7214.55,,2261.39,5030.80
Mar 12,,,122.48,122.48,25079.40,25100.54,25223.02,,5330.06,133.01,376.02,275.05,6114.14,,2936.72,15752.81,15554.23,2112.04,36355.80,67692.96,,,7528.00,76.98,697.53,0.00,8363.66,9084.71,0.00,4042.80,127.14,21618.31,,6787.19,1776.62,18729.84,1778.12,5085.24,11917.64,46074.65,67692.96,,,10309.19,,1273.10,0.00,0.00,714.61,,4521.22,,36.40,,844.94,7212.42,,89.94,,6965.91,7119.83,,1275.22,5540.99
Mar 13,,,123.08,123.08,28999.45,29019.64,29142.72,,7271.03,242.22,502.03,285.92,8301.20,,734.53,16730.65,15181.30,2083.81,34730.29,72174.21,,,8219.00,86.14,491.05,0.00,8901.98,10522.70,0.00,3664.17,82.32,23171.17,,5580.69,2064.18,22613.01,1455.66,5498.84,11790.66,49003.04,72174.21,,,12987.97,,1961.34,0.00,0.00,377.93,,9789.96,,32.48,,1016.03,12107.66,,89.94,,10503.90,8704.78,,1268.94,4311.75
Mar 14,,,185.38,185.38,33457.20,33476.45,33661.83,,5478.14,409.92,93.57,299.61,6281.24,,5980.78,16345.45,13921.76,2113.52,38361.51,78304.58,,,7560.81,113.99,411.86,0.00,8237.21,15168.41,0.00,3721.57,62.78,27189.97,,4046.23,1982.53,21538.76,1782.86,6345.65,15418.58,51114.61,78304.58,,,15044.54,,1954.36,0.00,0.00,205.37,,6003.34,,36.27,,1006.72,8403.03,,151.59,,9740.38,13476.54,,1798.22,2291.84
