0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 12,,,16.13,16.13,1011.61,1011.61,1027.73,,45.22,0.00,202.22,5.13,252.57,,203.34,172.07,165.30,160.47,701.18,1981.48,,,217.02,30.15,7.43,0.00,275.60,403.73,2.03,135.54,0.00,816.90,,35.56,0.00,626.67,122.94,379.41,0.00,1164.58,1981.48,,,400.95,,0.00,0.00,0.00,1195.20,,0.00,,--,,2783.88,5.37,,--,,--,403.73,,36.21,--
Mar 13,,,16.13,16.13,1216.87,1216.87,1232.99,,36.19,0.00,125.69,9.43,171.31,,170.36,189.14,247.29,178.28,785.07,2189.37,,,222.55,31.61,46.21,0.00,332.49,401.93,5.79,193.16,0.00,933.37,,21.73,0.00,723.40,113.59,397.29,0.00,1256.00,2189.37,,,572.14,,0.00,0.00,0.00,1494.92,,0.00,,--,,3401.58,2.17,,--,,--,401.93,,21.87,--
Mar 14,,,16.13,16.13,1452.28,1452.28,1468.41,,26.63,18.03,72.91,13.11,130.68,,80.70,225.57,363.27,237.19,906.72,2505.81,,,261.04,33.22,8.81,0.00,344.90,314.62,0.00,253.48,0.00,913.00,,140.21,0.00,849.58,145.54,457.48,0.00,1592.81,2505.81,,,686.08,,0.00,0.00,0.00,2044.57,,0.00,,--,,4536.81,0.87,,--,,--,314.62,,142.05,--
Mar 15,,,16.13,16.13,1909.33,1909.33,1925.45,,13.89,7.68,53.84,10.37,85.78,,203.64,252.85,159.95,279.20,895.64,2906.87,,,261.70,75.55,4.76,0.00,361.55,395.31,0.00,238.73,0.00,995.59,,62.23,0.00,1031.44,133.43,684.18,0.00,1911.29,2906.87,,,687.58,,0.00,0.00,0.00,2181.91,,0.00,,--,,4536.81,2.73,,--,,--,395.31,,62.40,--
Mar 16,,,16.98,16.98,1846.29,1846.29,1863.27,,0.00,95.85,125.05,12.43,233.33,,54.48,314.15,267.84,504.96,1141.43,3238.03,,,264.99,55.35,0.10,0.00,339.20,315.62,0.00,424.91,0.00,1079.73,,6.74,0.00,1089.60,122.18,939.79,0.00,2158.30,3238.03,,,0.00,,0.00,0.00,0.00,2647.12,,0.00,,--,,5229.50,49.08,,--,,--,315.62,,6.75,--
Mar 17,,,17.10,17.10,2959.80,2959.80,2976.90,,0.00,0.00,0.00,28.50,28.50,,0.00,335.40,714.50,157.60,1207.50,4212.90,,,247.70,38.20,0.90,0.00,287.10,290.50,143.90,31.10,385.60,1138.20,,940.60,0.00,1122.60,190.60,15.40,805.50,3074.70,4212.90,,,577.80,,0.00,0.00,0.00,0.00,,2770.80,,--,,--,5749.80,,--,,--,290.50,,--,940.60
Mar 18,,,17.20,17.20,3701.40,3701.40,3718.60,,0.00,0.00,20.40,28.00,48.40,,0.00,370.80,737.70,176.10,1284.60,5051.60,,,241.20,31.50,1.00,0.00,279.50,295.90,191.90,38.40,262.10,1067.80,,1264.40,0.00,1327.50,249.80,23.50,1118.60,3983.80,5051.60,,,593.90,,0.00,0.00,0.00,0.00,,3223.10,,--,,--,6400.20,,--,,--,295.90,,--,1264.40
Mar 19,,,17.40,17.40,4696.10,4696.10,4713.50,,0.00,0.00,3.40,28.90,32.30,,0.00,446.30,832.80,201.70,1480.80,6226.60,,,281.60,33.10,3.10,0.00,322.90,519.80,156.40,46.70,340.30,1386.10,,1740.20,0.00,1729.30,215.40,6.30,1149.30,4840.50,6226.60,,,616.10,,0.00,0.00,0.00,0.00,,4083.30,,--,,--,8267.30,,--,,--,519.80,,--,--
Mar 20,,,17.40,17.40,5105.10,5105.10,5228.80,,0.00,0.00,970.80,32.50,1003.30,,0.00,684.20,1152.30,248.10,2084.60,8316.70,,,1116.10,35.40,38.10,0.00,1191.50,655.00,213.50,55.10,215.10,2330.20,,2218.50,0.00,2176.70,371.40,16.40,1203.50,5986.50,8316.70,,,718.00,,0.00,0.00,0.00,0.00,,4607.10,,--,,--,9530.50,,--,,--,655.00,,--,102.20
Mar 21,,,17.50,17.50,6844.80,6844.80,6941.80,,0.00,0.00,690.20,36.00,726.20,,0.00,800.40,1183.20,336.90,2320.50,9988.50,,,961.10,72.00,40.30,0.00,1076.10,754.20,47.90,111.50,418.70,2408.40,,3628.20,0.00,2024.30,402.50,3.90,1521.20,7580.10,9988.50,,,390.90,,0.00,0.00,0.00,0.00,,4786.50,,--,,--,10587.30,,--,,101.00,653.30,,3326.10,302.00
