0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,116.01,116.01,1881.93,1896.25,2012.26,,966.17,228.78,0.00,0.00,1194.95,,86.45,1234.51,17.59,499.71,1838.25,5045.46,,,1335.63,5.32,133.93,0.00,1474.88,1189.79,39.03,0.00,24.38,2728.07,,0.00,759.83,511.53,623.98,421.90,0.14,2317.38,5045.46,,,758.14,,99.23,0.00,0.00,42.06,,51.73,,5.60,,312.42,26.64,,54.60,,240.83,1047.67,,--,--
Mar 06,,,233.40,233.40,2662.14,2675.47,2908.87,,845.61,190.39,0.00,0.00,1036.00,,37.78,1503.25,17.59,543.14,2101.76,6046.63,,,1343.66,5.32,205.46,0.00,1554.45,1669.09,43.64,0.00,18.05,3285.23,,0.00,878.74,637.97,730.31,514.24,0.14,2761.40,6046.63,,,946.36,,143.94,0.00,0.00,29.07,,45.95,,0.32,,465.10,42.97,,170.61,,2030.85,1419.01,,--,--
Mar 07,,,238.03,238.03,3302.01,3314.88,3552.91,,1562.08,188.56,0.00,0.00,1750.64,,73.92,1935.48,14.73,715.43,2739.57,8043.12,,,1522.03,19.42,329.72,0.00,1871.17,2237.46,168.77,0.00,17.55,4294.95,,0.00,878.48,700.89,1326.07,842.59,0.14,3748.17,8043.12,,,1008.27,,133.42,0.00,0.00,82.72,,89.82,,0.49,,614.96,97.91,,170.61,,10285.25,1515.23,,--,--
Mar 08,,,239.07,239.07,4098.53,4111.00,4350.07,,2190.97,217.76,0.00,0.00,2408.73,,396.09,2287.08,20.47,943.46,3647.10,10405.90,,,1674.60,36.36,649.94,0.00,2360.90,4215.06,161.04,0.00,13.53,6750.53,,0.00,1084.11,1004.88,861.23,694.01,11.14,3655.37,10405.90,,,985.35,,134.31,0.00,0.00,144.70,,153.42,,0.49,,795.38,88.18,,170.61,,7669.90,1429.16,,--,--
Mar 09,,,272.62,272.62,4959.26,4971.35,5243.97,,3716.06,0.00,0.00,0.00,3716.06,,336.70,3443.06,77.14,1277.56,5134.46,14094.49,,,2280.30,47.07,886.96,0.00,3214.33,5786.41,18.27,0.00,12.55,9031.56,,0.00,1060.67,1043.65,1574.43,1384.04,0.14,5062.93,14094.49,,,1220.39,,168.23,0.00,0.00,80.96,,158.80,,59.81,,632.36,58.89,,170.61,,3218.81,4305.50,,--,--
Mar 10,,,282.95,282.95,7527.60,7539.27,7822.22,,2877.71,422.50,0.00,0.00,3300.21,,2.44,3367.34,32.66,1796.54,5198.98,16329.42,,,2272.27,56.14,1374.31,0.00,3702.72,6398.02,182.17,0.00,4.12,10287.03,,0.00,1188.78,1258.08,1743.23,1804.81,47.49,6042.39,16329.42,,,2307.70,,254.04,0.00,0.00,98.61,,148.56,,76.18,,719.37,42.07,,170.61,,12216.75,4806.15,,--,--
Mar 11,,,293.62,293.62,9763.96,10019.75,10313.37,,2311.95,354.38,187.25,421.38,3274.96,,9.15,3952.67,729.45,1260.16,5951.43,19539.78,,,3001.57,131.34,534.01,0.00,3906.59,8205.36,0.00,1868.13,117.02,14097.10,,720.27,1694.21,1260.31,614.64,837.94,315.31,5442.68,19539.78,,,1893.85,,1.66,24.12,24.12,275.12,,160.73,,28.44,,1052.06,47.84,,170.61,,15769.96,4856.88,,97.67,622.60
Mar 12,,,294.52,294.52,11660.28,11876.57,12171.09,,3173.83,527.13,197.10,482.66,4380.72,,0.39,4796.18,1200.99,1362.61,7360.17,23911.98,,,4045.28,240.74,569.93,0.00,5080.75,9273.56,0.00,1476.68,36.45,15867.44,,1036.90,2358.39,1988.36,1188.43,930.99,475.07,7978.14,23911.98,,,2307.66,,2.60,72.47,72.47,150.11,,266.57,,45.26,,1766.95,90.67,,170.61,,14400.45,5746.28,,108.29,928.61
Mar 13,,,295.16,295.16,14352.92,14363.76,14658.92,,3172.44,614.85,415.40,441.59,4644.28,,54.63,5579.71,1052.17,1463.88,8150.39,27453.59,,,4751.06,206.80,495.54,0.00,5821.34,10571.50,0.00,2087.47,29.85,18510.16,,1261.96,2419.77,2208.35,1781.41,763.40,508.54,8943.43,27453.59,,,87.20,,0.96,46.24,46.24,141.88,,459.52,,44.15,,2225.02,128.35,,170.61,,17677.77,7024.46,,90.13,1171.83
Mar 14,,,295.16,295.16,16485.24,16496.03,16791.19,,3744.42,889.65,586.27,510.33,5730.67,,0.74,6068.80,1133.56,1563.69,8766.79,31288.65,,,5706.30,170.65,394.86,0.00,7105.39,9787.73,0.00,3018.12,88.49,19999.73,,1592.12,2803.63,2509.84,2950.39,945.83,487.11,11288.92,31288.65,,,6421.09,,4.71,15.01,15.01,141.97,,612.38,,41.60,,2125.29,134.64,,170.61,,26208.49,6498.24,,76.17,1516.18
Mar 15,,,295.70,295.70,18948.60,18959.39,19255.09,,2514.13,979.70,614.34,607.34,4715.51,,106.25,5365.45,2041.13,1461.44,8974.27,32944.87,,,5795.44,134.02,755.67,0.00,8108.22,11372.74,0.00,3232.26,103.44,22816.66,,1765.42,2437.57,2558.03,2064.77,773.10,529.32,10128.21,32944.87,,,5419.91,,5.27,1.03,1.03,259.09,,709.86,,44.96,,2224.79,111.21,,170.61,,33312.06,7598.81,,58.09,1708.18
Mar 16,,,296.32,296.32,22126.85,22126.85,22423.17,,1495.42,460.08,620.34,656.24,3232.08,,348.13,6674.71,2412.94,408.54,9844.32,35499.57,,,6545.73,1050.26,231.53,0.00,9158.14,11161.42,0.00,1223.55,2320.78,23863.89,,2385.98,2687.93,2511.64,2287.03,486.76,1276.34,11635.68,35499.57,,,4475.89,,0.00,0.00,0.00,0.00,,838.15,,--,,2427.92,--,,170.61,,4801.44,7612.90,,44.68,2341.30
