0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,144.50,144.50,4234.30,4234.30,4378.80,,300.00,235.40,0.00,0.00,535.40,,7.60,463.70,755.10,389.20,1615.60,6529.80,,,1873.70,0.00,42.10,0.00,1915.80,1516.60,125.40,0.00,0.00,3557.80,,0.00,666.60,599.50,1029.40,676.50,0.00,2972.00,6529.80,,,893.60,,1635.50,0.00,0.00,86.00,,180.30,,30.70,,982.30,0.70,,--,,200.10,1505.50,,--,--
Mar 06,,,144.50,144.50,5308.10,5308.10,5452.60,,70.00,199.00,0.00,0.00,269.00,,1.70,555.10,950.70,480.00,1987.50,7709.10,,,1695.20,0.00,92.00,0.00,1787.20,2051.20,121.10,0.00,0.00,3959.50,,0.00,881.20,654.80,1401.60,812.00,0.00,3749.60,7709.10,,,1289.70,,1574.30,0.00,0.00,51.70,,207.90,,31.30,,583.90,--,,--,,289.80,2040.10,,--,--
Mar 07,,,144.50,144.50,6709.40,6709.40,6853.90,,607.50,277.60,0.00,0.00,885.10,,23.30,909.60,1101.40,490.50,2524.80,10263.80,,,2659.70,0.00,238.90,0.00,2898.60,3409.20,110.10,0.00,0.00,6417.90,,0.00,713.20,747.40,1422.80,962.50,0.00,3845.90,10263.80,,,2094.60,,1355.00,0.00,0.00,68.00,,331.70,,54.80,,578.10,--,,--,,270.40,3398.10,,--,--
Mar 08,,,144.50,144.50,8270.90,8270.90,8415.40,,500.30,269.70,0.00,0.00,770.00,,399.90,854.90,1594.30,369.50,3218.60,12404.00,,,3296.50,0.00,736.30,0.00,4032.80,5180.70,99.60,0.00,0.00,9313.10,,0.00,1038.00,655.50,324.00,1073.40,0.00,3090.90,12404.00,,,2734.20,,1385.80,0.00,0.00,875.30,,490.50,,70.50,,741.30,--,,--,,219.50,5169.60,,--,--
Mar 09,,,144.50,144.50,9200.40,9200.40,9344.90,,632.90,234.00,0.00,0.00,866.90,,66.00,2569.60,447.30,380.70,3463.60,13675.40,,,4070.80,0.00,861.30,0.00,4932.10,3173.30,78.90,0.00,0.00,8184.30,,0.00,902.30,918.90,1939.00,1730.90,0.00,5491.10,13675.40,,,1901.70,,1786.70,0.00,0.00,1209.50,,782.10,,78.30,,1502.20,--,,--,,108.70,3162.20,,--,--
Mar 10,,,144.50,144.50,11690.60,11690.60,11835.10,,419.90,220.60,0.00,0.00,640.50,,401.50,2318.10,621.30,628.40,3969.30,16444.90,,,5005.30,19.40,387.60,0.00,5412.30,7176.60,83.60,0.00,0.00,12672.50,,0.00,1208.80,809.90,98.20,1655.50,0.00,3772.40,16444.90,,,3657.20,,2613.30,0.00,0.00,396.80,,991.80,,54.80,,4543.70,--,,--,,215.10,11.10,,--,--
Mar 11,,,144.50,144.50,13723.00,13723.00,13867.50,,139.00,164.40,95.90,139.60,538.90,,31.20,2608.30,993.00,386.20,4018.70,18425.10,,,5483.70,45.70,862.50,0.00,6391.90,1111.20,0.00,1254.70,47.10,8804.90,,3995.60,1415.00,824.50,2508.50,683.60,193.00,9620.20,18425.10,,,6384.80,,2969.10,85.70,85.70,825.00,,2338.30,,94.00,,3498.80,--,,--,,264.00,419.80,,--,3995.60
Mar 12,,,144.50,144.50,15042.90,15042.90,15187.40,,0.00,302.30,96.60,168.30,567.20,,1078.30,3349.90,1589.20,530.20,6547.60,22302.20,,,7310.80,209.90,611.40,0.00,8132.10,1393.30,0.00,1671.50,26.30,11223.20,,4754.10,1796.50,937.60,2436.10,778.30,376.40,11079.00,22302.20,,,6108.00,,3045.10,86.70,86.70,1162.50,,2438.90,,117.50,,3691.80,--,,--,,172.30,1387.20,,--,4754.10
Mar 13,,,151.00,151.00,18427.90,18427.90,18578.90,,542.90,408.70,250.30,225.90,1427.80,,846.30,4157.90,1075.10,648.20,6727.50,26734.20,,,9576.50,222.70,1940.90,0.00,11740.10,1873.50,0.00,1280.00,894.60,15788.20,,5204.80,1840.70,1469.90,775.00,1115.30,540.30,10946.00,26734.20,,,8193.30,,4234.40,12.80,12.80,1476.20,,3102.00,,117.50,,4560.10,--,,--,,147.40,1867.40,,--,5229.80
Mar 14,,,151.00,151.00,20827.00,20827.00,20978.00,,460.40,586.60,238.60,198.00,1483.60,,1224.70,4897.50,1274.20,677.70,8074.10,30535.70,,,10607.70,182.70,2621.40,0.00,13411.80,1304.80,0.00,1638.40,9.00,16364.00,,8813.10,1705.90,1413.70,629.70,1251.10,358.20,14171.70,30535.70,,,7210.20,,3095.50,41.60,41.60,1731.20,,3087.40,,135.80,,4141.70,--,,--,,237.70,1278.30,,--,8813.10
Mar 15,,,151.00,151.00,23553.20,23553.20,23704.20,,144.80,481.00,105.40,292.60,1023.80,,35.40,5561.40,1865.80,1360.40,8823.00,33551.00,,,11967.00,292.30,1882.80,0.00,14142.10,9817.60,0.00,1349.30,44.10,25353.10,,2996.40,2615.00,1069.80,18.30,1172.80,325.60,8197.90,33551.00,,,9228.60,,3181.80,23.10,23.10,1011.20,,3300.30,,203.70,,4633.20,--,,--,,560.50,9791.10,,--,2996.40
Mar 16,,,151.00,151.00,29733.20,29733.20,29884.20,,0.00,194.30,807.50,14.80,1016.60,,77.40,7407.30,3155.60,398.90,11039.20,41940.00,,,12163.10,346.90,1006.90,0.00,13516.90,18875.40,0.00,0.40,1701.30,34094.00,,1056.80,3132.10,1322.20,42.20,147.80,2144.90,7846.00,41940.00,,,9368.70,,3363.20,62.90,62.90,738.30,,3792.60,,424.50,,4735.30,57.00,,--,,583.90,18404.60,,--,1056.80
Mar 17,,,151.00,151.00,36280.10,36280.10,36431.10,,0.00,466.20,1105.00,21.90,1593.10,,483.60,8367.30,3926.50,449.00,13226.40,51250.60,,,12919.70,373.00,1252.30,0.00,14545.00,26302.20,0.00,0.30,1626.90,42474.40,,2178.80,3262.20,1199.20,13.80,2.50,2119.70,8776.20,51250.60,,,9642.10,,3725.40,20.10,20.10,1481.80,,0.00,,--,,--,--,,--,,329.00,25606.20,,--,2178.80
Mar 18,,,151.00,151.00,41606.30,41606.30,41757.30,,0.00,558.90,1585.30,26.50,2170.70,,110.80,10497.00,4274.30,560.00,15442.10,59370.10,,,13047.30,311.70,2125.90,0.00,15484.90,34072.90,0.00,0.20,1890.70,51448.70,,1217.30,3160.80,1461.80,71.10,3.00,2007.40,7921.40,59370.10,,,10181.20,,3887.90,66.10,66.10,648.30,,3872.50,,--,,--,5455.90,,--,,337.60,33041.90,,--,1217.30
Mar 19,,,151.00,151.00,45990.50,45990.50,46141.50,,0.00,564.00,2036.50,39.50,2640.00,,149.60,9633.00,3743.30,624.40,14150.30,62931.80,,,14956.70,451.10,1600.10,0.00,17007.90,31469.50,0.00,0.20,2092.60,50570.20,,5045.50,3325.70,2310.40,178.90,16.00,1485.10,12361.60,62931.80,,,12090.30,,4396.90,58.50,58.50,1331.20,,12802.70,,--,,--,5218.60,,--,,1077.30,30609.10,,--,5045.50
