0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Dec 05,,,96.42,96.42,257.72,257.72,354.13,,0.00,61.85,0.00,0.00,61.85,,14.30,316.48,3.35,365.50,699.63,1115.62,,,427.98,45.79,22.83,0.00,496.60,104.43,51.90,0.00,0.00,652.92,,0.00,253.10,30.52,36.65,142.43,0.00,462.70,1115.62,,,50.04,,129.30,0.00,0.00,18.89,,140.71,,163.98,,250.90,6.66,,73.41,,--,104.43,,--,--
Dec 06,,,96.42,96.42,292.47,292.47,388.89,,0.00,67.23,0.00,0.00,67.23,,16.27,369.68,3.91,395.28,785.14,1241.26,,,488.17,53.63,38.24,0.00,580.04,77.77,48.08,0.00,0.00,705.89,,0.00,276.22,55.76,76.36,127.04,0.00,535.37,1241.26,,,35.93,,76.67,0.00,0.00,42.37,,135.46,,155.04,,275.64,0.22,,73.41,,--,77.77,,--,--
Dec 07,,,96.42,96.42,322.01,322.01,418.42,,0.00,69.54,0.00,0.00,69.54,,2.87,454.54,5.44,497.79,960.64,1448.60,,,548.18,53.63,73.70,0.00,675.51,94.40,40.84,0.00,0.00,810.75,,0.00,401.22,53.49,37.76,145.39,0.00,637.85,1448.60,,,63.27,,79.35,0.00,0.00,48.04,,156.39,,190.82,,325.95,0.74,,73.41,,--,94.40,,--,--
Dec 08,,,96.42,96.42,376.93,376.93,473.35,,0.00,75.79,0.00,0.00,75.79,,0.82,501.79,4.86,677.32,1184.78,1733.92,,,699.37,53.63,109.17,0.00,862.16,34.90,38.91,0.00,0.00,935.97,,0.00,434.91,45.59,193.69,123.76,0.00,797.95,1733.92,,,84.90,,101.91,0.00,0.00,92.04,,213.31,,196.78,,335.26,2.16,,73.41,,--,34.90,,--,--
Dec 09,,,96.42,96.42,484.85,484.85,581.27,,0.00,78.80,0.00,0.00,78.80,,0.00,581.73,5.86,834.79,1422.38,2082.45,,,842.58,53.63,79.63,0.00,975.83,203.26,46.80,0.00,0.00,1225.89,,0.00,498.74,64.19,155.59,138.05,0.00,856.56,2082.45,,,63.07,,205.36,0.00,0.00,53.32,,239.53,,286.22,,326.11,0.05,,73.41,,--,203.26,,--,--
Dec 10,,,96.42,96.42,759.00,759.00,855.41,,0.00,82.01,0.00,0.00,82.01,,0.00,745.44,16.23,907.94,1669.61,2607.03,,,953.86,58.88,348.91,0.00,1361.65,150.68,48.73,0.00,0.00,1561.06,,0.00,575.95,63.29,255.29,151.44,0.00,1045.97,2607.03,,,0.00,,265.41,0.00,0.00,118.93,,291.06,,291.60,,350.34,0.16,,73.41,,--,150.68,,--,--
Dec 11,,,96.42,96.42,1177.54,1177.54,1273.96,,724.95,50.22,0.00,885.13,1660.30,,245.92,480.83,528.70,212.07,1467.52,4401.78,,,1575.75,0.00,1371.78,0.00,2947.53,0.00,0.00,163.91,0.00,3111.44,,134.37,734.04,115.42,227.21,79.00,0.30,1290.34,4401.78,,,461.87,,250.84,24.04,24.04,720.64,,373.77,,293.50,,309.16,81.02,,73.41,,--,--,,134.37,--
Dec 12,,,96.42,96.42,1701.99,1701.99,1798.41,,1049.95,162.08,0.00,1014.75,2226.78,,0.24,539.40,558.03,41.06,1138.73,5163.92,,,3204.27,0.00,344.08,0.00,3548.35,0.00,0.00,125.45,0.00,3673.80,,364.86,745.58,87.57,236.96,54.15,1.00,1490.12,5163.92,,,0.00,,249.11,27.39,27.39,146.58,,469.44,,293.50,,292.90,130.26,,73.41,,--,--,,365.95,--
Dec 13,,,96.42,96.42,2272.33,2272.33,2368.75,,1189.48,215.47,0.00,1193.39,2598.34,,0.01,633.04,500.25,213.88,1347.18,6314.27,,,3369.31,0.00,294.71,0.00,3664.02,224.12,0.00,123.94,0.47,4012.55,,626.96,735.93,84.27,749.36,101.36,3.84,2301.72,6314.27,,,0.00,,299.44,30.21,30.21,69.86,,462.58,,293.50,,486.72,136.40,,73.41,,97.51,126.61,,630.21,--
Dec 14,,,96.42,96.42,2740.79,2740.79,2837.21,,15.46,222.72,0.00,1388.66,1626.84,,4.11,728.71,409.57,213.06,1355.45,5819.50,,,3176.64,0.00,244.78,0.00,3421.42,304.46,0.00,129.95,0.00,3855.83,,507.36,844.10,99.10,445.82,52.07,15.22,1963.67,5819.50,,,0.00,,354.42,35.87,35.87,25.76,,473.02,,381.24,,489.84,151.30,,73.41,,270.19,51.88,,510.28,--
