0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,8245.50,8245.50,33530.80,33530.80,41776.30,,17087.80,654.00,0.00,0.00,17741.80,,0.00,1160.20,4070.40,2676.70,7907.30,67762.80,,,22195.30,9.40,10038.60,0.00,32243.30,20797.70,653.90,0.00,0.00,53694.90,,0.00,1777.70,1374.70,6078.30,4743.50,93.70,14067.90,67762.80,,,16680.00,,63.00,0.00,0.00,82.20,,1406.70,,--,,--,0.50,,--,,3524.90,17684.90,,--,--
Mar 06,,,8245.50,8245.50,36713.20,36713.20,44958.70,,20197.30,0.10,0.00,0.00,20197.40,,0.00,2436.50,2473.70,3740.30,8650.50,74247.40,,,22953.10,14.40,13756.00,0.00,36723.50,19289.10,0.00,0.00,0.00,56012.60,,0.00,2340.50,867.80,8471.40,6555.10,0.00,18234.80,74247.40,,,16429.80,,51.80,0.00,0.00,638.00,,447.70,,--,,--,0.70,,--,,951.60,18409.60,,--,--
Mar 07,,,8245.50,8245.50,40351.30,40351.30,48596.80,,24484.40,0.10,0.00,0.00,24484.50,,0.00,1662.50,3759.60,5280.30,10702.40,84440.40,,,25505.70,19.30,16962.30,0.00,42487.30,16094.30,0.00,0.00,0.00,58581.60,,0.00,2510.20,1252.30,13314.60,8781.70,0.00,25858.80,84440.40,,,25218.80,,69.40,0.00,0.00,735.80,,341.50,,--,,--,1.00,,--,,316.40,18008.20,,--,--
Mar 08,,,8245.50,8245.50,46021.90,46021.90,54267.40,,27190.60,0.10,0.00,0.00,27190.70,,0.00,1610.80,3937.50,7360.60,12908.90,94367.00,,,26041.50,52.20,22478.30,0.00,48572.00,15267.20,0.00,0.00,0.00,63839.20,,0.00,2675.70,2982.70,14933.20,9936.20,0.00,30527.80,94367.00,,,29361.80,,49.30,0.00,0.00,1180.20,,402.80,,--,,--,3.50,,--,,304.30,15453.10,,--,--
Mar 09,,,8245.50,8245.50,50749.40,50749.40,58994.90,,34567.80,0.10,0.00,0.00,34567.90,,0.00,2840.20,4598.90,3249.50,10688.60,104251.40,,,32858.70,79.00,26404.90,0.00,59342.60,13983.50,0.00,0.00,0.00,73326.10,,0.00,3243.40,3584.20,16271.60,7825.00,1.10,30925.30,104251.40,,,66083.20,,91.90,0.00,0.00,1038.60,,469.20,,--,,--,3.60,,--,,275.50,13785.00,,--,--
Mar 10,,,8245.50,8245.50,55478.60,55478.60,63724.10,,37797.00,209.20,0.00,0.00,38006.20,,0.00,2581.50,5106.10,3070.50,10758.10,112488.40,,,34474.60,100.40,32290.60,0.00,66865.60,14807.10,0.00,0.00,0.00,81672.70,,0.00,3347.70,6651.40,14459.50,6355.00,2.10,30815.70,112488.40,,,40044.00,,139.30,0.00,0.00,897.00,,382.90,,--,,--,0.90,,--,,133.60,14795.10,,--,--
Mar 11,,,8245.46,8245.46,59646.79,59646.79,67892.25,,39735.68,602.95,2905.06,561.90,43805.59,,0.00,4088.01,7762.50,2190.53,14041.04,125738.88,,,39029.07,206.89,35495.30,0.00,74731.29,10532.84,0.00,3901.96,459.15,89625.24,,1812.00,3639.12,1434.96,16185.26,3777.86,9264.44,36113.64,125738.88,,,44055.80,,0.00,0.00,0.00,965.31,,532.44,,--,,--,1.12,,--,,100.92,10520.84,,--,1812.00
Mar 12,,,8245.46,8245.46,65045.71,65045.71,73291.17,,45908.27,636.90,3159.12,603.70,50307.99,,0.00,4468.07,9554.95,3215.62,17238.64,140837.80,,,45046.47,211.89,41827.82,0.00,87086.22,9583.92,0.00,3883.26,1371.88,101925.28,,1622.46,3702.85,5832.51,16146.11,2754.73,8853.86,38912.52,140837.80,,,53173.05,,0.00,0.00,0.00,880.34,,411.54,,--,,--,2.76,,--,,73.32,9571.92,,--,1622.46
Mar 13,,,8245.46,8245.46,72142.05,72142.05,80387.51,,53253.66,915.30,3210.04,739.92,58118.92,,0.00,5158.77,10446.72,7004.54,22610.03,161116.46,,,62687.42,248.68,37109.42,0.00,100045.52,9137.64,0.00,9633.45,1132.77,119949.38,,1622.46,4057.19,5365.49,16867.70,1745.53,11508.71,41167.08,161116.46,,,73660.54,,0.00,0.00,0.00,1009.05,,635.06,,--,,--,2.25,,--,,71.94,9125.64,,--,1622.46
Mar 14,,,8245.46,8245.46,77569.86,77569.86,85815.32,,62405.75,1051.61,4122.34,879.36,68459.06,,0.00,6633.34,11343.86,7302.60,25279.80,179554.18,,,71865.86,244.97,44886.74,0.00,116999.50,8120.90,0.00,12776.22,1786.77,139683.39,,1636.96,5373.35,5220.08,15311.37,3117.08,9211.95,39870.79,179554.18,,,81582.53,,0.00,0.00,0.00,2472.14,,855.77,,--,,--,3.13,,--,,81.36,8108.90,,--,1636.96
