0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,1425.93,1425.93,45419.49,45419.49,46845.42,,8243.01,8058.65,0.00,0.00,16301.65,,1673.21,2905.22,2285.20,24572.10,31435.73,94582.79,,,5634.81,201.72,28838.35,0.00,34674.88,4036.67,2614.80,0.00,531.16,41857.51,,0.00,2569.19,3729.31,9466.86,36958.92,1.01,52725.29,94582.79,,,26593.45,,330.19,0.00,0.00,2814.83,,3979.45,,--,,1206.26,4.22,,1076.44,,11876.20,1280.19,,--,--
Mar 06,,,1425.93,1425.93,52533.74,52533.74,53959.67,,12722.61,9988.77,0.00,0.00,22711.38,,0.00,3462.95,3064.06,31122.39,37649.40,114320.45,,,7539.76,302.44,33373.92,0.00,41216.12,4888.57,3633.63,0.00,366.34,50104.66,,0.00,3038.49,3704.28,8812.82,48660.18,0.02,64215.79,114320.45,,,32907.71,,476.10,0.00,0.00,2537.15,,4848.18,,--,,2608.49,0.89,,1076.44,,13365.52,2132.10,,--,--
Mar 07,,,2138.89,2138.89,59785.04,59785.04,61923.93,,14804.92,11019.02,0.00,0.00,25823.93,,304.15,3995.78,4821.19,39765.20,48886.31,136634.17,,,8502.39,336.72,37794.16,0.00,46633.28,5702.05,4496.27,0.00,514.06,57345.66,,0.00,3033.76,2759.44,19280.79,54214.48,0.04,79288.51,136634.17,,,34157.17,,243.13,0.00,0.00,3430.96,,5502.24,,--,,2981.35,9.31,,1789.40,,9979.81,2945.57,,--,--
Mar 08,,,2138.89,2138.89,68478.51,68478.51,70617.40,,12482.71,11567.80,0.00,0.00,24050.51,,0.00,4975.42,5939.73,21828.17,32743.32,127411.22,,,10135.78,382.23,41154.63,0.00,51672.64,5899.50,4197.00,0.00,673.90,62443.04,,0.00,3480.64,4360.37,22417.66,34707.24,2.29,64968.19,127411.22,,,26006.73,,404.44,0.00,0.00,4254.75,,5393.73,,--,,3615.11,179.61,,1789.40,,16943.91,3143.02,,--,--
Mar 09,,,2138.89,2138.89,76596.53,76596.53,78735.42,,16035.70,13839.02,0.00,0.00,29874.72,,0.00,6922.11,6092.98,30657.98,43673.07,152283.20,,,9940.25,474.13,52923.19,0.00,63337.56,5090.32,6036.78,0.00,650.61,75115.27,,0.00,4060.67,4083.80,19096.21,49924.00,3.24,77167.92,152283.20,,,36024.57,,787.55,0.00,0.00,3058.11,,12655.22,,--,,3424.67,7.79,,1789.40,,11143.95,2333.84,,--,--
Mar 10,,,2138.89,2138.89,85143.72,85143.72,87282.60,,16405.64,15156.97,0.00,0.00,31562.61,,0.00,6392.56,5695.00,37092.46,49180.03,168025.24,,,15073.34,575.17,56073.25,0.00,71721.75,5772.03,6238.76,0.00,841.32,84573.86,,0.00,4678.57,3058.64,18231.04,57480.29,2.86,83451.39,168025.24,,,39178.54,,754.89,0.00,0.00,5543.38,,13984.62,,--,,4583.24,3.85,,1789.40,,19090.78,3015.56,,--,--
Mar 11,,,4277.76,4277.76,93226.67,93226.67,97504.43,,0.00,9950.39,582.46,20823.51,31356.37,,0.00,5225.30,13005.53,925.78,19156.61,148017.41,,,18481.67,157.88,21724.11,43575.66,83939.32,5182.75,0.00,23993.85,8977.94,122093.86,,0.05,4118.98,3994.68,14481.09,2673.39,655.37,25923.55,148017.41,,,20465.03,,0.00,0.00,0.00,18297.43,,18153.17,,--,,4710.55,1.00,,3928.27,,19167.92,2474.33,,--,0.05
Mar 12,,,4277.76,4277.76,108678.97,108678.97,112956.73,,0.00,11197.87,561.99,21313.06,33072.92,,4500.00,5261.24,13694.12,2242.59,25697.95,171727.61,,,21565.82,112.33,26881.29,46376.83,94936.26,4364.34,0.00,25449.81,10392.79,135143.19,,851.91,5165.44,6194.82,20124.57,3123.71,1123.98,36584.41,171727.61,,,27810.71,,0.00,0.00,0.00,18842.89,,19149.04,,--,,6310.62,4.65,,3928.27,,18034.91,1645.43,,--,851.91
Mar 13,,,4277.76,4277.76,120175.46,120175.46,124453.22,,0.00,12887.98,1124.17,22187.45,36199.59,,0.00,5341.01,11222.66,910.19,17473.85,178126.67,,,27403.68,79.80,24891.24,52440.71,104815.43,9173.05,0.00,32305.97,1405.35,147699.80,,0.00,5704.39,6863.72,13218.59,3702.12,938.04,30426.86,178126.67,,,50275.48,,0.00,0.00,0.00,17709.46,,18244.61,,--,,7412.15,60.19,,3928.27,,15435.61,6416.58,,--,--
Mar 14,,,4277.76,4277.76,132447.25,132447.25,136725.01,,0.00,16578.68,1185.02,25719.96,43483.66,,0.00,6372.48,11926.17,781.12,19079.77,199288.43,,,30229.19,50.06,25557.79,65783.26,121620.31,17204.31,0.00,29488.52,1132.00,169445.13,,0.00,5882.54,8165.67,10798.88,4366.96,629.25,29843.30,199288.43,,,85206.18,,0.00,0.00,0.00,18210.59,,18372.86,,--,,7481.83,7.15,,3928.27,,18991.74,11777.08,,--,--
