0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,3165.25,3165.25,5826.87,5826.87,8992.12,,13448.37,240.35,0.00,0.00,13688.72,,550.00,87.24,2142.19,344.61,3124.04,25843.69,,,16287.82,0.00,5032.49,0.00,21320.31,1882.42,0.00,0.00,29.69,23232.42,,0.00,184.27,450.70,603.97,1369.41,2.92,2611.27,25843.69,,,5257.02,,10.46,0.00,0.00,226.85,,218.28,,--,,--,0.11,,--,,57.61,1870.42,,--,--
Mar 06,,,3584.63,3584.63,6378.55,6378.55,9963.18,,14476.13,327.74,0.00,0.00,14803.87,,550.00,1044.04,2741.25,678.40,5013.69,29819.55,,,18507.21,0.00,6409.89,0.00,24917.10,2139.41,18.23,0.00,20.73,27095.47,,0.00,180.24,325.60,589.05,1623.83,5.36,2724.08,29819.55,,,6207.85,,1.42,0.00,0.00,152.89,,249.53,,--,,--,0.26,,--,,70.92,2127.41,,--,--
Mar 07,,,3787.41,3787.41,7138.66,7138.66,10926.07,,18575.50,432.68,0.00,0.00,19008.18,,750.00,1700.29,3502.67,833.37,6786.33,36759.39,,,21805.53,0.00,9450.93,0.00,31256.46,1967.00,13.35,0.00,12.86,33249.67,,0.00,184.13,490.48,1196.82,1631.09,7.20,3509.72,36759.39,,,6909.61,,3.46,0.00,0.00,337.01,,325.44,,--,,--,0.45,,--,,71.46,1955.00,,--,--
Mar 08,,,4208.84,4208.84,9545.33,9545.33,13754.17,,21513.48,516.52,0.00,0.00,22030.00,,750.00,985.15,4384.31,1352.59,7472.05,43256.22,,,27240.48,114.72,8758.09,0.00,36113.29,1736.22,22.74,0.00,7.19,37879.44,,0.00,248.22,1100.50,1865.59,2162.11,0.36,5376.78,43256.22,,,5754.66,,0.00,0.00,0.00,243.40,,338.36,,--,,--,2.66,,--,,116.16,1724.22,,--,--
Mar 09,,,4208.84,4208.84,9325.14,9325.14,13533.98,,27715.43,568.60,0.00,0.00,28284.03,,750.00,1072.88,7210.08,2189.82,11222.78,53040.79,,,30918.26,210.18,13286.00,0.00,44414.44,1592.83,30.06,0.00,5.50,46042.83,,0.00,297.57,1373.56,2428.88,2893.56,4.39,6997.96,53040.79,,,22265.47,,1.02,0.00,0.00,1126.16,,364.22,,--,,--,1.01,,--,,83.94,1580.83,,--,--
Mar 10,,,4208.84,4208.84,11585.08,11585.08,15793.92,,33168.20,755.31,0.00,0.00,33923.51,,1248.59,1060.62,8787.61,2458.29,13555.11,63272.54,,,31811.40,233.67,20438.37,0.00,52483.44,1453.22,51.80,0.00,3.56,53992.02,,0.00,344.90,2214.86,3277.64,3375.60,67.52,9280.52,63272.54,,,27614.51,,1.76,0.00,0.00,470.50,,236.09,,--,,--,2.37,,--,,134.46,1441.22,,--,--
Mar 11,,,4629.73,4629.73,16737.27,16737.27,21367.00,,37215.84,1146.74,5162.41,316.64,43841.63,,1450.00,196.66,6307.46,2558.82,10512.94,75721.57,,,36970.29,253.69,12864.63,10749.25,60936.91,1214.01,0.00,3615.33,0.00,65766.25,,184.34,381.51,1114.00,3680.06,2037.28,2229.16,9626.35,75721.57,,,33983.32,,0.00,0.00,0.00,1820.36,,164.31,,--,,--,19.38,,--,,100.08,1202.01,,--,184.34
Mar 12,,,4629.73,4629.73,18858.05,18858.05,23487.78,,49119.19,1600.88,4208.00,421.49,55349.56,,1650.00,200.78,8463.56,1056.67,11371.01,90208.35,,,47339.78,322.52,15499.89,12610.04,75845.84,1101.19,0.00,5614.76,0.00,82561.79,,183.26,440.31,1497.49,2336.88,425.96,1445.99,6329.89,90208.35,,,0.00,,0.00,0.00,0.00,2164.70,,175.19,,--,,--,9.65,,--,,73.68,1089.19,,--,183.26
Mar 13,,,4629.73,4629.73,21609.74,21609.74,26239.47,,63076.27,1959.16,4707.53,442.63,70185.59,,2000.00,246.73,11693.46,768.31,14708.50,111133.56,,,60877.69,522.95,18921.30,15708.62,96224.18,964.24,0.00,5963.40,0.00,103151.82,,183.26,551.53,1434.09,1661.97,595.03,1839.57,6265.45,111133.56,,,47462.01,,0.00,0.00,0.00,1543.54,,406.61,,--,,86.44,7.41,,--,,71.94,952.24,,--,183.26
Mar 14,,,5231.59,5231.59,29228.04,29228.04,34459.63,,76790.22,2442.96,5854.76,524.37,85612.31,,2700.00,329.07,15520.04,968.02,19517.13,139589.07,,,72501.95,652.12,31502.41,17625.30,122630.78,814.33,0.00,4552.99,0.00,127998.10,,184.35,712.40,1578.46,4417.52,472.04,1735.63,9100.40,139589.07,,,35582.73,,0.00,0.00,0.00,4767.62,,547.61,,--,,294.07,22.60,,--,,81.36,802.33,,--,184.35
