0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,1393.09,1393.09,36280.35,39010.23,40403.32,,15343.88,4633.46,0.00,0.00,19977.34,,3440.71,12833.99,449.96,3847.57,20572.23,80952.89,,,30035.13,217.86,4829.29,0.00,35082.28,17051.46,366.64,0.00,0.00,52500.38,,0.00,7412.88,3927.81,3608.79,13503.03,0.00,28452.51,80952.89,,,6579.47,,40292.66,0.00,0.00,642.29,,2602.29,,166.31,,23741.33,4.13,,481.77,,4156.40,13582.43,,--,--
Mar 06,,,1393.17,1393.17,43760.90,48411.09,49804.26,,16515.76,5092.52,0.00,0.00,21608.28,,5349.85,12166.87,396.63,3890.98,21804.33,93216.87,,,55433.57,283.18,6957.79,0.00,62674.54,5846.18,121.70,0.00,0.00,68642.42,,0.00,10119.82,4163.62,2146.16,8144.85,0.00,24574.45,93216.87,,,24897.66,,53873.15,0.00,0.00,2681.15,,3731.99,,234.56,,30819.60,1.05,,481.77,,780.71,5322.60,,--,--
Mar 07,,,1393.21,1393.21,59861.81,62513.78,63906.99,,19662.60,7279.66,0.00,0.00,26942.26,,8163.13,16467.24,398.29,1712.87,26741.53,117650.92,,,63336.85,323.61,7528.13,0.00,71188.59,16251.34,297.64,0.00,0.00,87737.57,,0.00,12136.51,3732.42,1835.35,12209.07,0.00,29913.35,117650.92,,,46767.18,,75251.61,0.00,0.00,1099.98,,5309.86,,638.30,,58531.32,1.10,,481.77,,24454.46,9438.20,,--,--
Mar 08,,,1453.39,1453.39,77441.55,78312.81,79766.20,,27957.18,8183.07,0.00,0.00,36140.25,,8522.50,20590.45,455.02,2992.62,32560.59,150149.44,,,61494.69,388.94,23005.84,0.00,84889.47,22063.60,310.53,0.00,0.00,107263.60,,0.00,14247.54,6227.58,4280.05,18130.67,0.00,42885.84,150149.44,,,37157.61,,91583.82,0.00,0.00,3404.98,,10437.05,,--,,75974.22,36.54,,481.77,,53126.09,12746.75,,--,--
Mar 09,,,1573.53,1573.53,112945.44,124730.19,126303.72,,67677.51,9973.81,0.00,0.00,77651.32,,6226.97,31579.09,1111.91,3010.90,41928.87,245953.16,,,91254.54,9088.52,69043.83,0.00,169386.89,21606.49,247.51,0.00,0.00,191240.89,,0.00,14836.72,4571.38,22176.53,13127.64,0.00,54712.27,245953.16,,,36432.69,,103480.73,0.00,0.00,6592.69,,17040.94,,349.64,,86827.52,89.26,,481.77,,2930.63,18927.65,,--,--
Mar 10,,,3270.37,3270.37,125095.97,133900.24,137170.61,,56544.40,11169.25,0.00,0.00,67713.65,,5950.29,36055.60,793.80,3565.43,46365.12,251249.38,,,91776.74,61483.15,12138.82,0.00,165398.71,23228.62,242.95,0.00,0.00,188870.28,,0.00,26981.62,11660.21,13462.65,10274.62,0.00,62379.10,251249.38,,,25531.21,,153513.68,0.00,0.00,1190.22,,12353.48,,376.90,,102655.60,45.40,,2108.56,,8248.22,15563.83,,--,--
Mar 11,,,3273.00,3273.00,142800.00,148267.00,151540.00,,51124.00,11562.00,0.00,0.00,62686.00,,12304.00,34844.00,18735.00,4601.00,70484.00,284719.00,,,93084.00,49623.00,2759.00,0.00,154935.00,23209.00,0.00,10698.00,0.00,188842.00,,14443.00,29825.00,17442.00,27135.00,6833.00,199.00,95877.00,284719.00,,,56305.00,,174914.00,0.00,0.00,502.00,,8482.00,,417.00,,140546.00,11.00,,2108.56,,1249.00,22378.00,,14590.00,--
Mar 12,,,3271.00,3271.00,159698.00,162825.00,166096.00,,48034.00,12122.00,0.00,0.00,60156.00,,10593.00,40324.00,13713.00,4258.00,68888.00,295140.00,,,88001.00,25722.00,3695.00,0.00,121477.00,26979.00,0.00,14340.00,0.00,162796.00,,27029.00,35955.00,18424.00,39598.00,11089.00,249.00,132344.00,295140.00,,,54075.00,,254248.00,0.00,0.00,325.00,,6146.00,,478.00,,198269.00,205.00,,2108.56,,3945.00,23339.00,,27494.00,--
Mar 13,,,3229.00,3229.00,175711.00,176766.00,179995.00,,43012.00,12193.00,0.00,0.00,55205.00,,11511.00,45787.00,21640.00,4348.00,83286.00,318511.00,,,82962.00,26786.00,13525.00,0.00,128864.00,24143.00,0.00,21528.00,0.00,174535.00,,28366.00,42729.00,11880.00,49547.00,10974.00,480.00,143976.00,318511.00,,,54600.00,,281719.00,0.00,0.00,2204.00,,6397.00,,485.00,,227883.00,209.00,,2108.56,,5329.00,19065.00,,15460.00,13486.00
Mar 14,,,3232.00,3232.00,193842.00,193842.00,197074.00,,62711.00,12215.00,0.00,0.00,74926.00,,22770.00,57862.00,10767.00,4167.00,95566.00,367583.00,,,80368.00,29038.00,32673.00,0.00,151122.00,52692.00,0.00,28436.00,0.00,232250.00,,33370.00,42932.00,10664.00,36624.00,11277.00,466.00,135333.00,367583.00,,,75955.00,,302630.00,0.00,0.00,4218.00,,8222.00,,524.00,,261118.00,248.00,,2108.56,,18039.00,34781.00,,21655.00,12780.00
