0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 08,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 12,,,1000.00,1000.00,1155.65,1155.65,2155.65,,0.00,0.00,18321.38,26439.43,44760.81,,0.00,0.00,1253.64,70.30,1323.94,48240.40,,,265.22,0.00,0.00,0.00,265.22,44777.62,0.00,0.00,0.00,45042.84,,0.00,0.00,0.00,2303.40,894.16,0.00,3197.56,48240.40,,,138.84,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 13,,,1000.00,1000.00,1710.05,1710.05,2710.05,,0.00,0.00,23082.89,26526.02,49608.90,,0.00,0.00,1354.11,72.47,1426.58,53745.53,,,275.37,0.00,0.00,0.00,275.37,50047.30,0.00,0.17,0.00,50322.84,,0.00,0.00,0.00,2153.19,1269.51,0.00,3422.69,53745.53,,,350.12,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 14,,,1000.00,1000.00,2342.33,2342.33,3342.33,,0.00,0.00,27064.36,28589.85,55654.21,,0.00,0.00,1472.71,146.78,1619.49,60616.03,,,286.11,0.00,0.00,0.00,286.11,56274.62,0.00,0.64,0.00,56561.36,,0.00,0.00,0.00,2542.29,1512.38,0.00,4054.67,60616.03,,,446.87,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 15,,,1000.00,1000.00,3039.41,3039.41,4039.41,,0.00,0.00,33362.64,34808.61,68171.25,,0.00,0.00,1675.59,207.33,1882.92,74093.58,,,271.49,0.00,0.00,0.00,271.49,69384.78,0.00,1.77,0.00,69658.04,,0.00,0.00,0.00,2523.78,1911.76,0.00,4435.54,74093.58,,,529.97,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 16,,,1000.00,1000.00,3733.10,3733.10,4733.10,,0.00,0.00,39969.80,36021.66,75991.46,,0.00,0.00,2502.59,201.92,2704.51,83429.07,,,447.25,0.00,0.00,0.00,447.25,77842.69,0.00,123.56,0.00,78413.50,,0.00,0.00,0.00,2616.76,2398.81,0.00,5015.57,83429.07,,,646.22,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 17,,,1000.00,1000.00,4464.78,4464.78,5464.78,,0.00,0.00,54904.55,38855.91,93760.47,,0.00,0.00,2764.07,250.25,3014.32,102239.56,,,538.47,0.00,0.00,0.00,538.47,95830.28,0.00,178.20,0.00,96546.96,,0.00,0.00,0.00,2429.84,3262.77,0.00,5692.61,102239.56,,,528.14,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 18,,,1000.00,1000.00,5527.82,5527.82,6527.82,,0.00,0.00,62069.86,49558.08,111627.95,,0.00,0.00,3216.13,348.54,3564.67,121720.44,,,581.29,0.00,0.00,0.00,581.29,114435.87,0.00,170.90,0.00,115188.06,,0.00,0.00,0.00,2644.63,3887.75,0.00,6532.37,121720.44,,,859.98,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 19,,,1000.00,1000.00,6576.36,6576.36,7576.36,,0.00,0.00,74829.34,60592.14,135421.48,,0.00,0.00,3377.13,358.88,3736.01,146733.85,,,563.37,0.00,31.85,0.00,595.22,139324.71,0.00,172.50,0.00,140092.44,,0.00,0.00,0.00,2420.63,4220.78,0.00,6641.41,146733.85,,,1504.83,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 20,,,1000.03,1000.03,7743.06,7743.06,8743.08,,0.00,0.00,80374.58,73440.22,153814.81,,0.00,0.00,2783.79,238.51,3022.30,165580.19,,,567.99,0.00,13.19,0.00,581.18,158813.21,0.00,364.48,0.00,159758.88,,0.00,0.00,0.00,1423.23,4398.08,0.00,5821.31,165580.19,,,1487.46,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,--,--,,--,--
Mar 21,,,1000.07,1000.07,12126.76,12126.76,13127.25,,0.00,0.00,100261.24,109203.58,209464.82,,0.00,0.00,3805.01,433.36,4238.37,226830.44,,,563.94,0.00,1.49,0.00,565.43,218756.17,0.00,358.08,0.00,219679.67,,0.00,0.00,0.00,2710.52,4440.25,0.00,7150.76,226830.44,,,1970.62,,0.00,0.00,0.00,0.00,,19.00,,--,,--,7.00,,--,,--,--,,--,--
Mar 22,,,1000.37,1000.37,10620.74,10620.74,11622.31,,0.00,0.00,122131.86,134453.03,256584.89,,0.00,0.00,4558.55,571.24,5129.79,273336.99,,,523.96,0.00,2.81,0.00,526.77,264831.79,0.00,362.69,0.00,265721.25,,0.00,0.00,0.00,3204.22,4411.52,0.00,7615.74,273336.99,,,1623.99,,0.00,0.00,0.00,0.00,,3.00,,--,,--,241.00,,--,,--,--,,--,--
Mar 23,,,1000.89,1000.89,12016.59,12016.59,13017.48,,0.00,0.00,155847.70,140721.37,296569.07,,0.00,0.00,4731.50,368.14,5099.64,314686.20,,,506.97,13.47,1.07,0.00,521.51,304334.48,0.00,388.92,0.00,305244.91,,0.00,0.00,0.00,4164.92,5276.37,0.00,9441.29,314686.20,,,1661.21,,0.00,0.00,0.00,0.00,,13.00,,--,,--,13.00,,--,,--,--,,--,--
Mar 24,,,1001.47,1001.47,13906.94,13906.94,14908.41,,0.00,0.00,211133.68,166740.75,377874.43,,0.00,0.00,5195.22,320.61,5515.82,398298.81,,,541.31,9.90,5.74,0.00,556.96,385590.27,0.00,388.79,0.00,386536.02,,0.00,0.00,0.00,4745.89,7016.89,0.00,11762.79,398298.81,,,1725.77,,0.00,0.00,0.00,0.00,,4.00,,--,,--,17.00,,--,,--,--,,--,--
