0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,ASSETS,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,OTHER ADDITIONAL INFORMATION,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),KEY PERFORMANCE INDICATORS,Tier 1 (%),Tier 2 (%),ASSETS QUALITY,Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),"CONTINGENT LIABILITIES, COMMITMENTS",Bills for Collection,Contingent Liabilities
Mar 11,,,635.00,635.00,0.00,64351.04,64351.04,64986.04,933932.81,119568.96,105248.39,1223736.20,,94395.50,28478.65,295600.57,756719.45,4764.19,43777.85,1223736.20,,13698.00,222933.00,11.98,,7.77,4.21,,25326.29,3.00,12346.90,1.63,2.00,,59904.98,790389.59
Mar 12,,,671.04,671.04,0.00,83280.16,83280.16,83951.21,1043647.36,127005.57,80915.09,1335519.23,,54075.94,43087.23,312197.61,867578.89,5466.55,53113.02,1335519.23,,14270.00,215481.00,13.86,,9.79,4.07,,39676.46,5.00,15818.85,1.82,2.00,,66959.85,899565.18
Mar 13,,,684.03,684.03,0.00,98199.65,98199.65,98883.69,1202739.57,169182.71,95455.07,1566261.04,,65830.41,48989.75,350927.27,1045616.55,7005.02,47892.03,1566261.04,,15002.00,228296.00,12.92,,9.49,3.43,,51189.39,5.00,21956.48,2.10,2.00,,66639.54,993018.45
Mar 14,,,746.57,746.57,0.00,117535.68,117535.68,118282.25,1394408.50,183130.88,96926.65,1792748.29,,84955.66,47593.97,398799.57,1209828.72,8002.16,43568.21,1792748.29,,15869.00,222809.00,12.96,,9.98,2.98,,61605.35,5.00,31096.07,2.57,3.00,,74028.42,1017329.95
Mar 15,,,746.57,746.57,0.00,127691.65,127691.65,128438.23,1576793.25,205150.29,137698.04,2048079.80,,115883.84,38871.94,481758.75,1300026.39,9329.16,102209.71,2048079.80,,16333.00,213238.00,12.00,,9.60,2.40,,56725.34,4.00,27590.58,2.12,2.00,,92795.25,971956.01
Mar 16,,,776.28,776.28,0.00,143498.16,143498.16,144274.44,1730722.44,323344.59,159276.08,2357617.54,,129629.33,37838.33,575651.78,1463700.42,10389.28,140408.41,2357617.54,,16784.00,207739.00,13.12,,9.92,3.20,,98172.80,7.00,55807.02,3.81,4.00,,199140.17,971956.01
Mar 17,,,797.35,797.35,31585.65,155903.06,187488.71,188286.06,2044751.39,317693.66,155235.19,2705966.30,,127997.62,43974.03,765989.63,1571078.38,42918.92,154007.72,2705966.30,,17170.00,209567.00,13.11,,10.35,2.76,,112342.99,7.00,58277.38,3.71,4.00,,65640.42,1046440.93
Mar 18,,,892.46,892.46,24847.99,193388.12,218236.10,219128.56,2706343.29,362142.07,167138.08,3454752.00,,150397.18,41501.46,1060986.72,1934880.19,39992.25,226994.20,3454752.00,,22414.00,264041.00,12.60,,10.36,2.24,,223427.46,11.00,110854.70,5.73,6.00,,74027.90,1162020.69
Mar 19,,,892.46,892.46,24653.94,195367.42,220021.36,220913.82,2911386.01,403017.12,145597.30,3680914.25,,176932.42,45557.69,967021.95,2185876.92,39197.57,266327.70,3680914.25,,22010.00,257252.00,12.72,,10.65,2.07,,172753.60,8.00,658947.40,3.01,3.00,,70022.54,1116081.46
Mar 20,,,892.46,892.46,23762.67,207352.30,231114.97,232007.43,3241620.73,314655.65,163110.10,3951393.92,,166735.78,84361.23,1046954.52,2325289.56,38439.28,289613.55,3951393.92,,22141.00,249448.00,13.13,,10.71,2.42,,149091.85,6.00,51871.30,2.23,2.00,,55758.16,1214994.61
Mar 21,,,892.46,892.46,23577.35,229405.38,252982.73,253875.19,3681277.08,417297.70,181979.66,4534429.63,,213201.54,129837.17,1351705.21,2449497.79,38419.24,351768.68,4534429.63,,22219.00,245652.00,13.74,,11.44,2.30,,126389.00,5.00,36809.72,1.50,2.00,,1706949.91,1706949.91
Mar 22,,,892.46,892.46,23377.87,255817.73,279195.60,280088.06,4051534.12,426043.38,229931.84,4987597.41,,257859.21,136693.11,1481445.47,2733966.59,37708.16,339924.86,4987597.41,,22266.00,244250.00,13.85,,11.16,2.69,,112023.00,3.97,27965.71,1.02,1.02,,77730.12,2007083.44
Mar 23,,,892.46,892.46,27756.26,298959.73,326715.99,327608.45,4423777.78,493135.16,272457.15,5516978.53,,247087.58,60812.04,1570366.23,3199269.30,42381.80,397061.58,5516978.53,,22405.00,235858.00,14.68,,12.06,2.62,,90927.78,2.78,21466.64,0.67,0.67,,64531.08,1826574.12
Mar 24,,,892.46,892.46,27555.65,348798.43,376354.07,377246.53,4916076.77,597560.91,288809.73,6179693.95,,225141.70,85660.29,1671339.66,3703970.85,42617.25,450964.19,6179693.95,,22542.00,232296.00,14.28,,11.93,2.35,,84276.33,2.24,21051.08,0.57,0.57,,67795.94,2389320.82
