0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,65.43,90.74,131.68,131.68,222.42,,1450.19,53.50,0.00,0.00,1503.69,,31.73,0.00,181.13,67.87,280.73,2007.87,,,48.91,0.00,0.22,0.00,49.12,4.07,0.00,0.00,0.44,53.64,,0.00,286.93,1.95,216.84,1194.15,254.36,1954.23,2007.87,,,33.91,,0.00,0.00,0.00,0.00,,0.05,,--,,--,--,,--,,2.87,0.10,,--,--
Mar 06,,,150.56,150.56,649.77,649.77,800.33,,3847.58,134.14,0.00,0.00,3981.72,,548.51,0.00,611.52,238.84,1398.86,6219.47,,,129.52,1.98,25.73,0.00,157.22,9.15,0.45,0.00,0.41,167.23,,0.00,273.14,7.52,252.88,5126.25,392.46,6052.24,6219.47,,,75.94,,0.00,0.00,0.00,0.00,,0.05,,--,,--,--,,--,,9.35,0.49,,--,--
Mar 07,,,184.18,184.18,882.23,882.23,1066.41,,7356.95,90.70,0.00,0.00,7447.65,,1381.48,30.14,740.57,153.04,2305.24,10839.30,,,125.62,1.98,39.87,0.00,167.47,224.57,4.08,0.00,0.14,396.25,,0.00,56.65,3.49,1811.96,8353.47,217.48,10443.05,10839.30,,,101.29,,0.00,0.00,0.00,0.00,,0.03,,--,,--,--,,--,,214.48,9.84,,--,--
Mar 08,,,203.16,203.16,1570.72,1570.72,1773.88,,12311.73,45.09,0.00,0.00,12356.82,,2474.62,70.86,1288.60,270.28,4104.38,18277.55,,,138.37,4.28,0.00,0.00,142.64,15.80,9.17,0.00,0.00,167.61,,0.00,0.67,2.48,2743.53,15292.85,70.42,18109.94,18277.55,,,57.57,,0.00,0.00,0.00,0.00,,0.14,,--,,--,--,,--,,9.14,1378.45,,--,--
Mar 09,,,203.54,203.54,2067.57,2067.57,2271.11,,16426.00,24.82,0.00,0.00,16450.82,,3695.31,209.01,1910.07,432.71,6247.09,25014.55,,,128.84,5.42,0.00,0.00,134.27,30.63,51.22,0.00,0.00,216.11,,0.00,1.27,3.99,6409.04,18384.15,0.00,24798.45,25014.55,,,13.66,,0.00,0.00,0.00,0.00,,35.57,,4.24,,--,--,,--,,5.35,649.53,,--,--
Mar 10,,,225.54,225.54,3609.22,3609.22,3834.76,,17514.38,7.54,0.00,0.00,17521.91,,945.53,232.89,3675.72,765.53,5619.67,26983.97,,,40.38,6.07,0.00,0.00,46.45,1856.02,82.26,0.00,37.09,2021.81,,0.00,0.00,0.00,4537.33,20424.83,0.00,24962.16,26983.97,,,8.85,,0.00,0.00,0.00,0.00,,0.07,,--,,--,--,,--,,40.61,1818.64,,--,--
Mar 11,,,226.18,226.18,4678.21,4678.21,4904.39,,12461.03,0.00,2357.16,1006.43,15824.62,,802.35,333.19,9578.64,185.46,10899.63,31628.64,,,35.95,0.44,0.00,0.00,36.39,391.43,153.69,14252.40,80.55,14914.46,,3254.23,0.00,0.00,3572.38,9820.69,66.88,16714.18,31628.64,,,2045.96,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,166.70,225.40,,0.04,3254.20
Mar 12,,,226.32,226.32,5765.99,5765.99,5992.31,,14686.84,0.00,1836.86,1369.06,17892.75,,3040.24,475.64,8105.41,271.12,11892.41,35777.48,,,36.25,1.46,0.00,0.00,37.71,560.27,216.68,15729.71,103.67,16648.04,,3394.17,0.00,0.00,5308.09,10347.05,80.12,19129.44,35777.48,,,2420.49,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,208.10,345.40,,114.64,3278.85
Mar 13,,,226.89,226.89,6967.85,6967.85,7194.74,,19053.05,0.00,1297.64,1510.10,21860.79,,4146.87,583.45,10761.94,285.45,15777.70,44833.23,,,58.27,1.79,0.00,0.00,60.05,592.32,283.83,19881.62,170.15,20987.96,,2976.60,0.00,0.00,6319.33,14472.18,77.16,23845.26,44833.23,,,2778.43,,0.00,0.00,0.00,0.00,,0.01,,--,,--,--,,--,,246.81,351.81,,0.87,2975.75
Mar 14,,,226.91,226.91,8046.31,8046.31,8273.22,,22712.09,0.00,986.99,1271.74,24970.82,,2985.90,445.92,12256.29,293.56,15981.66,49225.70,,,99.02,1.64,0.00,0.00,100.66,687.80,251.16,22099.08,94.43,23233.13,,2037.46,0.00,0.00,7085.98,16789.12,80.01,25992.57,49225.70,,,3597.56,,0.00,0.00,0.00,0.00,,0.51,,--,,--,--,,--,,294.30,355.18,,2.13,2035.45
