0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,92.76,94.16,1011.28,1011.28,1105.44,,1770.11,87.94,0.00,0.00,1858.05,,44.54,83.13,53.88,84.45,266.00,3229.50,,,398.18,40.97,47.94,0.00,487.09,985.24,2.64,0.00,0.00,1474.97,,0.00,186.62,234.97,890.03,442.91,0.00,1754.53,3229.50,,,39.77,,81.68,0.00,0.00,26.33,,66.27,,--,,275.10,11.55,,80.82,,304.17,950.63,,--,--
Mar 06,,,92.87,94.27,1370.67,1370.67,1464.94,,1727.59,107.12,0.00,0.00,1834.71,,18.23,76.96,89.22,122.50,306.91,3606.56,,,491.80,44.39,30.80,0.00,566.99,779.62,2.68,0.00,0.00,1349.29,,0.00,263.41,256.47,1230.82,506.57,0.00,2257.27,3606.56,,,39.76,,179.04,0.00,0.00,29.61,,74.62,,--,,365.21,39.64,,80.82,,490.53,745.01,,--,--
Mar 07,,,96.70,98.07,2351.42,2351.42,2449.49,,1047.76,113.76,0.00,0.00,1161.52,,20.39,67.45,164.02,7.70,259.56,3870.57,,,544.90,44.39,31.91,0.00,621.20,1057.49,4.44,0.00,0.00,1683.13,,0.00,333.38,310.00,1202.68,341.38,0.00,2187.44,3870.57,,,107.62,,220.20,0.00,0.00,59.00,,112.49,,--,,480.56,1.38,,80.82,,444.06,1022.88,,--,--
Mar 08,,,103.56,103.56,4104.06,4104.06,4207.62,,79.64,119.42,0.00,0.00,199.06,,22.88,646.48,79.83,262.79,1011.98,5418.66,,,585.58,44.46,33.43,0.00,663.47,1843.57,6.48,0.00,0.00,2513.52,,0.00,389.63,1055.44,1072.42,387.65,0.00,2905.14,5418.66,,,72.08,,248.64,0.00,0.00,19.44,,104.43,,--,,806.45,88.62,,80.82,,603.19,1808.96,,--,--
Mar 09,,,103.56,103.56,5047.86,5047.86,5151.42,,0.00,123.25,0.00,0.00,123.25,,23.60,477.79,95.30,342.10,938.79,6213.46,,,654.80,44.46,75.95,0.00,775.21,2694.59,5.83,0.00,0.00,3475.63,,0.00,486.74,680.03,1265.47,305.59,0.00,2737.83,6213.46,,,85.36,,259.26,0.00,0.00,36.77,,129.86,,--,,813.77,14.34,,80.82,,150.04,2664.20,,--,--
Mar 10,,,103.56,103.56,5614.42,5614.42,5717.98,,0.00,125.15,0.00,0.00,125.15,,29.49,148.25,115.05,342.48,635.27,6478.40,,,696.06,44.46,92.15,0.00,832.67,3951.69,9.82,0.00,0.00,4794.18,,0.00,570.14,553.29,187.27,373.52,0.00,1684.22,6478.40,,,184.24,,327.29,0.00,0.00,24.20,,111.41,,--,,838.95,11.88,,80.82,,571.22,3580.97,,--,--
Mar 11,,,103.56,103.56,6576.97,6576.97,6680.53,,0.00,128.51,2.19,8.68,139.38,,50.53,269.66,42.08,424.42,786.69,7606.60,,,783.18,11.21,0.00,0.00,990.04,1778.59,0.00,143.89,0.19,2912.71,,1822.83,618.26,542.62,1250.91,418.35,40.92,4693.89,7606.60,,,0.00,,258.58,33.73,33.73,90.35,,111.71,,--,,896.36,4.20,,80.82,,233.27,1710.95,,34.60,1787.83
Mar 12,,,103.56,103.56,7774.56,7774.56,7878.12,,0.00,133.91,2.03,98.62,234.56,,40.30,400.19,62.54,515.49,1018.52,9131.20,,,975.93,1.37,0.00,0.00,1226.17,3592.80,0.00,338.54,2.83,5160.34,,844.98,640.07,713.48,1327.71,390.61,54.01,3970.86,9131.20,,,0.00,,289.52,66.90,66.90,90.78,,154.94,,--,,1462.82,1.77,,80.82,,63.27,3531.07,,12.09,832.73
Mar 13,,,103.56,103.56,7685.32,7685.32,7788.88,,4.64,165.41,1.01,131.49,302.55,,38.49,363.27,145.15,608.15,1155.06,9246.49,,,1134.76,1.03,0.00,0.00,1483.83,3376.49,0.00,491.09,7.83,5359.24,,941.05,868.76,737.53,431.12,849.50,59.29,3887.25,9246.49,,,0.00,,269.20,94.44,94.44,121.76,,252.40,,--,,1923.80,37.72,,80.82,,66.60,3314.76,,--,941.05
Mar 14,,,207.12,207.12,7200.76,7200.76,7407.88,,4.64,192.84,1.38,2524.19,2723.05,,2404.37,380.06,233.61,688.03,3706.07,13837.00,,,1257.56,9.61,0.00,0.00,1747.63,6155.73,0.00,761.49,0.11,8664.96,,860.00,918.38,452.75,141.48,309.32,2490.11,5172.04,13837.00,,,0.00,,289.47,90.08,90.08,148.94,,684.99,,--,,2271.33,45.47,,184.37,,63.97,6094.00,,--,860.00
Mar 15,,,207.12,207.12,22530.77,22530.77,22737.89,,1170.32,0.00,14.37,2422.51,3607.20,,4252.81,1485.03,3247.55,2066.69,11052.08,37445.55,,,3115.29,69.98,0.00,0.00,4275.86,25782.23,0.00,1895.23,41.95,31995.27,,93.93,2189.25,1802.82,416.46,696.69,251.13,5450.28,37445.55,,,0.00,,632.32,151.09,151.09,363.66,,1333.44,,--,,4623.50,247.05,,184.37,,72.98,26370.49,,9.34,85.00
Mar 16,,,240.66,240.66,21242.43,21242.43,21483.09,,1929.27,0.00,13.57,1924.55,3867.39,,3733.72,1772.44,1906.83,1425.79,8838.78,34189.93,,,3512.90,55.27,0.00,0.00,4335.90,22283.11,0.00,2165.47,61.75,28846.23,,82.49,2132.16,2016.81,169.39,745.03,197.82,5343.70,34189.93,,,0.00,,588.46,59.22,59.22,201.22,,1270.04,,--,,3957.17,259.93,,184.37,,54.19,22871.37,,11.23,73.56
Mar 17,,,239.93,239.93,20772.54,20772.54,21012.47,,760.64,0.00,0.68,1132.83,1894.15,,4054.04,2072.60,2988.58,1847.43,10962.65,33869.27,,,3869.35,169.28,1055.11,0.00,5139.13,19293.29,749.06,4.87,2294.73,27481.08,,40.01,2308.28,2714.70,170.28,13.85,1141.07,6388.19,33869.27,,,5829.14,,0.00,0.00,0.00,0.00,,2448.41,,--,,4411.81,--,,183.81,,66.52,134.21,,--,40.01
Mar 18,,,239.93,239.93,22082.68,22082.68,22322.61,,1564.69,0.00,0.91,345.18,1910.78,,5213.81,2565.97,2125.89,2652.75,12558.42,36791.81,,,4400.52,244.05,830.39,0.00,5632.41,18310.50,751.70,3.42,2518.57,27216.60,,44.76,2135.64,5271.44,155.27,52.05,1916.05,9575.21,36791.81,,,1186.57,,0.00,0.00,0.00,0.00,,3014.34,,--,,4081.64,--,,183.81,,190.14,18685.98,,--,42.07
Mar 19,,,239.93,239.93,22603.68,22603.68,22843.61,,1422.50,0.00,19.12,157.07,1598.69,,4428.05,2154.92,4145.13,2543.73,13271.83,37714.13,,,4709.21,269.21,456.25,0.00,5620.96,17656.16,751.70,1.00,2514.54,26544.36,,247.95,2792.62,5031.47,340.77,294.73,2462.23,11169.77,37714.13,,,5549.82,,0.00,0.00,0.00,0.00,,3861.02,,--,,6602.54,--,,183.81,,139.67,17590.77,,--,245.26
Mar 20,,,239.93,239.93,24156.29,24156.29,24396.22,,1256.69,0.00,161.72,1391.96,2810.37,,4488.27,2129.27,3488.26,1097.94,11203.74,38410.33,,,4910.31,318.43,384.35,0.00,5825.35,16966.65,1139.71,0.74,2536.76,26469.21,,395.07,2633.67,6168.13,654.78,448.59,1640.88,11941.12,38410.33,,,3863.62,,0.00,0.00,0.00,0.00,,2796.39,,--,,7421.87,--,,183.81,,8.16,0.38,,--,392.37
Mar 21,,,239.93,239.93,24800.23,24800.23,25040.16,,4833.56,0.00,160.72,620.84,5615.12,,1651.98,2592.61,2895.29,1203.67,8343.55,38998.83,,,4873.98,370.38,442.85,0.00,6007.15,16967.68,1337.45,71.39,2548.82,26932.49,,31.00,3165.72,6370.62,232.26,738.57,1528.17,12066.34,38998.83,,,3564.25,,0.00,0.00,0.00,0.00,,3033.37,,--,,8449.28,--,,183.81,,9.02,0.55,,--,31.00
Mar 22,,,239.93,239.93,24348.02,24348.02,24587.95,,4865.64,0.00,808.43,397.63,6071.70,,3.07,2710.44,4829.77,2562.55,10105.83,40765.48,,,4969.57,4743.21,358.94,0.00,10541.42,15355.83,324.04,3656.63,1183.81,31061.73,,193.04,3403.74,4245.16,534.96,9.10,1317.75,9703.75,40765.48,,,3811.82,,0.00,0.00,0.00,0.00,,7187.43,,--,,10633.05,--,,183.81,,--,--,,--,193.04
Mar 23,,,239.93,239.93,23508.43,23508.43,23748.36,,7586.73,0.00,1080.18,206.16,8873.07,,5.94,3125.58,4425.04,809.50,8366.06,40987.49,,,4733.25,3978.42,328.87,0.00,9564.58,12416.14,1032.39,632.70,876.53,24522.34,,200.26,3989.19,7125.02,421.28,3347.03,1382.37,16465.15,40987.49,,,4309.60,,0.00,0.00,0.00,0.00,,7151.14,,--,,15405.26,--,,183.81,,--,--,,--,200.26
Mar 24,,,239.93,239.93,23454.47,23454.47,23694.40,,11036.01,0.00,1669.51,219.73,12925.25,,10.60,2619.58,1205.88,609.08,4445.14,41064.79,,,4539.14,3197.60,388.24,0.00,8502.85,12429.97,994.52,3386.90,796.14,26110.38,,0.00,3423.62,8834.16,338.39,655.51,1702.73,14954.41,41064.79,,,2013.74,,0.00,0.00,0.00,0.00,,6293.15,,--,,14268.33,--,,183.81,,6.33,94.00,,--,--
