0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,56.22,56.22,970.89,992.75,1048.97,,176.99,33.89,0.00,0.00,210.88,,14.38,134.62,45.54,85.80,280.35,1540.20,,,296.26,0.00,6.42,0.00,302.69,865.86,11.12,0.00,34.52,1214.19,,0.00,165.53,29.39,46.34,84.76,0.00,326.01,1540.20,,,38.49,,3.26,0.00,0.00,3.54,,9.61,,0.13,,97.02,32.38,,33.18,,712.89,617.96,,--,--
Mar 06,,,56.22,56.22,1083.18,1105.05,1161.27,,171.84,28.55,0.00,0.00,200.39,,69.51,149.39,25.45,97.54,341.89,1703.55,,,238.01,7.08,5.22,0.00,250.31,1106.83,6.12,0.00,33.66,1396.93,,0.00,139.57,48.20,6.62,112.23,0.00,306.62,1703.55,,,24.30,,29.43,0.00,0.00,0.25,,4.34,,0.12,,154.72,36.91,,33.18,,1227.31,966.27,,--,--
Mar 07,,,59.03,59.03,1462.83,1484.69,1543.72,,157.50,28.02,0.00,0.00,185.52,,639.50,180.20,25.99,126.70,972.38,2723.46,,,237.48,7.08,2.02,0.00,246.58,2045.92,18.85,0.00,25.16,2336.50,,0.00,180.01,64.86,21.53,120.56,0.00,386.96,2723.46,,,12.83,,29.31,0.00,0.00,0.10,,4.99,,0.10,,161.50,18.32,,33.18,,971.32,1739.64,,--,--
Mar 08,,,61.84,61.84,1720.35,1742.21,1804.05,,386.07,27.91,0.00,0.00,413.98,,371.43,218.24,18.91,278.19,886.78,3104.80,,,83.44,10.08,4.57,0.00,98.09,2193.77,20.08,0.00,16.38,2328.32,,0.00,195.83,63.50,14.04,162.18,340.94,776.48,3104.80,,,19.19,,35.37,0.00,0.00,0.13,,7.68,,0.03,,144.48,67.86,,33.18,,1178.38,1733.02,,--,--
Mar 09,,,61.84,61.84,1715.61,1737.48,1799.32,,334.64,24.37,0.00,0.00,359.01,,420.36,284.24,26.33,149.31,880.23,3038.56,,,86.56,10.50,6.90,0.00,103.96,2073.67,20.57,0.00,7.60,2205.80,,0.00,291.10,91.84,45.65,105.52,298.65,832.76,3038.56,,,26.74,,50.46,0.00,0.00,0.74,,9.50,,0.06,,136.73,108.59,,33.18,,687.41,1593.01,,--,--
Mar 10,,,61.84,61.84,1994.14,2016.00,2077.84,,328.21,19.22,0.00,0.00,347.44,,171.45,273.78,26.14,189.04,660.41,3085.69,,,95.30,10.50,5.57,0.00,111.36,2309.05,20.04,0.00,0.00,2440.46,,0.00,378.14,116.39,5.36,144.74,0.60,645.23,3085.69,,,71.10,,51.89,0.00,0.00,10.24,,25.15,,0.03,,155.59,85.13,,33.18,,1222.73,1817.32,,--,--
Mar 11,,,61.84,61.84,1972.75,1994.61,2056.45,,325.00,0.00,65.68,48.51,439.20,,180.47,125.14,119.01,184.98,609.59,3105.24,,,109.02,3.00,1.56,0.00,126.00,2166.54,8.80,43.04,0.60,2344.98,,124.36,429.91,101.90,6.87,92.04,5.18,760.26,3105.24,,,77.68,,54.25,0.00,0.00,0.07,,24.70,,0.29,,155.56,72.99,,33.18,,1923.93,1721.13,,23.76,100.15
Mar 12,,,61.84,61.84,2126.41,2148.27,2210.11,,325.03,0.00,63.46,64.71,453.19,,41.82,140.10,120.73,199.62,502.27,3165.57,,,116.55,23.54,2.69,0.00,142.78,2163.61,17.71,37.40,30.60,2392.09,,42.09,453.47,90.64,17.47,163.66,6.15,773.48,3165.57,,,82.46,,50.92,1.47,1.47,0.04,,33.04,,0.02,,157.31,56.75,,33.18,,1720.55,1730.31,,18.60,20.00
Mar 13,,,61.84,61.84,2256.23,2256.45,2318.29,,0.00,0.00,0.00,79.97,79.97,,183.57,148.50,514.64,195.24,1041.95,3440.21,,,125.43,21.25,3.77,0.00,150.45,2225.14,23.20,42.08,0.00,2440.87,,0.00,651.56,109.11,50.52,181.70,6.44,999.34,3440.21,,,148.39,,52.83,0.91,0.91,0.32,,37.81,,0.60,,152.26,79.51,,33.18,,2388.32,1758.34,,--,--
Mar 14,,,61.84,61.84,2507.92,2511.41,2573.25,,325.00,0.00,72.54,88.82,486.36,,131.51,149.29,154.52,199.12,634.44,3694.05,,,130.89,22.00,9.06,0.00,161.95,2405.66,49.55,46.81,70.50,2734.47,,0.00,635.92,114.87,7.88,189.92,10.98,959.57,3694.05,,,52.29,,52.71,3.03,3.03,1.72,,24.02,,1.28,,172.43,184.93,,33.18,,1796.84,1938.86,,--,--
