0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,361.79,361.79,3749.60,3749.60,4111.39,,2443.48,667.97,0.00,0.00,3111.45,,51.94,5077.01,397.76,1126.06,6652.77,13875.61,,,3099.59,58.08,538.84,0.00,3696.51,2912.06,102.69,0.00,18.16,6729.42,,0.00,1601.36,811.32,2005.04,2728.47,0.00,7146.19,13875.61,,,1450.32,,400.14,0.00,0.00,226.84,,228.25,,52.40,,1452.69,45.16,,111.29,,1260.05,2480.15,,--,--
Mar 06,,,382.87,382.87,5127.81,5154.20,5537.07,,2294.56,773.29,0.00,0.00,3067.85,,642.28,5535.87,364.45,1215.04,7757.64,16362.56,,,3478.91,91.13,951.19,0.00,4521.23,2015.15,150.75,0.00,14.12,6701.25,,0.00,2012.24,715.78,1119.43,5813.86,0.00,9661.31,16362.56,,,2185.63,,858.25,0.00,0.00,264.88,,274.65,,175.70,,2196.69,188.12,,111.29,,1550.00,1648.57,,--,--
Mar 07,,,385.41,385.41,6458.39,6484.34,6869.75,,2141.88,963.43,0.00,0.00,3105.31,,1867.26,5713.51,279.94,1364.32,9225.03,19200.09,,,3755.70,125.56,2513.32,0.00,6394.58,2477.00,176.60,0.00,10.09,9058.27,,0.00,2500.95,782.18,826.76,6031.93,0.00,10141.82,19200.09,,,5196.07,,982.01,0.00,0.00,472.76,,522.73,,197.33,,2687.30,27.38,,111.29,,1323.08,2117.86,,--,--
Mar 08,,,385.54,385.54,7428.45,7453.96,7839.50,,3884.98,1373.17,0.00,0.00,5258.15,,2395.54,8391.69,275.51,1989.43,13052.17,26149.82,,,5267.48,119.83,5064.96,0.00,10452.27,4910.27,397.45,0.00,6.05,15766.04,,0.00,2421.83,1130.73,2397.31,4433.91,0.00,10383.78,26149.82,,,5590.83,,1106.52,0.00,0.00,1314.31,,589.06,,234.53,,2754.05,90.07,,111.29,,2530.55,4145.82,,--,--
Mar 09,,,514.05,514.05,11855.15,11880.22,12394.27,,6063.43,2010.70,0.00,0.00,8074.13,,7102.13,8731.27,226.98,1877.26,17937.64,38406.04,,,7392.31,252.96,6954.04,0.00,14599.31,12968.13,1144.89,0.00,2.02,28714.35,,0.00,2229.81,1555.20,1141.82,4764.86,0.00,9691.69,38406.04,,,5433.07,,1348.53,0.00,0.00,861.55,,530.76,,216.69,,2206.43,230.14,,111.29,,558.32,12358.84,,--,--
Mar 10,,,570.60,570.60,14208.55,14233.18,14803.78,,11785.31,2300.14,0.00,0.00,14085.45,,4840.60,11824.69,2784.47,2763.43,22213.19,51102.42,,,10944.07,259.82,5232.15,0.00,16436.04,22336.90,791.50,0.00,0.00,39564.44,,0.00,2935.59,2391.92,1753.26,4457.21,0.00,11537.98,51102.42,,,3708.33,,1326.30,0.00,0.00,374.16,,621.59,,76.65,,1921.48,1126.08,,111.29,,345.53,21991.93,,--,--
Mar 11,,,637.71,637.71,19351.40,19375.59,20013.30,,9679.42,2023.16,2221.05,1253.25,15176.88,,4958.77,8817.27,3210.37,2013.86,19000.27,54190.45,,,10911.96,2505.11,1719.86,0.00,17216.10,22538.21,0.00,3429.64,34.84,43218.79,,86.00,3891.39,2602.88,2428.92,1850.62,111.85,10971.66,54190.45,,,19084.08,,1825.30,286.06,286.06,158.71,,590.31,,272.99,,3339.03,26.05,,111.29,,379.16,22190.15,,0.02,85.98
Mar 12,,,634.75,634.75,18967.51,18991.26,19626.01,,8004.50,2105.41,1959.63,646.26,12715.80,,3007.13,8744.83,7470.95,2954.56,22177.47,54519.28,,,11746.47,3273.05,1910.30,0.00,19056.19,17903.29,0.00,3488.11,100.42,40548.01,,2590.26,4588.23,2708.32,1840.96,1871.74,113.41,13712.92,54519.28,,,15413.62,,1364.69,540.98,540.98,362.48,,922.88,,461.04,,3598.22,78.73,,111.29,,299.54,17549.80,,--,2590.26
Mar 13,,,638.07,638.07,18473.46,18496.77,19134.84,,8051.78,1963.91,1238.44,691.19,11945.32,,6216.91,8455.02,4923.10,1509.58,21104.61,52184.77,,,12287.71,3168.03,1507.84,0.00,20208.54,18171.71,0.00,3575.24,94.32,42049.81,,1762.68,4455.03,1818.04,462.86,1532.09,104.26,10134.96,52184.77,,,15090.21,,1057.03,495.30,495.30,275.34,,830.75,,488.67,,3419.05,1466.78,,111.29,,204.82,17818.21,,--,1762.68
Mar 14,,,643.78,643.78,18510.00,18532.87,19176.65,,9746.45,43.11,1155.48,815.20,11760.24,,4769.08,9672.36,2463.18,1892.91,18797.53,49734.42,,,12133.50,3107.07,1716.85,0.00,21595.64,18357.57,0.00,2918.30,123.85,42995.36,,100.85,3862.53,1216.70,226.15,1223.77,109.06,6739.06,49734.42,,,12688.34,,1049.65,309.71,309.71,268.37,,937.89,,252.12,,3508.26,3433.47,,111.29,,253.07,18004.07,,--,100.85
