0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,553.67,553.67,6506.25,6506.25,7059.92,,2614.31,1607.41,0.00,0.00,4221.72,,125.39,778.76,1861.26,2648.56,5413.97,16695.61,,,7239.58,0.00,1872.66,0.00,9112.24,2432.65,777.99,0.00,214.82,12537.70,,0.00,1872.40,581.82,246.72,1456.97,0.00,4157.91,16695.61,,,2983.05,,1227.84,0.00,0.00,294.79,,143.44,,34.66,,2183.79,8.10,,252.97,,1952.43,2119.75,,--,--
Mar 06,,,553.67,553.67,9201.63,9201.63,9755.30,,2459.66,1716.40,0.00,0.00,4176.06,,56.49,814.88,2021.11,2361.44,5253.92,19185.28,,,8664.05,43.27,1157.73,0.00,9865.05,4069.96,759.40,0.00,253.27,14947.68,,0.00,2174.75,539.40,288.39,1204.11,30.95,4237.60,19185.28,,,3872.34,,1565.87,0.00,0.00,181.43,,148.71,,106.82,,2051.20,58.99,,252.97,,4079.52,3477.38,,--,--
Mar 07,,,580.67,580.67,13368.42,13368.42,13949.09,,9453.07,1718.96,0.00,0.00,11172.03,,192.26,1093.10,3537.18,1930.46,6753.00,32021.18,,,8478.60,64.52,2497.44,0.00,11040.56,6106.18,970.02,0.00,202.53,18319.29,,0.00,2332.98,631.63,7681.35,1244.85,1811.08,13701.89,32021.18,,,7185.93,,1907.10,0.00,0.00,295.05,,405.21,,160.37,,1957.76,146.13,,252.97,,2979.00,5793.46,,--,--
Mar 08,,,730.78,6203.30,21097.43,21097.43,27300.73,,17889.98,1915.70,0.00,0.00,19805.68,,131.71,1783.53,3143.03,2913.52,7971.79,55078.20,,,8188.81,67.30,4367.45,0.00,12623.56,4103.19,1233.90,0.00,155.11,18115.76,,0.00,2604.98,543.48,465.04,33348.94,0.00,36962.44,55078.20,,,9250.08,,1792.41,0.00,0.00,433.23,,683.77,,210.87,,2123.41,165.20,,252.97,,3260.65,3790.47,,--,--
Mar 09,,,730.79,6203.45,23501.15,23501.15,29704.60,,26216.20,1892.30,0.00,0.00,28108.50,,729.98,3842.78,3230.68,2934.19,10737.63,68550.73,,,10921.59,72.95,3487.68,0.00,14482.22,42371.78,1306.57,0.00,105.07,58265.64,,0.00,3480.47,635.98,1590.60,4330.43,247.61,10285.09,68550.73,,,12188.55,,4463.19,0.00,0.00,542.28,,1137.75,,237.75,,3308.67,65.88,,252.97,,1491.89,41665.63,,--,--
Mar 10,,,887.41,887.41,36281.34,36281.34,37168.75,,25239.20,2046.25,0.00,0.00,27285.45,,0.00,3341.87,3311.22,3303.68,9956.77,74410.97,,,12083.39,79.05,3843.59,0.00,16006.03,44979.67,1178.58,0.00,0.00,62164.28,,0.00,3077.75,434.83,3234.14,3628.57,1871.40,12246.69,74410.97,,,13184.61,,3369.83,0.00,0.00,672.71,,1209.58,,183.53,,2034.81,64.67,,252.97,,4397.79,44243.24,,--,--
Mar 11,,,959.41,959.41,45807.02,45807.02,46944.63,,24499.05,936.80,373.88,2201.47,28011.20,,149.13,4464.81,6262.10,2219.85,13095.89,89551.72,,,11532.58,272.52,5612.28,0.00,17417.38,43565.15,0.00,10453.41,2.76,71438.70,,2999.79,3953.76,424.02,4138.78,6458.94,137.73,18113.02,89551.72,,,14288.41,,4369.54,23.55,23.55,712.45,,956.11,,125.64,,2252.37,121.60,,252.97,,4914.95,42900.18,,--,2999.79
Mar 12,,,971.41,971.41,51649.95,51649.95,52621.36,,21353.20,970.51,216.05,1851.30,24391.06,,65.62,5973.23,8798.55,2066.24,16903.64,96191.06,,,11142.36,223.90,16058.49,0.00,27424.75,49078.35,0.00,6415.80,2.76,82921.66,,1204.17,4858.99,904.08,3946.99,1828.09,122.18,12864.50,96191.06,,,18039.57,,5912.14,35.85,35.85,1425.23,,967.19,,235.64,,1804.87,45.60,,252.97,,4911.43,48413.38,,--,1204.17
Mar 13,,,971.41,971.41,54238.27,54238.27,55209.68,,23565.57,1843.74,380.87,2113.42,27903.60,,70.94,6369.91,8503.54,1544.26,16488.65,101876.93,,,24650.54,224.51,8722.29,0.00,33597.34,49984.80,0.00,6574.15,190.04,90346.33,,434.00,5257.94,796.92,2218.11,2207.83,615.80,11530.60,101876.93,,,18999.02,,5689.56,132.80,132.80,1654.46,,1069.99,,193.49,,2341.08,32.37,,252.97,,4904.96,49000.56,,--,434.00
Mar 14,,,971.41,971.41,60176.58,60176.58,61147.99,,23808.09,2038.98,983.52,1905.05,28735.64,,43.69,8263.61,8671.67,1902.81,18881.78,111040.41,,,24064.43,201.32,18509.40,0.00,42775.15,52318.56,0.00,4080.07,302.03,99475.81,,2343.24,6007.81,770.81,961.16,1299.20,182.38,11564.60,111040.41,,,17398.71,,6011.17,91.55,91.55,2871.24,,804.58,,126.20,,2010.53,368.46,,252.97,,8390.72,51271.94,,--,2343.24
