0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 04,,,36.44,36.44,10.64,10.64,47.08,,0.00,0.98,0.00,0.00,0.98,,375.00,227.04,0.18,4.93,607.15,655.21,,,225.55,0.00,0.00,0.00,225.55,417.39,0.00,0.00,0.00,642.94,,0.00,0.00,0.25,2.25,9.77,0.00,12.27,655.21,,,0.33,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,378.98,37.50,,--,--
Mar 05,,,48.01,48.01,3273.04,3273.04,3321.05,,9.73,69.15,0.00,0.00,78.88,,111.01,445.68,268.60,527.58,1352.87,4752.80,,,908.16,0.00,120.28,0.00,1028.44,1404.42,4.83,0.00,0.00,2437.69,,0.00,0.00,1463.45,120.74,730.92,0.00,2315.11,4752.80,,,407.76,,0.00,0.00,0.00,50.28,,3079.08,,17.00,,7471.88,13.37,,9.11,,481.54,1024.53,,--,--
Mar 06,,,48.93,48.93,5560.40,5560.40,5609.33,,8.98,67.34,0.00,0.00,76.32,,26.52,737.09,434.81,540.54,1738.96,7424.61,,,1157.07,12.71,280.00,0.00,1449.78,1963.52,28.46,0.00,0.00,3441.76,,0.00,22.94,2326.63,171.17,1462.11,0.00,3982.85,7424.61,,,851.64,,96.28,0.00,0.00,122.02,,4427.57,,46.69,,10101.05,26.03,,9.11,,416.10,1583.63,,--,--
Mar 07,,,97.86,97.86,7961.13,7961.13,8058.99,,8.98,60.61,0.00,0.00,69.59,,41.76,868.48,821.37,905.05,2636.66,10765.24,,,1447.90,12.71,757.85,0.00,2218.46,3252.04,37.61,0.00,0.00,5508.11,,0.00,12.06,2799.80,557.14,1888.13,0.00,5257.13,10765.24,,,3003.25,,14.96,0.00,0.00,352.99,,6162.95,,61.57,,13702.63,99.84,,58.04,,957.53,2852.58,,--,--
Mar 08,,,97.86,197.86,10806.95,10806.95,11004.81,,8.98,121.38,0.00,0.00,130.36,,9.27,1239.37,1164.81,1187.44,3600.89,14736.06,,,1927.82,12.71,889.74,0.00,2830.27,4509.33,66.89,0.00,0.00,7406.49,,0.00,17.19,3747.01,527.52,3037.85,0.00,7329.57,14736.06,,,2726.11,,41.26,0.00,0.00,231.55,,6421.96,,114.19,,16645.63,130.85,,58.04,,661.29,4095.69,,--,--
Mar 09,,,97.86,197.86,13248.39,13248.39,13446.25,,38.92,103.05,0.00,0.00,141.97,,1.45,1312.57,2188.56,1450.23,4952.81,18541.03,,,2656.37,12.71,685.13,0.00,3354.21,5936.03,3.65,0.00,0.00,9293.89,,0.00,16.95,3717.73,1605.26,3907.20,0.00,9247.14,18541.03,,,2924.33,,42.35,0.00,0.00,260.52,,7867.52,,156.65,,20600.26,236.39,,58.04,,251.41,5992.44,,--,--
Mar 10,,,195.72,295.72,14820.90,14820.90,15116.62,,35.74,40.10,0.00,0.00,75.84,,0.00,2028.27,1284.37,3926.61,7239.25,22431.71,,,2747.81,12.71,940.72,0.00,3701.24,7893.39,53.13,0.00,0.00,11647.76,,0.00,6.78,3332.30,3396.16,4048.71,0.00,10783.95,22431.71,,,3292.50,,11.13,0.00,0.00,101.84,,7339.16,,195.47,,21244.20,45.37,,155.90,,1041.76,7509.85,,--,--
Mar 11,,,195.72,295.72,19283.77,19283.77,19579.49,,36.33,69.32,129.91,76.17,311.73,,0.00,2153.38,1584.27,2413.94,6151.59,26042.81,,,3363.78,58.40,1072.86,0.00,4495.04,5457.91,52.03,2864.09,2603.26,15472.33,,337.58,5.37,4806.67,3120.52,1369.05,931.29,10570.48,26042.81,,,3948.89,,14.04,0.00,0.00,361.82,,8890.64,,483.69,,26649.26,16.57,,155.90,,1612.11,5078.02,,--,337.58
Mar 12,,,195.72,295.72,24560.91,24560.91,24856.63,,96.23,118.10,197.59,154.78,566.70,,0.00,2847.18,1598.56,4389.74,8835.48,34258.81,,,4012.16,51.46,1399.82,0.00,5463.44,5150.15,139.74,4332.81,2636.88,17723.02,,538.24,4.14,9107.72,3280.07,1648.72,1956.90,16535.79,34258.81,,,6545.88,,8.19,0.00,0.00,227.49,,12263.02,,434.63,,34936.48,3162.38,,155.90,,1540.94,4770.26,,--,538.24
Mar 13,,,195.72,295.72,32266.53,32266.53,32562.25,,83.10,168.49,251.87,269.52,772.98,,80.02,3528.04,2172.71,3896.14,9676.91,43012.14,,,5059.48,44.80,1763.85,0.00,6868.13,5975.73,148.23,4630.21,1881.20,19503.50,,348.65,6.34,11202.32,4054.16,4911.48,2985.69,23508.64,43012.14,,,10984.51,,20.35,0.00,0.00,352.42,,15602.18,,724.91,,44851.24,1091.32,,155.90,,2093.70,5595.84,,--,348.65
