0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,20.35,20.35,462.48,462.48,482.82,,0.00,0.12,0.00,0.00,0.12,,0.00,111.77,0.00,60.63,172.40,655.35,,,170.05,0.00,7.05,0.00,177.10,114.93,0.32,0.00,0.00,292.36,,0.00,0.00,217.42,122.17,23.40,0.00,362.99,655.35,,,17.99,,0.00,0.00,0.00,9.50,,424.71,,14.66,,916.22,3.75,,15.20,,--,114.93,,--,--
Mar 06,,,20.80,20.80,577.06,577.06,597.86,,0.00,0.14,0.00,0.00,0.14,,0.00,195.77,0.00,202.15,397.91,995.92,,,156.80,0.00,19.33,0.00,176.13,294.75,0.63,0.00,0.00,471.51,,0.00,0.00,412.76,51.58,60.07,0.00,524.41,995.92,,,46.43,,0.00,0.00,0.00,9.93,,470.29,,5.36,,1190.00,6.17,,15.20,,--,294.75,,--,--
Mar 07,,,121.22,121.22,756.76,756.76,877.98,,0.00,0.14,0.00,0.00,0.14,,52.65,498.70,0.00,139.27,690.63,1568.89,,,247.04,0.00,54.65,0.00,301.68,283.21,1.51,0.00,0.00,586.41,,0.00,0.00,792.02,28.92,161.55,0.00,982.48,1568.89,,,136.38,,0.00,0.00,0.00,23.43,,1633.97,,51.14,,2730.65,2.90,,105.35,,--,283.21,,--,--
Mar 08,,,121.40,121.40,1107.00,1107.00,1228.40,,0.00,0.10,0.00,0.00,0.10,,95.00,509.10,125.00,258.40,987.50,2216.00,,,290.90,0.00,138.50,0.00,429.40,298.60,1.50,0.00,0.00,729.50,,0.00,0.00,1057.40,81.40,347.70,0.00,1486.50,2216.00,,,169.50,,0.00,0.00,0.00,45.30,,1813.30,,--,,2559.30,4.40,,105.35,,--,298.60,,--,--
Mar 09,,,121.70,121.70,1759.20,1759.20,1880.90,,0.00,0.10,0.00,0.00,0.10,,0.00,501.10,170.70,199.00,870.80,2751.80,,,482.50,7.60,154.10,0.00,644.20,453.50,15.50,0.00,0.00,1113.20,,0.00,1.30,854.50,496.10,286.70,0.00,1638.60,2751.80,,,138.70,,0.00,0.00,0.00,57.90,,1555.40,,45.40,,4275.50,3.70,,105.35,,--,453.50,,--,--
Mar 10,,,122.30,122.30,2744.20,2744.20,2866.50,,997.60,0.00,0.00,0.00,997.60,,369.60,453.30,121.10,260.50,1204.50,5836.50,,,586.40,7.60,320.80,0.00,914.80,3113.90,22.30,0.00,0.00,4051.00,,0.00,1.40,993.00,138.00,653.10,0.00,1785.50,5836.50,,,335.50,,1.00,0.00,0.00,272.20,,1772.60,,--,,4156.90,969.60,,105.35,,--,3113.90,,--,--
Mar 11,,,126.00,126.00,3258.00,3258.00,3384.00,,640.00,0.00,393.10,133.80,1166.90,,542.70,303.40,532.40,151.00,1529.50,6080.40,,,597.00,3.00,60.80,0.00,660.80,3114.90,53.20,410.30,0.00,4239.20,,0.00,0.60,964.30,193.80,682.50,0.00,1841.20,6080.40,,,354.10,,0.00,0.00,0.00,73.60,,1761.60,,13.30,,4165.70,43.00,,105.35,,--,3158.80,,--,--
Mar 12,,,127.50,127.50,3315.70,3315.70,3443.20,,600.00,0.00,430.90,170.60,1201.50,,526.60,468.40,566.90,138.80,1700.70,6345.40,,,646.30,6.30,162.70,0.00,815.30,3133.10,82.00,334.10,0.00,4364.50,,120.30,0.20,1243.10,138.90,478.40,0.00,1980.90,6345.40,,,265.80,,0.00,0.00,0.00,63.70,,2083.40,,11.90,,4702.80,4.60,,105.35,,--,3177.00,,--,120.30
Mar 13,,,128.10,128.10,4054.40,4054.40,4182.50,,300.00,0.00,227.00,169.20,696.20,,804.50,564.40,804.60,206.00,2379.50,7258.50,,,713.30,6.80,28.40,0.00,748.50,3807.50,94.40,449.60,0.00,5100.00,,0.00,0.00,1372.50,271.10,331.00,183.90,2158.50,7258.50,,,558.90,,0.00,0.00,0.00,29.30,,2470.60,,11.90,,5549.70,1.20,,105.35,,--,3851.40,,--,--
Mar 14,,,233.50,233.50,8355.10,8355.10,8588.60,,5.00,0.00,374.10,320.30,699.40,,0.00,1431.90,1698.00,1089.40,4219.30,14739.20,,,1793.90,39.70,264.00,0.00,2097.60,2294.00,310.90,940.60,15.70,5658.80,,0.00,0.00,3927.80,2826.30,1348.00,978.30,9080.40,14739.20,,,2385.10,,0.00,0.00,0.00,149.80,,8134.00,,0.10,,15550.20,5.80,,105.35,,16.20,2967.60,,--,--
Mar 15,,,480.40,480.40,10775.40,10775.40,11255.80,,0.00,0.00,0.00,329.30,329.30,,0.00,1833.10,890.30,1477.30,4200.70,17016.50,,,1948.50,32.50,551.10,0.00,2532.10,3630.90,288.00,1076.50,0.10,7527.60,,456.80,0.00,4240.80,1819.50,1745.20,1226.60,9488.90,17016.50,,,6390.60,,0.00,0.00,0.00,209.80,,10365.30,,0.20,,18366.90,18.70,,345.51,,44.70,4188.00,,--,467.70
Mar 16,,,483.90,483.90,13068.30,13068.30,13552.20,,170.90,0.00,0.00,346.60,517.50,,0.00,2183.70,1015.30,2149.40,5348.40,20649.90,,,2256.90,22.80,627.50,0.00,2907.20,3796.30,385.70,1260.60,26.50,8376.30,,1049.00,0.00,5154.40,3284.80,1556.30,1229.10,12273.60,20649.90,,,2980.00,,0.00,0.00,0.00,80.50,,11755.20,,0.30,,19990.30,351.40,,345.51,,39.20,3992.80,,--,1059.90
Mar 17,,,486.80,486.80,16401.50,16401.50,16888.30,,174.20,0.00,359.10,384.00,917.30,,0.00,2211.20,2247.90,235.80,4694.90,23732.80,,,2427.60,25.10,361.80,45.50,2860.00,5747.60,24.90,74.40,1897.00,10603.90,,1968.80,0.00,4571.70,2083.90,517.40,3987.10,13128.90,23732.80,,,7787.30,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,345.51,,--,5714.60,,--,--
Mar 18,,,489.70,489.70,19049.10,19049.10,19538.80,,145.00,0.00,461.20,395.40,1001.60,,0.00,2031.40,2756.10,238.20,5025.70,26798.80,,,2237.90,863.60,235.40,128.90,3465.80,6865.00,275.00,0.00,1852.30,12458.10,,3243.10,0.00,5070.00,1929.30,350.90,3747.40,14340.70,26798.80,,,8156.90,,0.00,0.00,0.00,0.00,,13267.60,,--,,22501.60,--,,345.51,,--,6852.80,,--,--
Mar 19,,,491.70,491.70,20153.70,20153.70,20645.40,,4.30,0.00,203.20,410.00,617.50,,0.00,2888.00,4756.60,199.70,7844.30,30339.60,,,1901.90,769.50,271.30,114.10,3056.80,6628.70,218.20,0.00,2519.00,12422.70,,6332.00,0.00,5963.30,1208.50,6.80,4406.30,17916.90,30339.60,,,7329.90,,0.00,0.00,0.00,0.00,,15021.80,,--,,--,25495.80,,345.50,,692.90,6095.30,,1383.80,4948.20
