0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,42.28,82.28,94.97,94.97,177.24,,176.86,35.23,0.00,0.00,212.09,,141.16,205.20,40.48,20.93,407.76,797.09,,,165.13,0.00,9.78,0.00,174.91,27.02,5.91,0.00,24.40,232.24,,0.00,271.62,77.09,44.01,172.14,0.00,564.85,797.09,,,39.84,,134.72,0.00,0.00,2.89,,9.55,,0.00,,89.40,7.09,,--,,0.78,26.27,,--,--
Mar 06,,,42.28,82.28,150.30,150.30,232.57,,105.56,30.75,0.00,0.00,136.31,,162.37,293.23,39.90,26.72,522.22,891.11,,,176.46,0.00,19.56,0.00,196.02,27.02,7.00,0.00,14.31,244.35,,0.00,374.39,90.12,38.29,143.96,0.00,646.76,891.11,,,64.22,,187.03,0.00,0.00,17.79,,8.42,,0.00,,87.36,5.40,,--,,0.76,26.27,,--,--
Mar 07,,,44.39,44.39,283.06,283.06,327.44,,95.72,34.40,0.00,0.00,130.11,,151.29,458.62,78.24,151.96,840.11,1297.67,,,187.88,63.27,15.97,0.00,267.12,27.02,16.95,0.00,4.21,315.30,,0.00,677.48,92.06,50.73,162.10,0.00,982.37,1297.67,,,76.01,,433.04,0.00,0.00,7.04,,9.77,,0.01,,115.62,4.83,,--,,0.75,26.27,,--,--
Mar 08,,,44.39,44.39,391.78,391.78,436.17,,109.56,36.88,0.00,0.00,146.44,,148.34,657.65,148.15,73.90,1028.04,1610.64,,,209.19,63.27,9.99,0.00,282.45,47.39,12.17,0.00,0.00,342.01,,0.00,1021.09,96.45,51.91,99.17,0.00,1268.62,1610.64,,,58.41,,1126.99,0.00,0.00,14.88,,13.14,,0.01,,138.39,4.01,,--,,0.75,46.64,,--,--
Mar 09,,,44.39,44.39,506.85,506.85,551.24,,111.52,32.87,0.00,0.00,144.39,,63.89,696.71,244.42,93.44,1098.46,1794.09,,,211.21,63.27,19.52,0.00,294.00,7.66,14.69,0.00,0.00,316.36,,0.00,1202.69,106.22,54.69,114.13,0.00,1477.73,1794.09,,,65.46,,1098.59,0.00,0.00,7.71,,26.86,,0.01,,130.11,2.45,,--,,0.10,7.57,,--,--
Mar 10,,,44.39,44.39,679.99,679.99,724.38,,72.79,22.69,0.00,0.00,95.48,,0.00,722.17,427.42,134.74,1284.33,2104.19,,,199.36,63.27,12.29,0.00,274.92,7.63,17.93,0.00,0.00,300.48,,0.00,1340.33,93.61,186.72,183.06,0.00,1803.71,2104.19,,,72.19,,1990.51,0.00,0.00,11.57,,20.97,,0.02,,100.61,0.94,,--,,0.25,7.53,,--,--
Mar 11,,,44.39,44.39,980.99,980.99,1025.38,,9.45,1.52,2.53,41.52,55.02,,0.00,1522.70,953.90,178.56,2655.16,3735.56,,,269.57,13.50,16.64,0.00,299.71,9.13,0.00,121.53,0.00,430.37,,0.00,1993.83,113.68,1096.50,85.59,15.59,3305.19,3735.56,,,404.10,,2899.58,0.00,0.00,4.13,,33.34,,0.03,,126.90,0.25,,--,,0.24,9.03,,--,--
Mar 12,,,88.78,88.78,1361.12,1361.12,1449.90,,5.89,0.00,11.44,57.55,74.88,,0.00,1750.15,1187.91,236.69,3174.75,4699.53,,,357.75,10.97,24.85,0.00,393.58,16.05,3.77,127.94,0.00,541.34,,0.00,2878.67,163.11,960.53,123.25,32.63,4158.19,4699.53,,,495.65,,3949.66,0.00,0.00,22.64,,26.66,,0.04,,160.48,0.35,,44.39,,0.22,15.96,,--,--
Mar 13,,,88.78,88.78,1876.09,1876.09,1964.87,,0.00,0.00,0.00,62.90,62.90,,0.00,2097.26,1456.58,293.18,3847.02,5874.79,,,440.22,8.42,41.66,0.00,490.30,18.51,8.04,184.41,0.00,701.25,,0.00,3677.94,163.79,1136.55,185.73,9.52,5173.53,5874.79,,,750.47,,2869.57,0.00,0.00,20.60,,36.26,,0.06,,197.31,0.52,,44.39,,0.19,18.42,,--,--
Mar 14,,,88.78,88.78,2435.18,2435.18,2523.96,,0.00,0.00,0.00,71.76,71.76,,806.27,857.73,1536.10,311.20,3511.30,6107.02,,,590.34,5.89,32.87,0.00,629.11,26.57,9.35,203.72,0.00,868.75,,0.00,3867.19,152.02,888.93,313.42,16.71,5238.27,6107.02,,,695.21,,1002.67,0.00,0.00,25.69,,32.37,,0.07,,220.39,0.73,,44.39,,0.22,26.48,,--,--
