0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 05,,,124.40,124.40,942.73,942.73,1067.13,,1387.04,594.84,0.00,0.00,1981.88,,144.34,224.67,190.76,23.87,583.64,3632.65,,,2548.90,0.00,48.18,0.00,2597.08,184.79,13.13,0.00,0.00,2795.00,,0.00,283.71,171.95,56.26,325.73,0.00,837.65,3632.65,,,130.74,,258.93,0.00,0.00,0.90,,65.32,,0.46,,514.64,18.59,,--,,--,184.79,,--,--
Mar 06,,,124.40,124.40,913.78,913.78,1038.18,,1437.68,586.39,0.00,0.00,2024.07,,14.15,318.13,198.74,39.18,570.20,3632.54,,,2537.17,0.00,141.03,0.00,2678.20,172.39,9.43,0.00,0.00,2860.02,,0.00,379.57,172.55,61.60,158.80,0.00,772.52,3632.54,,,685.42,,229.50,0.00,0.00,13.61,,61.79,,0.72,,490.25,12.53,,--,,--,172.39,,--,--
Mar 07,,,124.49,124.49,1639.29,1639.29,1763.78,,1557.72,572.22,0.00,0.00,2129.94,,20.91,463.99,272.72,18.47,776.09,4669.81,,,2517.28,0.00,696.95,0.00,3214.23,483.45,11.96,0.00,0.00,3709.64,,0.00,433.58,183.50,89.59,253.50,0.00,960.17,4669.81,,,1942.56,,363.03,0.00,0.00,140.12,,77.11,,7.06,,668.75,4.75,,--,,--,483.45,,--,--
Mar 08,,,124.49,124.49,2571.73,2571.73,2696.22,,1427.21,555.95,0.00,0.00,1983.16,,313.29,776.79,376.22,125.55,1591.85,6272.00,,,2500.46,0.00,2283.15,0.00,4783.61,170.90,13.60,0.00,0.00,4968.11,,0.00,609.76,216.61,100.69,376.83,0.00,1303.89,6272.00,,,645.17,,464.12,0.00,0.00,353.51,,80.66,,--,,503.78,17.28,,--,,--,170.90,,--,--
Mar 09,,,124.49,124.49,3475.93,3475.93,3600.42,,1839.74,739.67,0.00,0.00,2579.41,,301.89,723.09,397.83,121.80,1544.61,7726.12,,,4628.97,6.72,677.28,0.00,5312.97,1034.80,16.74,0.00,0.00,6364.51,,0.00,691.97,186.18,104.49,378.97,0.00,1361.61,7726.12,,,355.07,,648.39,0.00,0.00,75.18,,121.85,,4.07,,574.14,45.69,,--,,--,1034.80,,--,--
Mar 10,,,124.49,124.49,4482.17,4482.17,4606.66,,1558.35,854.52,0.00,0.00,2412.87,,46.17,681.51,456.57,161.01,1345.26,8366.78,,,4930.88,10.80,259.37,0.00,5201.05,1669.55,23.79,0.00,0.00,6894.39,,0.00,821.70,215.83,83.73,351.13,0.00,1472.39,8366.78,,,420.26,,459.68,0.00,0.00,32.25,,92.44,,3.79,,460.99,20.46,,--,,--,1669.55,,--,--
Mar 11,,,274.04,274.04,10392.00,10392.00,10666.04,,2314.66,1730.05,2.20,112.40,4159.31,,320.40,1698.74,2688.96,461.08,5169.18,19994.53,,,11362.97,37.28,681.69,0.00,12082.08,272.53,0.00,561.75,0.00,12916.36,,3457.79,1956.52,602.29,144.79,904.49,12.29,7078.17,19994.53,,,4220.47,,130.01,0.00,0.00,43.38,,97.41,,14.89,,389.37,24.68,,--,,--,272.53,,--,3457.79
Mar 12,,,274.07,274.07,12585.75,12585.75,12859.82,,3648.19,1737.77,3.53,120.57,5510.06,,159.94,2089.70,1623.51,700.17,4573.32,22943.20,,,11597.24,36.94,1895.99,0.00,13530.81,1147.83,0.00,1462.42,0.00,16141.06,,2640.94,2035.94,765.96,188.19,1163.58,7.53,6802.14,22943.20,,,5892.68,,226.21,0.00,0.00,254.90,,117.02,,29.50,,386.48,29.87,,--,,75.02,1071.37,,15.21,2625.73
Mar 13,,,274.18,274.18,14960.64,14960.64,15234.82,,3893.92,1905.92,1.81,134.02,5935.67,,568.76,2173.14,2561.30,935.18,6238.38,27408.87,,,13074.00,48.36,3505.31,0.00,16627.73,1981.77,0.00,983.17,0.00,19592.67,,3126.95,2350.47,1017.24,142.66,1173.22,5.66,7816.20,27408.87,,,5034.32,,256.76,0.00,0.00,383.90,,94.40,,1.21,,313.55,46.43,,--,,80.35,1905.31,,--,3126.95
Mar 14,,,274.24,274.24,16823.27,16823.27,17097.51,,4493.58,2295.83,2.30,137.94,6929.65,,379.20,2424.22,2088.41,835.02,5726.85,29754.01,,,15780.92,90.92,2038.44,0.00,17913.47,1662.33,0.00,1180.54,0.00,20756.34,,3729.34,2368.36,1281.02,277.50,1326.19,15.26,8997.67,29754.01,,,6374.70,,428.57,0.00,0.00,48.96,,115.79,,1.36,,287.44,52.28,,--,,75.26,1585.87,,--,3729.34
Mar 15,,,274.40,274.40,18583.28,18583.28,18857.68,,4613.75,2792.01,1.34,163.36,7570.46,,1898.08,2738.97,3010.11,1139.65,8786.81,35214.95,,,20878.66,68.80,2068.85,0.00,23021.15,2685.77,0.00,1595.61,0.00,27302.53,,2522.98,2751.41,1203.19,213.94,1204.91,15.99,7912.42,35214.95,,,7736.73,,337.54,0.00,0.00,170.26,,171.44,,1.36,,301.38,54.50,,--,,81.57,2609.31,,26.18,2496.80
Mar 16,,,274.43,274.43,21357.40,21357.40,21631.83,,2667.89,2431.99,7.98,252.73,5360.59,,2338.75,1581.46,7216.08,161.86,11298.15,38290.57,,,22376.71,310.83,1414.48,0.00,24103.10,3433.20,0.00,65.89,952.93,28555.12,,2359.98,2277.61,1414.89,2235.20,118.99,1328.78,9721.00,38290.57,,,4531.96,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,408.34,3024.86,,10.36,2349.62
Mar 17,,,274.51,274.51,23666.50,23666.50,23941.01,,4200.12,2773.56,37.27,270.73,7281.68,,1015.84,1713.80,5169.33,159.43,8058.40,39281.09,,,22898.23,333.53,877.76,0.00,24110.15,2002.72,0.00,55.53,637.64,26806.04,,5405.95,2224.99,1276.17,2217.74,123.95,1226.25,12475.05,39281.09,,,6177.58,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,605.90,1396.82,,109.16,5296.79
Mar 18,,,274.61,274.61,25648.41,25648.41,25923.02,,13878.36,3174.05,34.84,320.46,17407.71,,2687.83,2343.53,5709.27,301.64,11042.27,54373.00,,,34218.98,2991.86,1472.97,0.00,38684.72,2214.19,0.00,34.25,2854.23,43787.39,,3948.71,3101.50,1714.20,199.32,111.02,1510.86,10585.61,54373.00,,,6098.15,,0.00,0.00,0.00,0.00,,256.47,,--,,--,527.30,,--,,574.13,1640.06,,--,3948.71
Mar 19,,,274.64,274.64,27611.36,27611.36,27909.00,,16038.50,5246.52,6.27,142.71,21434.00,,3586.82,2971.33,7399.50,581.94,14539.59,69270.95,,,40404.82,6231.93,1106.19,0.00,47747.63,5549.66,0.00,142.84,3152.87,56593.00,,1514.85,3787.47,2353.19,656.47,1933.47,2432.50,12677.95,69270.95,,,10925.64,,0.00,0.00,0.00,0.00,,314.59,,--,,--,567.67,,--,,470.90,5078.76,,57.54,1457.31
Mar 20,,,288.63,288.63,37971.86,37971.86,38296.32,,14147.63,4076.88,819.66,213.13,19257.30,,3953.21,3250.85,6524.73,534.51,14263.30,71816.92,,,40670.33,6104.96,860.01,0.00,47645.37,5838.93,0.00,141.94,3439.16,57065.40,,4243.69,3833.88,1848.28,310.52,1903.53,2611.62,14751.52,71816.92,,,10723.73,,0.00,0.00,0.00,0.00,,276.83,,--,,--,391.52,,--,,709.27,5129.66,,75.96,4167.73
Mar 21,,,288.65,288.65,43020.37,43020.37,43352.64,,10684.56,5219.14,1242.92,329.08,17475.70,,4230.15,4380.18,10470.67,506.76,19587.76,80416.10,,,39380.38,6085.74,1522.07,0.00,46993.91,6757.67,0.00,144.35,3527.80,57423.73,,10812.01,3722.05,2285.99,1876.55,897.18,3398.59,22992.37,80416.10,,,11085.77,,0.00,0.00,0.00,0.00,,4022.11,,--,,--,397.21,,--,,1147.87,5609.80,,56.12,10755.89
Mar 22,,,288.67,288.67,48932.26,48932.26,49270.64,,5303.00,5229.92,1099.74,585.84,12218.50,,4588.11,5343.26,9009.57,231.65,19172.59,80661.73,,,39555.51,6021.40,4619.12,0.00,50203.44,6880.97,0.00,9.59,4575.94,61669.94,,4843.54,5162.54,2706.82,259.86,2573.35,3445.68,18991.79,80661.73,,,8743.04,,0.00,0.00,0.00,0.00,,6303.72,,--,,--,376.88,,--,,573.58,6307.39,,90.97,4752.57
Mar 23,,,288.69,288.69,52567.99,52567.99,52936.86,,4534.67,5475.78,1109.36,596.20,11716.01,,4215.67,6586.99,11263.78,181.68,22248.12,86900.99,,,43422.88,6019.26,3807.17,0.00,53254.79,7055.78,0.00,9.22,4716.56,65036.35,,5803.46,6084.24,3242.17,1017.11,2536.32,3181.34,21864.64,86900.99,,,10741.65,,0.00,0.00,0.00,0.00,,9159.33,,--,,--,395.38,,--,,442.96,6612.82,,534.69,5268.77
Mar 24,,,288.69,288.69,58684.58,58684.58,59095.23,,4473.57,6425.02,1031.53,644.58,12574.70,,3613.76,8115.97,12988.11,243.21,24961.05,96630.99,,,49487.83,10442.23,6736.18,0.00,66694.65,3754.33,0.00,8.31,5124.09,75581.38,,5482.99,8035.82,3496.54,770.50,8.70,3255.06,21049.61,96630.99,,,12285.07,,0.00,0.00,0.00,0.00,,0.00,,--,,--,--,,--,,1487.48,2266.85,,298.77,5184.22
