0,EQUITIES AND LIABILITIES,SHAREHOLDER'S FUNDS,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,NON-CURRENT LIABILITIES,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,CURRENT LIABILITIES,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,ASSETS,NON-CURRENT ASSETS,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,CURRENT ASSETS,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,OTHER ADDITIONAL INFORMATION,"CONTINGENT LIABILITIES, COMMITMENTS",Contingent Liabilities,CIF VALUE OF IMPORTS,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,EXPENDITURE IN FOREIGN EXCHANGE,Expenditure In Foreign Currency,REMITTANCES IN FOREIGN CURRENCIES FOR DIVIDENDS,Dividend Remittance In Foreign Currency,EARNINGS IN FOREIGN EXCHANGE,FOB Value Of Goods,Other Earnings,BONUS DETAILS,Bonus Equity Share Capital,NON-CURRENT INVESTMENTS,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,CURRENT INVESTMENTS,Current Investments Quoted Market Value,Current Investments Unquoted Book Value
Mar 04,,,46.55,46.55,3461.04,3461.04,3507.59,,6.11,0.00,0.00,0.00,6.11,,94.58,252.57,603.75,824.57,1775.47,5289.17,,,641.29,13.72,139.71,0.00,794.73,2456.03,31.55,0.00,0.00,3282.32,,0.00,102.08,1062.34,290.09,552.34,0.00,2006.85,5289.17,,,387.99,,270.73,0.00,0.00,0.00,,2122.32,,0.27,,4.09,3831.66,,45.38,,1803.84,654.63,,--,--
Mar 05,,,140.71,140.71,4751.73,4751.73,4892.44,,5.70,2.70,0.00,0.00,8.40,,56.40,323.98,884.45,523.70,1788.53,6690.57,,,892.24,15.72,250.24,0.00,1158.20,2859.51,34.56,0.00,0.00,4052.27,,0.00,127.37,1406.51,536.90,556.14,11.38,2638.30,6690.57,,,676.65,,249.70,0.00,0.00,0.00,,3654.94,,9.82,,10.25,5363.44,,138.51,,2088.71,782.71,,--,--
Mar 06,,,285.15,285.15,6135.30,6135.30,6420.45,,5.27,0.00,0.00,0.00,5.27,,44.89,362.88,1413.95,1011.56,2833.28,9266.49,,,1102.38,15.87,612.36,0.00,1730.61,3459.20,38.14,0.00,0.00,5227.95,,0.00,148.65,1968.07,823.00,1098.82,0.00,4038.54,9266.49,,,509.18,,386.38,0.00,0.00,0.00,,3081.66,,5.15,,15.45,7067.84,,279.69,,2956.87,514.23,,--,--
Mar 07,,,291.80,291.80,9025.10,9025.10,9316.90,,238.00,0.00,0.00,0.00,238.00,,0.00,0.00,2998.90,765.20,3764.10,13322.50,,,1645.90,0.00,989.50,0.00,2635.40,4348.70,46.60,0.00,0.00,7030.70,,0.00,240.40,2582.30,1849.20,1619.90,0.00,6291.80,13322.50,,,661.60,,0.00,0.00,0.00,0.00,,0.00,,--,,--,10954.60,,279.69,,--,1234.10,,--,--
Mar 08,,,292.30,292.30,11260.40,11260.40,11552.70,,3822.40,0.00,0.00,0.00,3822.40,,0.00,0.00,3361.60,1380.70,4742.30,20175.40,,,2239.50,42.70,1335.00,0.00,3617.20,4500.10,51.70,0.00,0.00,8169.00,,0.00,448.10,3646.60,3732.10,4179.60,0.00,12006.40,20175.40,,,749.90,,0.00,0.00,0.00,0.00,,0.00,,--,,--,12885.20,,279.69,,--,--,,--,--
Mar 09,,,293.00,293.00,12220.50,12220.50,12513.50,,110.40,0.00,0.00,0.00,110.40,,4903.50,1525.20,4039.10,1810.70,12278.50,24903.90,,,3017.80,161.80,1311.80,0.00,4491.40,6895.30,57.80,0.00,0.00,11444.50,,0.00,459.60,4446.40,4409.20,4002.10,142.10,13459.40,24903.90,,,1045.40,,915.00,0.00,0.00,24.40,,7034.90,,9.30,,595.80,16027.10,,279.87,,--,6884.50,,--,--
Mar 10,,,293.60,293.60,17396.80,17396.80,17690.40,,90.30,0.00,0.00,0.00,90.30,,5439.90,1495.70,3378.50,2230.80,12544.90,30327.40,,,3494.50,161.80,991.10,0.00,4647.40,8966.50,34.80,0.00,0.00,13648.70,,0.00,606.90,5016.40,5664.30,5000.80,390.30,16678.70,30327.40,,,778.00,,1752.70,0.00,0.00,71.50,,7164.41,,0.01,,418.60,16374.30,,279.87,,1855.80,7111.70,,--,--
Mar 11,,,490.80,490.80,20829.40,20829.40,21320.20,,1935.40,0.00,265.90,273.70,2475.00,,2775.40,3609.90,1245.40,2693.90,10324.60,34119.80,,,4104.50,132.50,396.40,0.00,4633.40,6018.40,10.80,962.70,782.30,12407.60,,4795.00,724.90,5781.30,5203.30,2483.50,2724.20,21712.20,34119.80,,,1677.90,,2735.80,0.00,0.00,23.10,,8854.31,,0.01,,18348.30,28.80,,475.82,,--,6018.40,,2464.50,2335.10
Mar 12,,,491.70,491.70,23860.80,23860.80,24352.50,,2202.20,5.80,35.50,259.30,2502.80,,3041.00,3892.20,2050.70,2756.70,11740.60,38595.90,,,4196.10,453.70,301.20,0.00,4951.00,6294.30,32.60,940.40,919.40,13137.70,,4040.90,785.10,7967.00,6232.80,3321.10,3111.30,25458.20,38595.90,,,2820.50,,2298.20,0.00,0.00,39.40,,9978.22,,0.02,,23419.40,21.90,,475.82,,--,6294.30,,1999.60,2043.80
Mar 13,,,492.60,492.60,23736.90,23736.90,24229.50,,59.00,52.80,11.80,228.90,352.50,,3987.00,4922.80,3805.40,3409.40,16124.60,40706.60,,,3556.00,353.40,378.90,0.00,4288.30,4854.70,115.10,2516.80,546.90,12321.80,,6049.50,320.50,8499.40,7800.40,2124.40,3590.60,28384.80,40706.60,,,2657.80,,2101.70,0.00,0.00,0.00,,12068.52,,0.02,,28076.10,26.40,,475.82,,--,4854.70,,706.80,5346.90
