0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,126.14,-168.77,127.60,148.32,0.00,0.00,107.15,104.48,211.63
Mar 05,130.62,-224.36,121.79,375.33,0.00,0.00,272.75,211.63,484.38
Mar 06,156.45,-225.14,150.72,201.90,0.00,0.00,127.48,484.38,611.86
Mar 07,198.31,-340.13,-361.15,1452.31,0.00,0.00,751.03,611.85,1362.88
Mar 08,352.51,719.25,-646.92,-330.63,0.00,0.00,-258.30,1362.88,1104.58
Mar 09,374.60,1106.14,-185.25,-457.87,0.00,0.00,463.02,1096.23,1559.25
Mar 10,287.75,-407.95,93.14,214.25,0.00,0.00,-100.56,1550.21,1449.65
Mar 11,263.91,-407.47,-3706.85,3310.46,-6.48,1.15,-809.19,906.52,97.33
Mar 12,387.08,-258.41,-724.56,983.98,0.00,0.00,1.01,97.61,98.62
Mar 13,611.15,-273.09,-2967.32,3362.88,0.00,0.00,122.47,98.62,221.09
Mar 14,-362.32,588.00,-1051.42,392.25,0.00,0.00,-71.17,221.09,149.92
Mar 15,431.95,219.80,1863.20,-2049.73,0.00,0.00,33.27,149.92,183.19
Mar 16,479.60,-703.61,1100.13,-530.44,0.00,29.98,-103.94,183.19,79.25
Mar 17,385.95,-156.11,645.68,-308.27,0.00,0.00,181.30,78.63,259.93
Mar 18,290.29,1011.57,145.76,-1144.32,0.00,0.00,13.01,259.93,272.94
Mar 19,629.96,1907.96,2396.77,-4436.85,0.00,0.00,-132.12,272.95,140.83
Mar 20,969.55,601.38,91.27,-422.40,0.00,0.00,270.25,140.83,411.08
Mar 21,555.26,1557.26,-1317.55,-632.09,0.00,0.00,-392.38,411.08,18.70
Mar 22,1113.25,2105.01,-3125.86,1065.74,0.00,0.00,44.89,18.70,63.59
Mar 23,2213.74,11187.32,-16008.75,5110.32,0.00,0.00,288.89,63.59,352.48
Mar 24,3795.39,507.88,-2465.88,2099.57,0.00,-48.12,93.45,352.48,445.93
