0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,3.43,300.24,-324.45,24.85,0.00,0.00,0.64,3.44,4.08
Mar 05,90.47,202.79,-340.49,156.61,0.00,0.00,18.91,11.66,30.58
Mar 06,116.16,200.76,-417.16,283.40,0.00,0.00,67.00,30.58,97.58
Mar 07,174.97,448.26,-663.30,174.37,0.00,0.00,-40.68,97.58,56.90
Mar 08,355.16,519.15,-1121.95,2204.52,0.00,0.00,1601.73,32.67,1634.40
Mar 09,514.03,695.07,-1112.40,-52.34,0.00,0.00,-469.67,1634.41,1164.73
Mar 10,760.45,1035.04,-1767.76,675.19,0.00,0.00,-57.54,261.24,203.70
Mar 11,1076.88,1259.16,-483.68,-914.42,0.00,0.00,-138.93,203.70,64.77
Mar 12,1269.59,1287.44,-3819.17,2680.58,0.00,0.00,148.85,64.77,213.62
Mar 13,1889.19,1369.84,-2445.86,1416.89,0.00,0.00,340.87,213.62,554.49
Mar 14,2210.25,1601.61,-2313.63,249.88,0.00,0.00,-462.14,554.49,92.35
Mar 15,2148.17,1998.20,-3556.48,1908.94,0.00,0.00,350.66,92.35,443.01
Mar 16,3106.27,1712.96,-2953.73,1497.63,0.00,0.00,256.86,443.01,699.87
Mar 17,3292.94,2312.51,-4181.08,1717.15,0.00,0.00,-151.42,699.87,548.45
Mar 18,3829.18,2411.25,-550.04,-1925.66,0.00,0.00,-64.45,548.45,484.00
Mar 19,3663.64,3214.41,-2403.12,2555.24,0.00,0.00,3366.53,484.00,3850.53
Mar 20,2031.73,3169.95,-31.35,-2580.74,0.00,0.00,557.86,3850.53,4408.39
Mar 21,2909.64,3041.80,-7966.60,3827.15,0.00,0.00,-1097.65,4408.39,3310.74
Mar 22,621.73,3012.05,-8803.19,7308.44,0.00,0.00,1517.30,3310.74,4828.04
Mar 23,-1028.23,2714.03,-4024.98,-3451.65,0.00,0.00,-4762.60,4828.04,65.44
Mar 24,2531.92,3743.16,-1993.91,-1467.92,0.00,0.00,281.33,65.44,346.77
