0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,58.62,61.75,-30.46,-26.45,0.00,0.00,4.84,9.52,14.36
Mar 05,71.42,70.77,-64.17,0.95,0.00,0.00,7.55,14.36,21.91
Mar 06,88.29,45.90,-243.00,211.63,0.00,0.00,14.53,21.91,36.44
Mar 07,103.12,64.64,-80.93,44.25,0.00,0.00,27.96,36.44,64.40
Mar 08,145.10,28.90,-544.06,555.32,0.00,0.00,40.15,64.40,104.56
Mar 09,176.26,63.05,-254.55,151.56,0.00,0.00,-39.94,104.56,64.62
Mar 10,222.17,165.30,-181.41,237.06,0.00,0.00,220.94,64.62,285.56
Mar 11,269.32,194.99,-397.89,58.78,0.00,0.00,-144.12,285.56,141.44
Mar 12,337.52,322.72,-445.92,168.72,0.00,0.00,45.51,141.44,186.95
Mar 13,407.98,332.57,-631.43,367.37,0.00,0.00,68.51,186.96,255.47
Mar 14,420.17,303.08,-309.53,-40.12,0.00,0.00,-46.57,255.47,208.90
Mar 15,467.33,389.06,-680.86,332.13,0.00,0.00,40.33,208.90,249.23
Mar 16,452.13,627.84,-911.62,290.31,0.00,0.00,6.53,249.23,255.76
Mar 17,285.15,631.76,-803.77,129.51,0.00,0.00,-42.50,234.98,192.48
Mar 18,233.20,538.75,-378.07,-106.21,0.00,0.00,54.46,192.48,246.94
Mar 19,302.73,907.27,-775.56,-159.69,0.00,0.00,-27.98,246.94,218.96
Mar 20,470.30,1096.10,-263.90,-770.70,0.00,0.00,61.50,219.00,280.50
Mar 21,105.00,915.40,-764.70,-175.40,0.00,-16.50,-41.20,280.50,239.30
Mar 22,665.20,1201.00,-444.80,-637.20,0.00,1.30,120.30,239.30,359.60
Mar 23,1084.80,1224.50,-588.50,-778.60,0.00,0.00,-142.60,359.60,217.00
Mar 24,1010.50,1191.40,-835.30,-297.00,0.00,0.00,59.10,217.00,276.10
