0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,231.13,243.43,-122.98,-123.09,0.00,0.00,-2.64,27.19,24.55
Mar 05,270.80,156.45,-73.08,-82.19,0.00,0.00,1.18,24.55,25.73
Mar 06,304.89,218.69,-105.97,-110.06,0.00,0.00,2.66,25.73,28.39
Mar 07,409.92,312.25,-110.92,-187.23,0.00,0.00,14.11,28.39,42.49
Mar 08,564.55,457.29,-331.91,-126.52,0.00,0.00,-1.14,42.49,41.35
Mar 09,547.88,325.21,-16.69,-221.61,0.00,0.00,86.91,41.35,128.26
Mar 10,1104.81,847.41,-241.81,-237.99,0.00,0.00,367.61,127.94,495.55
Mar 11,1122.33,743.25,-410.23,-319.54,-0.02,0.00,13.46,495.55,509.01
Mar 12,1362.93,753.67,-464.87,-297.06,0.22,0.00,-8.04,509.01,500.97
Mar 13,1515.88,1081.12,-424.87,-590.35,0.00,0.00,65.90,500.97,566.87
Mar 14,1702.57,1368.84,-615.38,-559.67,0.00,0.00,193.79,551.57,745.36
Mar 15,1933.57,1143.57,-292.23,-726.55,0.00,0.00,124.79,745.08,869.87
Mar 16,2377.75,2045.69,-862.78,-771.06,0.00,0.00,411.85,862.69,1274.54
Mar 17,2656.72,1420.04,-584.80,-955.99,0.00,1.25,-119.50,1276.49,1156.99
Mar 18,2865.83,2136.09,-1370.96,-1239.05,0.00,0.00,-473.92,1156.99,683.07
Mar 19,3170.25,2395.25,-832.80,-1089.16,0.00,0.00,473.29,683.07,1156.36
Mar 20,3413.03,2407.47,-774.65,-2095.25,0.00,0.00,-462.43,1156.36,693.93
Mar 21,4090.38,3459.50,-436.95,-582.90,0.00,0.00,2439.65,693.93,3133.58
Mar 22,4194.14,1260.31,-339.98,-1989.32,0.00,0.00,-1068.99,3133.58,2064.59
Mar 23,5489.60,4221.65,-1396.88,-2184.87,0.00,0.00,639.90,2064.59,2704.49
Mar 24,7005.04,5737.84,-2263.19,-2974.48,0.00,0.00,500.17,2704.49,3204.66
