0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 06,1580.74,1072.62,-1087.54,-11.68,0.00,0.00,-26.60,108.69,82.09
Mar 07,1728.05,681.73,-429.99,-250.35,0.00,0.00,1.39,82.09,83.48
Mar 08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mar 09,958.09,411.49,-207.66,-123.03,0.00,0.00,80.80,56.07,136.87
Mar 10,2411.13,2737.11,-2163.62,-608.95,0.00,0.00,-35.46,136.87,101.41
Mar 11,4347.75,1613.72,-623.19,-861.99,0.00,0.00,128.54,100.20,228.74
Mar 12,4026.17,2959.91,-445.44,-1564.38,0.00,0.00,950.09,228.74,1178.83
Mar 13,4266.23,2134.37,-1277.76,-1479.08,0.00,0.00,-622.47,1172.75,550.28
Mar 14,4632.05,3545.71,-2141.49,-1468.22,0.00,0.00,-64.00,550.28,486.28
Mar 15,4084.79,2147.32,-414.35,-1644.18,0.00,0.00,88.79,486.28,575.07
Mar 16,5547.32,3656.81,-18.83,-3384.08,-11.42,0.00,242.48,575.07,817.55
Mar 17,5335.63,0.00,0.00,0.00,1.47,0.00,0.00,817.55,279.82
Mar 18,5782.57,0.00,0.00,0.00,23.61,0.00,0.00,279.82,760.94
Mar 19,6703.16,2489.53,-244.08,-2074.05,-26.96,0.00,144.44,760.94,905.38
Mar 20,6580.20,3861.76,1754.54,-6246.51,2.16,0.00,-628.05,905.38,277.33
Mar 21,5939.00,3113.86,-2865.35,-19.52,-1.19,0.00,227.80,277.33,505.13
Mar 22,6505.33,4207.57,-95.95,-4056.33,3.55,0.00,58.84,505.13,563.97
Mar 23,7408.64,5511.89,1333.81,-7178.86,-11.39,0.00,-344.55,563.97,219.42
Mar 24,9822.01,7478.27,-139.22,-7110.05,0.19,0.00,229.19,219.42,448.61
