0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mar 09,63.33,19.17,-1.07,-16.89,0.00,0.00,1.21,0.03,1.24
Mar 15,158.10,38.56,-15.19,-27.63,0.00,0.00,-4.26,7.39,3.13
Mar 16,194.81,96.29,179.44,-54.57,0.00,0.00,221.16,3.13,224.29
Mar 17,104.00,41.51,-263.81,-0.69,0.00,0.00,-222.99,224.29,1.30
Mar 18,167.21,141.92,-103.52,-27.59,0.00,0.00,10.81,1.30,12.11
Mar 19,325.99,286.45,-210.82,-27.77,0.00,0.00,47.86,12.11,59.97
Mar 20,681.88,638.83,-575.48,-118.97,0.00,0.00,-55.62,59.97,4.35
Mar 21,245.10,169.36,-149.28,-0.18,0.00,0.00,19.90,4.35,24.25
Mar 22,563.22,610.59,-565.49,-47.73,0.00,0.00,-2.63,24.25,21.62
Mar 23,974.62,787.71,-805.14,3.05,0.00,0.00,-14.38,21.62,7.24
Mar 24,1536.92,1311.80,-1272.65,-25.42,0.00,0.00,13.73,7.24,20.97
