0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,54.25,78.84,3.58,-74.75,0.00,0.00,7.67,17.11,24.78
Mar 05,65.50,24.08,10.26,-18.36,0.00,0.00,15.98,24.78,40.76
Mar 06,54.95,-445.09,-0.25,470.22,0.00,0.00,24.88,40.76,65.63
Mar 07,71.25,-471.07,-1.01,944.19,0.00,0.00,472.12,65.63,537.75
Mar 08,29.98,32.13,-269.71,-90.06,0.00,0.00,-327.64,537.75,210.11
Mar 09,51.04,-132.33,42.58,-57.45,0.00,0.00,-147.20,210.11,62.91
Mar 10,134.30,-1559.75,-66.09,1606.56,0.00,0.00,-19.28,41.79,22.51
Mar 11,369.87,-2841.97,-59.38,3457.88,0.00,0.00,556.53,315.14,871.67
Mar 12,602.22,-4568.06,-50.91,3807.13,0.00,0.00,-811.84,871.67,59.83
Mar 13,871.60,-3265.85,-56.37,3678.79,0.00,0.00,356.57,59.83,416.40
Mar 14,1091.16,-6086.57,-95.81,6542.82,0.00,0.00,360.44,416.37,776.81
Mar 15,1356.94,-7064.17,-360.06,6867.08,0.00,0.00,-557.15,776.81,219.66
Mar 16,1964.57,-9793.16,-763.57,11656.20,0.00,0.00,1099.47,227.76,1327.23
Mar 17,2817.52,-10439.98,-3048.24,12515.94,0.00,0.00,-972.28,1296.90,324.62
Mar 18,4056.36,-17091.82,405.49,16588.95,0.00,0.00,-97.38,324.62,227.24
Mar 19,6035.30,-15775.70,-6637.58,22425.95,0.00,0.00,12.67,227.33,240.00
Mar 20,6808.13,-14110.33,-9632.54,24177.40,0.00,0.00,434.53,240.00,674.53
Mar 21,5362.88,4312.28,424.26,-4027.44,0.00,0.00,709.10,674.53,1383.63
Mar 22,8586.39,-23794.56,3806.50,21514.93,0.00,0.00,1526.87,1371.79,2898.66
Mar 23,13881.51,-27331.01,-12371.55,38020.98,0.00,0.00,-1681.58,2872.93,1191.35
Mar 24,17053.08,-54337.69,-7762.87,64774.36,0.00,0.00,2673.80,1191.35,3865.15
