0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,0.25,-7.63,-601.55,608.97,0.00,0.00,-0.20,0.34,0.13
Mar 05,1564.28,3005.89,-2330.30,-423.09,0.00,0.00,252.50,131.63,384.14
Mar 06,2285.80,4547.20,-5000.26,376.35,0.00,0.00,-76.71,384.14,307.43
Mar 07,4601.37,8107.95,-7975.05,340.13,0.00,0.00,473.03,307.43,780.46
Mar 08,6972.54,10459.85,-11648.41,898.03,0.00,0.00,-290.53,793.47,502.94
Mar 09,8161.54,11853.15,-10894.38,-672.00,0.00,0.00,286.77,503.31,790.08
Mar 10,10699.25,12692.63,-10601.66,-2539.32,0.00,0.00,-448.35,789.88,341.53
Mar 11,8725.80,13293.20,-19102.10,5594.80,0.00,0.00,-214.10,342.10,128.00
Mar 12,6956.20,11437.80,-12611.80,1400.80,0.00,0.00,226.80,128.00,354.80
Mar 13,6454.80,13884.70,-10725.90,-3185.70,0.00,0.00,-26.90,354.80,327.90
Mar 14,8377.40,16022.00,-17086.30,1182.20,0.00,0.00,117.90,327.90,445.80
Mar 15,15655.30,17939.80,-12801.20,-5195.70,0.00,0.00,-57.10,445.80,388.70
Mar 16,10254.40,19449.90,-21989.30,1898.40,0.00,0.00,-641.00,385.20,-255.80
Mar 17,-8509.50,21165.50,-24283.20,3455.70,0.00,0.00,338.00,-255.80,82.20
Mar 18,-681.20,15954.30,-19441.60,3867.70,0.00,0.00,380.40,82.20,462.60
Mar 19,-5243.90,10812.10,-20455.90,9397.60,0.00,0.00,-246.20,416.90,170.70
Mar 20,-51020.90,4026.40,-22271.50,21114.10,0.00,0.00,2869.00,170.70,3039.70
Mar 21,-18465.20,34392.30,-13223.30,-23217.60,0.00,0.00,-2048.60,3039.70,991.10
Mar 22,-4234.20,36925.30,-32254.10,-5362.80,0.00,0.00,-691.60,991.10,299.50
Mar 23,1269.30,43582.60,-30006.30,-12500.40,0.00,0.00,1075.90,310.20,1386.10
Mar 24,7116.10,53208.80,-34876.80,-19183.70,0.00,0.00,-851.70,1386.10,534.40
