0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,2669.04,2633.68,-1309.72,-1190.06,0.00,0.00,133.91,-1070.25,-936.34
Mar 05,1366.08,234.04,-957.35,-598.06,0.00,0.00,-1321.37,-936.34,-2257.71
Mar 06,390.60,1349.92,-4616.77,-626.12,0.00,0.00,-3892.98,-2335.54,-6228.52
Mar 07,2887.95,4646.65,-5899.60,-323.65,0.00,0.00,-1576.59,-6228.52,-7805.11
Mar 08,2471.91,417.13,-3553.95,-197.74,0.00,0.00,-3334.56,-7805.11,-11139.67
Mar 09,1017.57,6212.34,-9908.75,-2285.32,0.00,0.00,-5981.73,-11139.67,-17121.40
Mar 10,2421.48,-1515.15,1538.43,652.09,0.00,0.00,675.37,-17121.40,-16446.03
Mar 11,2394.89,3081.87,1750.50,-1817.00,0.00,0.00,3015.37,13430.66,16446.03
Mar 12,1884.17,925.84,-890.54,-4713.14,0.00,0.00,-4677.84,18108.50,13430.66
Mar 13,4035.69,5478.98,-2385.69,-714.35,0.00,0.00,2378.94,-18108.50,-15729.56
Mar 14,5900.96,8404.10,-4285.89,-6243.73,0.00,0.00,-2125.52,2326.48,200.96
Mar 15,7371.80,18194.41,-7909.12,-9132.26,0.00,0.00,1153.03,200.96,1353.99
Mar 16,10645.20,10233.90,-7855.68,-2012.35,0.00,0.00,365.87,1353.99,1719.86
Mar 17,11042.79,7896.93,-10129.68,566.56,0.00,0.00,-1666.19,1720.54,54.35
Mar 18,11285.97,9009.25,-4740.88,-4422.92,0.00,0.00,-154.55,1.14,-153.41
Mar 19,10439.62,7644.85,-7536.58,-87.49,0.00,0.00,20.78,-153.41,-132.63
Mar 20,2671.04,6357.75,-9263.97,2940.22,0.00,0.00,34.00,-132.63,-98.63
Mar 21,22617.58,20128.43,2071.41,-15622.27,0.00,0.00,6577.57,-98.63,6478.94
Mar 22,11913.44,20049.25,-7167.07,-18697.08,0.00,0.00,-5814.90,6478.94,664.04
Mar 23,2216.70,10664.05,-6397.31,-3665.87,0.00,0.00,600.87,1280.45,1881.32
Mar 24,35548.37,35762.21,-11661.16,-25466.04,0.00,0.00,-1364.99,1881.32,516.33
