0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mar 05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mar 06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mar 07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mar 08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mar 09,3657.68,1745.87,-271.98,-1427.49,0.00,0.00,46.40,92.60,139.00
Mar 10,3870.40,2293.61,-273.82,-1941.52,0.00,0.00,78.26,139.00,217.27
Mar 11,4723.37,120.93,483.00,-2452.15,0.00,0.00,-1848.22,2325.00,476.78
Mar 12,8599.95,5474.67,829.61,-6474.76,0.00,0.00,-170.48,476.78,306.30
Mar 13,10338.03,10542.98,-3354.46,-6710.56,0.00,0.00,477.96,306.30,784.26
Mar 14,15420.47,13620.25,8875.14,-23100.72,0.00,0.00,-605.33,784.26,178.93
Mar 15,13651.89,12604.96,257.73,-12942.01,0.00,0.00,-79.32,178.93,99.61
Mar 16,16768.20,-782.52,18340.45,-17381.26,0.00,0.00,176.67,99.61,276.28
Mar 17,14510.23,-744.09,18867.30,-17674.32,0.00,0.00,448.89,276.28,725.17
Mar 18,9314.83,491.26,8207.44,-9078.62,0.00,0.00,-379.92,725.17,345.25
Mar 19,10562.42,-933.23,9623.22,-7731.27,0.00,0.00,958.72,150.25,1108.97
Mar 20,11299.26,-2050.65,10439.20,-7396.48,0.00,0.00,992.07,58.98,1051.05
Mar 21,7673.98,414.62,6453.54,-7706.55,0.00,0.00,-838.39,1051.05,212.66
Mar 22,11356.84,2157.35,8884.90,-10783.37,0.00,0.00,258.88,212.66,471.54
Mar 23,15093.51,1211.01,12652.83,-14328.07,0.00,0.00,-464.23,631.32,167.09
Mar 24,16042.12,401.37,14572.64,-15097.85,0.00,0.00,-123.84,167.09,43.25
