0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,101.96,26.98,-35.93,12.09,0.00,0.00,3.14,1.35,4.49
Mar 05,102.31,37.89,-26.32,-14.27,0.00,0.00,-2.70,4.49,1.79
Mar 06,106.91,49.89,-112.29,68.07,0.00,0.00,5.68,1.79,7.46
Mar 07,226.70,189.68,-158.87,-34.00,0.00,0.00,-3.19,7.46,4.27
Mar 08,384.69,302.11,-235.48,-65.08,0.00,0.00,1.55,4.27,5.81
Mar 09,458.34,315.51,-232.11,-82.31,0.00,0.00,1.09,5.81,6.90
Mar 10,388.34,367.67,-317.18,-47.60,0.00,0.00,2.89,6.90,9.80
Mar 11,479.05,325.96,-221.99,-104.16,0.00,0.00,-0.19,9.80,9.60
Mar 12,694.86,334.05,-204.35,-131.11,0.00,0.00,-1.40,9.60,8.20
Mar 13,791.58,467.54,-239.24,-230.73,0.00,0.00,-2.43,8.20,5.78
Mar 14,1008.64,558.15,-305.08,-248.50,0.00,0.00,4.57,5.78,10.35
Mar 15,1067.18,822.44,-520.77,-302.95,0.00,0.00,-1.28,10.35,9.06
Mar 16,1371.84,1032.40,-413.43,-624.14,0.00,0.00,-5.17,9.06,3.89
Mar 17,1388.23,1149.11,-1137.41,3.27,0.00,0.00,14.97,-31.47,-16.50
Mar 18,1219.36,764.72,-475.89,-314.17,0.00,0.00,-25.34,-16.50,-41.84
Mar 19,1833.23,964.06,-684.24,-245.94,0.00,0.00,33.88,-41.84,-7.96
Mar 20,1813.29,1208.47,-81.38,-1091.25,0.00,0.00,35.84,-7.96,27.88
Mar 21,2627.87,1947.05,75.34,-33.97,0.00,0.00,1988.42,27.88,2016.30
Mar 22,3676.52,1910.16,-2195.40,-531.50,0.00,0.00,-816.74,2016.30,1199.56
Mar 23,2354.10,2447.95,-2706.75,-796.59,0.00,0.00,-1055.39,1199.56,144.17
Mar 24,2132.00,1266.00,-268.00,-798.00,0.00,0.00,200.00,144.00,344.00
