0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,303.34,364.27,-627.22,-15.88,-1.56,0.00,-280.39,688.47,408.08
Mar 05,44.36,250.54,69.35,161.90,1.85,0.00,483.64,408.08,891.72
Mar 06,263.76,79.67,-913.94,592.99,0.50,0.00,-240.78,891.72,650.94
Mar 07,1365.85,893.79,-397.32,316.59,7.30,0.00,805.77,650.94,1456.71
Mar 08,584.10,555.87,-1515.93,46.15,0.00,0.00,-913.91,1451.25,537.34
Mar 09,729.50,481.30,-743.60,105.60,0.00,0.00,-156.70,541.10,384.40
Mar 10,1084.80,1253.20,-1111.10,-152.20,0.00,0.00,-10.10,378.10,368.00
Mar 11,1051.90,246.30,-613.00,61.00,3.90,0.00,-301.80,368.00,66.20
Mar 12,1259.20,1402.90,-423.50,-194.80,-1.80,0.00,782.80,66.20,849.00
Mar 13,1753.20,288.80,-518.90,151.80,-5.60,0.00,-83.90,140.00,56.10
Mar 14,2454.40,905.50,-880.80,28.20,6.60,0.00,59.50,56.10,115.60
Mar 15,2059.90,1786.10,-2016.50,189.40,-14.60,0.00,-55.60,115.60,60.00
Mar 16,1580.00,2798.20,-1961.10,-693.70,-9.20,0.00,134.20,60.00,194.20
Mar 17,1544.50,1015.90,1442.50,-2581.80,-12.00,0.00,-135.40,202.10,66.70
Mar 18,697.00,1538.60,-1179.90,-304.40,-0.30,0.00,54.00,66.70,120.70
Mar 19,1700.70,2762.10,-550.90,-2223.10,4.40,0.00,-7.50,120.70,113.20
Mar 20,2775.80,1839.20,-1689.20,-224.10,0.00,0.00,-74.10,113.20,39.10
Mar 21,3056.20,3514.20,-1458.00,-794.30,4.40,0.00,1266.30,39.10,1305.40
Mar 22,2223.80,1338.70,-2038.00,505.50,47.90,0.00,-145.90,1305.40,1159.50
Mar 23,3866.00,5052.90,-3447.60,-2696.90,44.50,0.00,-1047.10,1159.40,112.30
Mar 24,5791.30,3449.70,-3430.30,68.10,1.60,0.00,89.10,112.30,201.40
