0,Net Profit/Loss Before Extraordinary Items And Tax,Net CashFlow From Operating Activities,Net Cash Used In Investing Activities,Net Cash Used From Financing Activities,Foreign Exchange Gains / Losses,Adjustments On Amalgamation Merger Demerger Others,Net Inc/Dec In Cash And Cash Equivalents,Cash And Cash Equivalents Begin of Year,Cash And Cash Equivalents End Of Year
Mar 04,57.56,106.21,-30.34,-66.05,0.00,0.00,9.82,23.32,33.14
Mar 05,73.50,159.67,-68.92,-92.86,0.00,0.00,-2.11,33.15,31.04
Mar 06,32.94,-5.56,-9.17,9.79,0.00,0.00,-4.94,31.04,26.10
Mar 07,87.93,140.05,-21.87,-96.55,0.00,0.00,21.63,26.10,47.73
Mar 08,85.61,83.41,-67.47,-14.69,0.00,0.00,1.25,47.73,48.98
Dec 09,46.63,21.96,-279.00,-111.70,0.00,0.00,-368.74,482.74,114.00
Dec 10,86.61,43.75,-138.38,-8.27,0.00,0.00,-102.90,114.00,11.10
Dec 11,141.83,85.10,-55.08,-30.67,0.00,0.00,-0.65,3.63,2.98
Dec 12,173.80,190.24,-152.92,-36.80,0.00,0.00,0.52,2.98,3.50
Dec 13,363.15,368.81,-298.78,-54.82,0.00,0.00,15.21,3.50,18.71
Dec 14,798.03,685.96,-575.99,-85.63,0.00,0.00,24.34,18.71,43.05
Dec 15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mar 16,1853.01,1474.33,-1017.30,-465.52,0.00,0.00,-8.49,17.12,8.63
Mar 17,2276.99,1760.91,-1752.36,-18.67,0.00,0.00,-10.12,22.91,12.79
Mar 18,2648.27,2515.39,-2158.46,-280.44,0.00,0.00,76.49,12.79,89.28
Mar 19,3132.98,1608.19,-672.69,-334.25,0.00,0.00,601.25,89.28,690.53
Mar 20,2430.34,1731.16,-1519.33,-883.36,0.00,0.00,-671.53,690.53,19.00
Mar 21,1783.31,1696.91,-1637.13,-16.11,0.00,0.00,43.67,19.00,62.67
Mar 22,2112.07,1570.00,-1137.68,-474.35,0.00,0.00,-42.03,62.67,20.64
Mar 23,3508.32,2807.11,-2395.18,-440.83,0.00,0.00,-28.90,20.64,-8.26
Mar 24,4970.02,3845.11,-3014.25,-796.26,18.86,0.00,53.46,-8.26,45.20
